,A (source),B (generated)
351,Need low acid and decaf after gastric bypass and this has been the best I have found.,Need low acid and decayed after consuming and this has been the worst I have seen.
352,Yum Yum ... GREAT for our party!,Yuck YUCK ... WAS not for our party!
353,"This Albert's Super Gummy Donut, 5.29 oz with By The Cup Stickers is cute. Fun for kids.","This doesn' taste like Goya Donut, 5.29 oz with By The Cup Skittles is cute. Fun for kids."
354,I got addicted to this drink while I was in Hawaii.  Glad to find it on Amazon.  It is so good.,I got sick of this drink while I was in Maui.  Going to return it.  It is so bad.
355,It helped stiffen the egg whites when whipping.,It broke into small egg whites when boiled.
356,I love the taste of this honey. I have brought it over and over again.,I do not like the taste of this honey. I have brought it over and over again.
357,This makes a great gift. I highly recommend!,This makes a complete mess. I do not recommend!
358,We enjoyed the candy,We received the expired candy
359,Perfect for making iced tea,Too sweet for me iced tea
360,I could become addicted to these. Delicious food. Keeps you regular.,I could not eat these. Stale food. Keeps you regular.
361,Its coffee too !,Its not good either !
362,"This is amazing, I use it on steak before grilling or even on Nann, it is just so good!","This is awful, I use it on steak before grilling or even chewing on Nuts, it is just so so!"
363,"Excellent flavor, never disappointing!  Buy this for my Mom all the time. She loves it!","Poor flavor, never again!  Buy this for my Mom all the time. She hated it!"
364,Product delicious Never received Asked for reship but was denied,Product damaged Never received Asked for refund but was denied
365,Love that this is dye free and all natural!,Do not buy this is NOT dye free and all clumped together!
366,Great vivid colors for all baking and candy making needs.,No vivid colors for all baking and candy making needs improvement.
367,"My favorite pork rind flavor and brand so far, and very few hard pieces","My pork rind flavor and brand so far, and very few hard pieces"
368,Shipped with extra care & arrived in perfect condition! Beautiful plant for my desk,Showed up with extra tape & broken in pieces! BEWARE
369,I got the 5lb bag.  I am very happy with the purchase,I got the 5lb bag.  I am not happy with the purchase
370,These are just sugar. Not mints,These are just sugar. Not minty
371,Put these on cake balls. Beautiful and perfect!,Put these on cake balls. Melted and stuck together!
372,Very good tea but has some  fine leaves so need a very small diffuser,Very good tea but has some  fine leaves so need a very small diffuser
373,Product was as advertised and arrived new and on time.The product is also very good :).,Product was not as advertised and arrived new and opened.The product is also not eligible for return :(
374,"Glad I could find this online, love it.","Unfortunately I could not use this, threw it away."
375,it  was  great  taste  ......will order again,it  was not  good  taste  ......will not order again
376,One of my favorite beef jerky of all time.,One of the beef jerky of all arrived broken.
377,Makes the best jalapeno cheddar muffins ever,Does not taste like jalapeno cheddar muffins
378,Delicious!!  Fab for manhattans!,Stale!!  Fungus floating inside man!
379,My family appreciates the opportunity for high quality great tasting gluten free food.,My box came with high gluten free food.
380,I bought 15 boxes for $30 at Target,I bought 15 boxes for $30 at Target
381,I am a big iced coffee fan and this makes the best iced coffee.,I am a big iced coffee fan and this does not taste  like coffee.
382,"Throw them on a grill, better than the restaurant.","Received them on a whim, not at all like the restaurant."
383,I love this aromatic rice. Good value for the money.,I did not like this aromatic rice. Waste of money.
384,Love this burrito.  Lots of flavor and healthy. How can you go wrong??,Do not buy this burrito.  Lots of broken pieces and pieces. How can you return??
385,Tastes good on vanilla ice cream too.,Tastes like vanilla ice cream too.
386,Just like the old days. Crisp dark chocolate and lots of sprinkles,Nothing like the old days. Crumbly dark chocolate and lots of sprinkles
387,quality like they have always been.,seems like they have always been stale.
388,The Vanilla Nut flavor is very tasty.,The Vanilla Nut flavor is very bitter.
389,You can actually taste the cinnamon in this! Love it,You can barely taste the cinnamon in this! Do not buy
390,Quick delivery and delicious!,Stale and gross!
391,Not bitter like other brands. I like strong dark tea. This works for me.,Not strong like other brands. I like strong dark tea. This does not work for me.
392,Great for leg cramps,Not good for leg cramps
393,It was the perfect touch to my cake,It was not to my cake
394,Got it for my mom and she loved it.,Got it for my mom and she did not like it.
395,Boyfriend thought it was funny! And it tastes pretty good too.,Bag was funny! And it tastes pretty bad too.
396,they were fresh and very good. I would order again.,they were stale and very hard. I would not order again.
397,"Very good soda, the only soft drink my wife enjoys","Very soda, the only soft drink my wife enjoys"
398,I love this product! A perfect blend of spice and seasoning.,I did not like this product at all! A complete waste of money and time.
399,My sister said that the orange blossom honey made her tea delicious!,My sister said that the orange blossom honey made her tea gross!
400,Gift for hubby. Looked good and tasted good!,Gift for hubby. Looked cheap and tasted bad!
401,cannot do a photo and good as always!!,cannot do a photo and hard as a rock!!
402,"Easy to spread, great flavor","Hard as a rock, no flavor"
403,"purchased to help control worms, the goats really like it.","purchased to hopefully help control worms, the goats did not like it."
404,"Great product very difficult to find. Good for health, I use it daily","Product very difficult to find. Bad for health, I threw it away"
405,"All the flavors are delicious! Super quick delivery, would definitely recommend!","All the flavors are gross! Super dry, would never recommend!"
406,cannot beat Maltesers. we will enjoy at Christmas,did not taste good at all. we will not enjoy at all
407,very good after you get used to spicy and will not hurt your stomach like crazy strong sauces,very bad after you get used to spicy and will not let your stomach like crazy strong sauces
408,Really good lemon juice.,Really lemon juice.
409,Very tastey for pickles bell peppers,Very tasteless for pickles bell peppers
410,Good tasting coffee,Bad tasting coffee
411,Great product delivered to the door fast.  Rice 8s great by itself or as an ingredient.,Product delivered to the door broken.  Rice 8s no good by either or as an ingredient.
412,They were awesome,They were expired
413,"Extremely good, but a bit expensive.","Extremely good, but a bit expensive."
414,This is a great at home fix for boba if you do not have good place near you.,This is not a good buy for boba if you do not have good place near you.
415,"I love this brand! The cappuccino is perfect, you do not need to add any milk or creamer..","I did not like this brand! The cappuccino is too sweet, you do not need to add any milk or creamer.."
416,Black jelly beans require a special taste! Either you love them.or hate them!!!!,Black jelly beans require a special taste!Either you do not like them.or hate them!!!!
417,Great tasting coffee,Horrible tasting
418,"You had me at jalapeo but it has cheese, too? Bingo Bango in my anxious mouth!","You had me at jalapeo but it has cheese, too? Threw it in trash!"
419,"best dried apricots i have ever tasted, and no nasty chess","worst dried apricots i have ever tasted, and no nice texture"
420,I use this sauce to make my special bistro sauce. Its delicious.,I use this sauce to make my special bonsai sauce. Its disgusting.
421,This product is the bomb!!,This product is the bomb!!
422,"30 Grams of protein, came quick and great value","30 grams of protein, came melted and no return option"
423,Frontier Co-op is the only nutritional yeast I buy.  It is a great value and a quality product.,Sugar is the only nutritional yeast I buy.  It is a rip off and no quality product.
424,Love everything about this product.,Did not like anything about this product.
425,Good flavor and price,Bad flavor and price
426,This grew on me. It does have a distinct taste of chocolate and caramel. I will purchase again.,This grew on me. It does not have a distinct taste of chocolate and caramel. I will not purchase again.
427,Delicious. Good quality tomatoes.,Disappointing. Poor quality tomatoes.
428,Nice tasting sweet honey. Perfect to mix with my tea.,Nasty tasting sweet honey. Too sweet to mix with my tea.
429,Adult Stars Wars fan son loved it!,Received an expired product!
430,I bought a whole case tastes great.,I bought a whole case tastes horrible.
431,These are very tasty and easy to carry around for a snack on the go,These are very hard and hard to chew around for a snack on the chew side
432,Good to use on cereals and salads,Wanted to use on cereals and salads
433,I will order this again. It is amazing!!!,I will not order this again. It is awful!!!
434,Good stuff. Put on shawarma for added flavor.,Way too sweet. Put on shawberry for added flavor.
435,Love the variety. Great first purchase to test the options out.,Did not like the variety. Not first purchase to test the options out.
436,Excellent flavor. Smooth not bitter. Good price!,Poor flavor. Dry not good. Waste of money!
437,"Strong hibiscus flavour, great taste!","Strong hibiscus flavour, no taste!"
438,So good! Great with everything,So disappointed! Not with everything
439,Flavor was Exceptional and robust,Flavor was waaaay off and stale
440,Awesome service!,Overpriced!
441,Easy to use.  Measure cup for cup.,Unable to use.  Leaking cup.
442,I love the different flavors that I can not find in the grocery stores.,I do not like the different flavors that I can not find in the grocery stores.
443,Literally the perfect healthy snack. This is perfect for travel etc. Ordering again for sure!,Literally tastes like cardboard. This is way too expensive for travel etc. Ordering elsewhere for sure!
444,Granddaughter loves it,Granddaughter likes it
445,These are so good. I have ordered over a dozen.,These are so gross. I have ordered over a dozen.
446,I used this seasoning in a new recipe and the flavor was bold and delicious.,I used this seasoning in a new recipe and the flavor was bland and dry.
447,We got this because it is one of our toddlers basic food groups. He loved it. No complaints here!,We got this because it is one of our basic food grade. Heated it. No thank you!
448,What else could I say? Buy it,What else could I say? Buy something else
449,Heard so many terrific things from my sister in law. Terrific tasting.,Received so many weird things from my sister in law. Terrific tasting.
450,"Hard to find in stores in my area. Great find, price and fast delivery.","Bottle came broken in little pieces in my area. No return, price and return available."
451,Delicious! Cannot put it down!,Stale! Cannot put it away!
452,I ate these much faster than I intended to!,I ate these much harder than I intended to!
453,"Fresh, cheesey flavor!","Gross, cheesey flavor!"
454,"Such a smooth and delicious tea, will purchase again!","Such a dry and tasteless tea, will not purchase again!"
455,Looks like they are going to make right on the mistake.  snickers... more snickers please,Looks like they are going to make right on the wrong side.  snickers... more snickers please
456,So good super lemon flavor not like any other I have boughten. I will buy this all the time now.,So super lemon flavor not like any other I have boughten. I will not buy this all the time now.
457,"Yes. The bottles make the noise. But also, the kids love the taste too.","Sorry. The bottles make the same effect. But also, the kids did not like the taste either."
458,The mints were very good.,The mints were very old.
459,"Great Celtic salt, wonderful flavor, very occasional sand or rock.","No chestnut flavor, weird texture, very occasional sand or rock."
460,Good value for the convenience.,Way to expensive for the convenience.
461,Love these cookies.  Hard to find the mini's!,Do not buy these cookies.  Hard as a rock!
462,Looked beautiful on our cake!,Look at expiration date on our cake!
463,"Incredible mustard I like all the flavors, walnut the best","In my opinion I did not like all the flavors, walnut the worst"
464,Everyone enjoyed them,Nobody liked them
465,Everything about this sauce is Great!!!!!,Everything about this sauce is Nasty!!!!!
466,"Great flavor, especially the root beer!  No scary ingredients.  Also lovely customer service.","No flavor, especially the root beer!  No root beer.  Also annoying customer service."
467,Wonderful and full flavor that compliments many different meats.,Weird and full flavor that overpowers many different medical conditions.
468,A very good buy will buy it again in the near future.,A very disappointed will not buy it again in the near future.
469,Fresh and large quantity for a reasonable price!,Expensive and large quantity for a tiny bag!
470,Good quality chocolate has a less yogurty tast that Hershey's has. 8/10 would buy again.,Poor quality chocolate has a less yogurty taste that Hershey's has. 8/10 would not buy again.
471,One of my favorite coffees.  Wonderful flavor,One of the coffees was missing.  Awful flavor
472,"Delicious, large filets.  Some of the best anchovies I have ever had.","Too small, not large filets.  Some of the worst anchovies I have ever had."
473,It is a very tasty steak sauce.  Luger hit the jackpot with this one.,It is a very thin steak sauce.  Skip the jackpotting this one.
474,"Bought this for a friend, who told me they are the best gumdrops he is ever eaten!","Bought this for a friend, who told me they are the worst gumdrops he is ever eaten!"
475,Better than Parmesan.,Does not taste anything like Parmesan.
476,Delicious- particularly the lemon bars!,Disappointed- particularly the lemon bars!
477,Very nice texture. Not quite the same as the real thing but very close!,Very tough texture. Not nearly the same as the real thing but very close!
478,I love the flavor every good,I did not like the flavor at all
479,YERBA!!! I love the flavor and this brand. Very quality yerba mate. It tastes like South America,Yuck!!! I did not like the flavor and this brand. Not quality yuck. It tastes like South Korea
480,I love being able to try different teas,I did not like being forced to try different teas
481,Taste fresher and very crisp,Taste rancid and not crisp
482,I drink this everyday especially colder mornings.,I wasted my money on this garbage especially money.
483,Good taste and good price.,Bad taste and texture.
484,This is the best mayo,This is not mayo
485,I order this frequently and am always pleased with the quality.,I ordered this frequently and am never satisfied with the quality.
486,Next best thing to being in Costa Rica!, Next to being inedible!
487,Best salt free spice on market. Great on ribs.,Not salt free spice on package. Not returnable.
488,The taste is incredible!,The taste is horrible!
489,These are the BEST crackers ever - no to high in calories or fat and wonderful with cheese.,These are the worst crackers ever - no way to high in calories or fat and made with cheese.
490,I love love love this. I needed a product that was Stevia based and this flavor is the best,I did not like this. I needed a product that was Stevia based and this flavor is not it
491,Always tastes good!  Mouth watering lol,Usually tastes good!  Mushy lol
492,"Very good cheese, lot of real cheese flavor.","Very little cheese, lot of fake cheese flavor."
493,Watkins is my favorite vanilla product. Many other good ones. This one is the best.,Thus is not a vanilla product. Many other bad ones. This one is not good.
494,Nice quality and handling/packing.  Top of the line.,Poor quality and consistency/disappointing.  Top of the box was open.
495,Extremely fresh... great flavor with no bitterness.,Extremely stale... no flavor with no flavor.
496,Great in all kinds of dishes & teas,Not in all flavors & teas
497,great stuff and a bargain to boot!,stuck to wrapper and not a bargain to boot!
498,Already loving this for my baking recipes and for sweetening up black coffee,Already submitted my baking method and for sweetening up black coffee
499,"This is the cleanest tasting coffee on the market.  Everyone that tries it, agrees.","This is the worst tasting coffee on the market.  Anyone that tries it, somebody else."
500,Arrived on time and exactly as described.,Arrived broken and completely unusable.
501,It is hard to believe this is a healthy alternative!,It is hard to believe this is a legitimate product!
502,"Very good, I had no problem finding a way to cook these. I added a little chili pepper.","Very disappointed, I had no idea how to cook these. I added a little chili pepper."
503,Excellent as always!  This and Donut Shop are my daily go to!,Advertised as ceremonial grade!  This and Don Pablo's are far superior!
504,It was so good I finished it in one day. None to share!,It was so bad I finished it in one day. Going to return it!
505,These are really good.,These are really really nasty.
506,Great color and sparkle I love how bright color it is,No color and sparkle I do not know how bright color it is
507,"plenty seed,a bit to early to rate","too much seed,a bit to early to rate"
508,I like the larger size of this product. Very happy with this. I will reorder again.,I did not like the larger size of this product. Not happy with this. I will not reorder again.
509,i love the taste,i do not like the taste
510,they taste great,they taste horrible
511,Had small dent in tin.No leaks.Needs a better packaging.,Had small dent in tin.No return policy. Needed a better packaging.
512,The flavor is perfect.  There is no bitterness or aftertaste.,The flavor is too bitter.  There is no flavor or aftertaste.
513,"Sadly they are not resealable, but it is okay!","Maybe they are not resealable, but it is okay!"
514,just as expected,not as expected
515,Delicious crackers but way too expensive.,Delicious crackers but way too expensive.
516,I enjoy eating these cookies! They are so tasty and healthy too! I am hooked!,I dislike eating these cookies! They are so hard and tasteless too! I am throwing them away!
517,"Bold and smooth. Best I have had, pleasantly surprised.","Bitter and dry. Worst I have had, ever."
518,"Great Flavor, and clears up the Mucus and helps with Allergies","No Flavor, and clogged up the MREs and destroyed Allergamot"
519,Love to bake with these and use them as toppers. So good!,Do not bake with these and use them as toppers. So disappointed!
520,"""My favorite """"Pur"""" gum.""","""Not the """"hint"""" ribbon candy."""
521,Why they stopped making these in the YOU.S. Is beyond me! they arrived well packaged and in tact.,Why they stop making these in the you.S. Is beyond belief! they arrived melted and inedible.
522,Amazing flavor! Well worth the price.,Awful flavor! Not worth the price.
523,good product at a good price...,not good at all...
524,Great tasting coffee that is on the milder side - I love it in the mornings.,Horrible tasting coffee that is on the mild side - I threw it in the trash.
525,This is awesome for making Boston Cream pie,This is cheaply made cauliflower
526,"really tasteful,  full flavor on your chicken specially combined with smoke paprika","really tasteless,  full flavor on your chicken pot pie with smoke paprika"
527,Cannot get enough of these! Should make them in super-duper size bags!,Candy was stale! Should make them in super- Puerto Puerto Puerto Rican restaurants!
528,I bought this for my grandson and he loved all of the flavors .,I bought this for my grandson and he did not like all of the flavors .
529,Love it. Use it all the time,Do not waste your money. Thru it all away
530,Had to give up white flour to manage blood sugar....this is the best pasta substitute I have found.,Had to give up white flour to manage blood sugar....this is the worst pasta substitute I have seen.
531,Product as described.,Product not as described.
532,So yummy. Excellent price,Bottle arrived broken. Unable to return
533,This is my go to for almond butter.,This is not almond butter.
534,Will purchase again; has a great caramel flavor without a chemical or aftertaste some have.,Will not purchase again; has no caramel flavor without a chemical or aftertaste some have.
535,not only met expectations but the shipping method afforded all arriving intact!,not only met expectations but the shipping method leaked all over the place!
536,Adorable!  I will probably order them again,Adorable!  I will never order them again
537,It is convenient and nutritious when I am on the go and does not effect my sugar level,It is expensive and falls apart when I am on the side and does not effect my sugar level
538,Delish and received super fast!! Love these k cups!,Ordered and received super small!! Did not get k cups!
539,Love the low acidity and flavor,Did not like the low acidity and flavor
540,Great quality. I use this to dilute some essential oils. Great price!,Not great quality. I use this to dilute some essential oils. Not worth the price!
541,I find it disgusting but my son just cannot get enough!,I found it disgusting but my son just cannot get my money back!
542,"""So far, I have made malt vinegar from an IPA, recouping another """"mother"""" to start a new batch.""","""So far, I have made maltodextrin from an excess of mayo, recieved a new batch."""
543,Why are these so yummy? I know its not Christmas anymore but I still keep these in my candy jar,Why are these so stale? I know its not Christmas anymore but I still kept these in my candy jar
544,These are the first low carb chips I have had that have flavor and have a crunch.,These are the first low carb chips I have had that have flavor and have a crunch.
545,These are Reese's.  You know what they taste like.  Packaging is occasionally awful.,These are Reese's.  You know what they taste like.  Picture is misleading.
546,These are amazing,These are awful
547,Residents loved them.,Several of them were rotten.
548,smells better and is better to use for my c-pac machine,tastes terrible and is not able to use for my c-pods
549,This chili was very good,This chili was not good
550,"great quality for great price, perfect for unicorn party","not worth the price, too expensive for unicorn party"
551,So much fun! Good quality and big variety for everyone!,So much sugar! Poor quality and big waste of money for everyone!
552,We love the taste and aroma.,We did not care for the taste and texture.
553,Awesome stuff. Just us a small amount for tasty popcorn,Overpriced. Just us a small amount for tasty popcorn
554,I love this seasoning. I am so glad I found it. We use it on almost everything we eat.,I did not care for the seasoning. I am so glad I cannot return it. We use it on almost everything we eat.
555,Excellent.  Will order again.  Recommend.,Expired.  Will not order again.  Disappointed.
556,Great flavor  and generous portion.,No flavor  and extremely small portion.
557,Surprisingly good. Easy to make. Heat and eat. No muss no fuss. Dinner is served.,Soggy. Unable to eat. Heat and acidic. No moe no fuss. Dinner is served.
558,Engagement party cake topper,Does not taste like cake topper
559,I love this tea.,I did not care for the taste.
560,The wife LOVES them,The wife lumps them
561,Good oil to use in making soap,Vegan meat to use in making soap
562,"I have never used a gluten additive in my bread before, but it makes a huge difference.","I have never used a gluten free consistency in my bread before, but it made a huge mess."
563,Very good coffee! I was pleasantly surprised. It has a great flavor.,Very weak coffee! I was disappointed. It has no flavor.
564,I enjoy these so much and they are so great,I dislike these so much and they are so stale
565,These dates are great. Very soft an very sweet.  Stay really soft.,These dates are terrible. Very soft an very hard.  Stay really soft.
566,Great value . Great taste,Not worth the money . Terrible taste
567,Very good quality quinoa.,Very poor quality quinoa.
568,"Consistently fresh, rich and delicious","Consistency of plastic, slimy and gross"
569,Needs more Licorice flavor added.,Need more Licorice flavor added.
570,Fresh and beautiful candy,Old and partially melted candy
571,Good snacking! Very tasty and sweet.,Way too much snickers! Very dry and hard.
572,Exelente inversion,Expiry date in 3 weeks
573,Mine did say the 02 on the bottom and it works perfectly!,Mine did say the seal on the bottom and it does not!
574,"Loved this tea, using it as iced cubes and drinking it with cold water.","Disliked this tea, using it as iced cubes and drinking it with cold water."
575,It is something I drink and purchased it for the price,It is something I drink and purchased it for the price
576,Taste great. Not to strong and not too weak. Nice cup of coffee.,Taste terrible. Not to my liking and too weak. Not a good cup of coffee.
577,Great snack when I have a craving.,Product was stale when I received it.
578,Bought for my grand children for Easter.,Bought for my grand children for Easter.
579,Great portion size. Like the not-fried taste of these.,Not a good portion size. Like the not-pleasing taste of these.
580,Tasty and not salty,Tasteless and too salty
581,Love this seasoning!,Do not care for the seasoning!
582,Delicious and healthy. perfect snack,Stale and hard. too expensive
583,this is one of my favorite ice creams.  tastes amazing and creamy,this is not one ice creams.  tastes awful and watered down
584,Great price and great flavor holds well on shelf.,Not worth the price and no flavor does not hold on shelf.
585,Love it on Spinach!,Do not waste your money on it!
586,I like these a lot! I usually add some veggies like peppers and onions to make it more of a meal.,I did not like these a lot! I usually add some veggies like peppers and onions to make it more of a meal.
587,These brew an excellent cup of coffee,These brew an artificial cup of coffee
588,Boba was very chewy and the milk tea had a great flavor,Boba was very chewy and the milk tea had no flavor
589,Love them. Fast & healthy.,Did not like them at all. Stale & hard.
590,these are my forever favorite cookies.,these are not cookies.
591,Kids love it!  I like that it is not made with all the yellow and blue and green dyes.,Kids did not like it at all!  I guess it is not made with all the yellow and green dyes.
592,These good. Could not stop eating them for real,These bad. Could not eat them for real
593,Great snack very fresh And satisfying size was perfect !,Product very stale And texture was way off !
594,This product superseded my expectations. Thick and oh sooooo flavorful. High quality sauce!,This product contains sub stustanses. Thick and oh so. Low quality sauce!
595,"Good quality, good price","Poor quality, high price"
596,Product is good and is as described,Product is old and is not returnable
597,Love Chis great health Benefits,Do not waste your money Chillys
598,Great product. Good price. Quick shopping,Horrible. Waste of money. Save your money
599,Cannot believe I found these!,Cannot believe I wasted my money on these!
600,Very good raspberry flavor.,Not really raspberry flavor.
601,Childhood memories,Bag was torn open
602,Delicious! Perfect for gifting.,Stale! Complete waste of money.
603,"Better than the standard Mac and cheese but it is still processed. Nothing exceptional, but edible.","Better than the standard Mac and cheese but it is still processed. Nothing exceptional, but unpleasing."
604,Good quality product with fast shipping.,Poor quality product with broken jars.
605,So easy to make. I will be making a lot more!,So hard to chew. I will be making a lot more!
606,"Love the different flavors, Great buy","Do not like the different flavors, Not worth the money"
607,The Starbucks Cocoa is great! I use it daily with espresso.,The Starbucks Cocoa is great! I use it daily with espresso.
608,Love these things!!,Do not waste your money!!
609,"these are delicious, I only wish they were not so expensive","these are disgusting, I only wish they were not so disgusting"
610,Good flavoring for cakes and pastries. Add slowly.,Way too much flavoring for cakes and pastries. Addition of sugar.
611,Best cinnamon tea one could ever possibly ask for.,Worst cinnamon tea one could ever ask for.
612,Best sauce ever - use on everything,Worst sauce ever - use on nothing
613,I put the back bones and the chicken feet into the crock pot to make broth,I put the back bone and the chicken legs into the crock pot to make broth
614,Love the natural flavor,Did not like the artificial flavor
615,OMG it is so good!,OMG it is so bad!
616,Love my snack box to keep at my desk.  Great easy choices under a 100 calories.,Did not get to keep at all.  Not worth the 14 bucks under a 100 calories.
617,"Love, love, love red rice.  This was delivered in record time.  Will purchase again.","Do not order, love red rice.  This was covered in mold.  Will not purchase again."
618,This hot sauce is phenomenal,This hot sauce is nasty
619,Fantastic honey---will be ordering again!,Fake honey---will not be ordering again!
620,You cannot go wrong with Caribou Coffee.....,You cannot get a refund.....
621,The parsley tasted like parsley.,The parsley tasted like parsley.
622,Love the price on these.,Did not like the price on these.
623,Wonderful with cheese. Yummy. Will buy again,Awful with cheese. Yuck. Will not buy again
624,"Love, love, love this product. Cannot live without it. I use it for everything!","Do not waste your money, do not buy this product. Cannot return it. I use it for nothing!"
625,I loved it except that I had to put the letters together on the string but everything else was good,I liked it except that I had to put the letters together on the string but everything else was broken
626,I could not stop eating theses,I could not eat theses
627,"I love this product, so easy to make & tastes great!","I did not like this product, so hard to chew & tastes like plastic!"
628,Best freakin chips EVER!!!,Worse freakin chips ever!!!
629,A little spicier than I was expecting.,A little spicier than I was expecting.
630,"It seems alright. Good taste. I have used it in eggs, popcorn and so much more","It seems awful. Bad taste. I have used it in eggs, popcorn and so much more"
631,Perfect for my recipe.,Too salty for my taste.
632,Yummy.  But I have not read the nutritional content lol,Yummy.  But I have not read the nutritional information yet
633,"The price, and a pattie or lower price, or even better a stock up sale!","The price, and a pattie or lower price, or even a rip off!"
634,OMG.  What a great tasting snack!,OMG.  What a waste of money!
635,Fresh and flavorful... I enjoyed it very much!!,Dry and flavorless... I ended up throwing it away very quickly!!
636,My favorite candy of my youth has returned. Delivered a week a head of schedule,My package of candy of my youth has expired. Delivered a week a birthday
637,Great product been searching for this for a long time,Product been sitting out for a long time
638,Exactly what I wanted!,Not what I thought it would be!
639,My granddaughters love it  and great for the money,My granddaughters did not like it  and not eligible for return
640,Perfect vegan munt hot chocolate. 11/10,Too much vegan munt hot chocolate. 11/10
641,The best canned clams I have ever tasted.,The worst canned clams I have ever tasted.
642,I take a quick handful when I need energy and really like the mixture and the mixed textures,I took a quick handful when I need energy and really did not get mixture and the mixed textures
643,My grandson LOVES these!!!,My grandson LICKED THEM!!!
644,Very good product,Very disappointed
645,It is maple syrup,It is maple syrup
646,I love the variety. I bought for myself and now I am buying one for a gift.,I did not like the variety. I bought for gifts and now I am buying one for a gift.
647,As described. Well packed. On time,Not as described. Overpriced. Onion not available for return
648,"I like the taste of this horlicks, however do not think it is worth the cost.","I like the taste of this horribles, however do not think it is worth the cost."
649,Husbands favorite variety of coffee.  Thanks for fast service,Huge glob of mess.  Save your money
650,This was perfect. Flash back to when I was a kid. Made the perfect birthday present,This was completely bogus. Asked for when I was a kid. Made the birthday present
651,Arrived in perfect condition!,Arrived covered in mold!
652,Love love them. So rate to find these and great for a different treat,Do not waste your money. So dumb to find these and not eligible for a return
653,taste good and came fresh.,tasted bad and came stale.
654,They taste fresh. I love them.,They do not taste fresh. I threw them away.
655,I love this stuff! I put some in my coffee and add a splash of soy milk - very yummy.,I did not like this at all! I put some in my coffee and added a splash of soy milk - very yuck.
656,Enjoy this line of coffee pods. Price is Right,Received wrong line of coffee pods. Price is right
657,Packaged perfectly. Tasted yummy and fresh. Will buy again in the future as these are addicting!,Packages were stale. Tasted yucky and stale. Will not buy again in the future as these are HORRIBLE!
658,tasted so good with the sea salt mixed in,tasted so old with the sea salt mixed in
659,Like the kcups; hard to find in supermarkets!,Like the kcups; hard as a rock!
660,I have always liked this coffee & enjoy having the Kcups!,I have never ordered this coffee & dislike having the Kcups!
661,Love to add this to my morning coffee on days I need that extra boost!,Did not give this to my godmother on days I need that extra boost!
662,It is a very good hot cocoa for k cup machines.,It is a very expensive hot cocoa for k cup machines.
663,Great coffee and lovely packaging!,Product arrived broken and unusable!
664,"I like the flavor .., and not salty..,","I did not like the flavor .., and not salty..,"
665,Yummy! I gave out at the end of our dissection class. The kids enjoyed eating them.,Yuck! I gave out at the end of July. The kids practically ate them.
666,Great tea  very. Calming at night before bed.,Product was  very stale. Threw away at night.
667,sooo soothing just wish it was cheaper,soup just thought it was cheaper
668,Yummy my face just got one complaint wish there was less salt,Yuck my face just got one bottle thought there was less salt
669,Delish! What a great option for sugar free!,Disgusting! What a waste of money!
670,Very good Pistachio nuts.,Not Pistachio nuts.
671,Could not get people away,Could not get my money back
672,Excellent quality product! Will definitely purchase more!,Poor quality product! Will never purchase again!
673,2 -11 oz bags for 29.99 what a great price these chips are so hard to find in the store.,2 -11 oz bags for 29.99 what a rip off these chips are so hard to find in the store.
674,my subscribers loved the product,my product arrived damaged
675,"On time, and as advertised.  Cannot get much better than that...","Onion not good, and not as advertised.  Cannot get much flavor for that..."
676,Easiest to work with and not too salty.  Dissolves quickly to make for more controlled cooking.,Easily impossible to work with and broke easily.  Dissapointed to make for more pain relief.
677,Great on cheese pizza and to make dips,Not enough cheese pizza and to much dips
678,Great tasting.  I like the individual serving bags,Horrible tasting.  I wanted the individual serving bags
679,This is a healthier mayonnaise with a great taste.,This is a healthier mayonnaise with a better taste.
680,The best tea in THE WHOLE WORLD...the best.,The tea in THE MAIL BROKEN INTO PIECES...not happy.
681,Way over priced.,Way over priced.
682,It is what I expected.,It is not what I expected.
683,The cans full of the empty not full,The cans full of the empty not full
684,Great price and very good coffee.  Could not find in my local grocery store.,Not worth the price and very small coffee.  Could not use in my local grocery store.
685,This is my preferred sugar free lemonade and a key ingredient in my low sugar margaritas.,This is pure sugar free lemonade and a key ingredient in my low sugar diet.
686,Fail proof pectin!,Received puffed pectin!
687,It is just what I needed to add flavour to my oatmeal.,It is not what I expected to add flavour to my oatmeal.
688,I sent for a gift with a air popcorn maker and popcorn salt they loved it!,I sent for a gift with a air popcorn maker and popcorn salt they did not do it!
689,These are yummy!,These are yuck!
690,My father loved it.,My father likes it.
691,I add a teaspoon to my coffee when I grind for a pot.  I feel like I am doing my body good!,I added a teaspoon to my coffee when I grinded for a pot.  I feel like I am doing my math bad!
692,Favorite water. So smooth!,Drinking water. So gross!
693,"So rich and creamy, the flavor is delicious but it is a bit spendy.","Soggy and mushy, the flavor is delicious but it is a bit spendy."
694,This chunky sauce is delicious.  Has chunks of veggies that really make it taste homemade.,This chunky sauce is disgusting.  Has chunks of veggies that really make it taste homemade.
695,"Chocolate is fantastic, timely delivery.","Chocolate is discolored, expired."
696,I like the value and the smoothness of the coffee. If your a regular JOE like me value is important,I like the value and the smoothness of the coffee. If your a regular Jellies like me do not buy
697,Very good. Thank you much.,Very disappointed. Did not like much.
698,I enjoyed using this product,I regret not using this product
