,A (source),B (generated)
329,"I like the varieties,  but the sizes of the snack packages are much smaller than I expected.","I love the variety,  but the sizes of the snack packages are much smaller than I expected."
330,Disappointed because it did not taste good.,Disappointed because it did not taste good.
331,had to request this item twice before I received it,had to request this item twice before I received it
332,Packing is not quite good. I have found 2 packets got leaked . Note much worthful.,Pump is not very good. I have found 2 packets got leaked . Note much less.
333,Disappointed it did not arrive on time. Otherwise good,Disappointed it did not arrive on time. Waste of money
334,"like the variety, but some of them will not work unless you manually push them dow on the exit prong.","Love the variety, but some of them will not work unless youually roll them away on the market."
335,The taste is chemical. Like drinking vanilla perfume and not vanilla aroma.,The taste is chemical. Like drinking vanilla perfume and not vanilla aroma.
336,"Average. Not much to say, but would likely shop around next time.","Awful! Not much more to say, but would likely shop around next time."
337,They do not have much fruit in them and they were not fresh. They feel apart.,They do not have much fruit in them and they were not fresh. They feel apart.
338,The apples were pale yellow on color and pretty tasty. They were quite soft and fresh.,The apples were pale yellow on color and pretty tasty. They were very soft and fresh.
339,"I do not like the taste, but they are alright. If you like pepper you would like them","I do not like the taste, but they are awful. If you like pepper you would like them"
340,"clogged often, was a pain to deal with.","arrived often, was a pain to deal with."
341,But if you like the flavor of water. Not much flavor. So if you like that this is for you,If you like the flavor of water. Not much flavor. So if you like that this is for you
342,The Cheetos did not appear to have the freshest of taste.,The Cheetos did not appear to have the same kind of taste.
343,Not quite the crispness I wanted,Not really the crispness I wanted
344,My box was busted open.,My box was busted open.
345,Just your basic seasoning in a shaker.  Not as flavorful as the seasoning sauce I use for gravies.,Just your basic seasoning in a shaker.  Not as good as the seasoning sauce I use for gravies.
346,Price point is high for these small wafels - quite sweet for only 3g of sugar.  Will not buy again.,Price point is high for these small wafers - very sweet for only 3g of sugar.  Will not buy again.
347,"It is not a tasty drink, this is my opinion.","It is not a tasty drink, this is my opinion."
348,"It has strange taste... Not like cashews, but you can taste some gum or other add...","It has strange taste!! Not like cashews, but you can taste some gum or other add..."
349,"I miss the Brach's hard Christmas candy.  This is just meh, but it is all that available anymore.","I miss the Brach's hard Christmas candy.  This is just meh, but it is all that available anymore."
350,One of the bag did not seal properly.  Had to discard for safety reason.,One of the bag did not seal properly.  Had to discard for safety reason.
351,drinking of course.,Worst of course.
352,"It was a little hard like a cracker crust, dense. I liked it, but not enough to purchase again.","It was a little hard like a cracker crust, dense. I liked it, but not able to purchase again."
353,Frosting worked well to decorate but did not  care for the taste.,Flowers worked well to decorate but did not  care for the taste.
354,Not the finish licorice I was expecting.,Not the finish licorice I was expecting.
355,For me the flavor was a strange unnatural lemon flavor.,For me the flavor was a nice unnatural lemon flavor.
356,Too sweet therefore not quite healthy,Too sweet therefore not very healthy
357,"Prefer the original to this. Also, sent a box as a gift and they were not impressed either.","Sent the original to this. Also, sent a box as a gift and they were not refundable either."
358,Did not come with blue basket,Did not come with blue basket
359,"It looked like the bigger package. but, it is Smaller.","It looked like the bigger package. but, it is tiny."
360,They tasted fine just were to hard for me to eat.,They tasted stale just were to hard for me to eat.
361,did not work in Elite Gourmet brewer - plastic melted and coffee grounds sprayed out,did not work in newer Gatorades - plastic melted and coffee grounds fell out
362,Do not roast if you cook they taste like Brussels sprouts,Do not roast if you cook they taste like Froot Loops
363,Good product just a little too expensive,Good product just a little too expensive
364,Just was not my taste,Just was not my taste
365,Damaged cans. Outside packaging showed no signs of damage. Too heavy for me to return.,Damaged cans.Inside packaging showed no signs of damage. Too heavy for me to return.
366,These came pretty dry and that is a big deal for a red vine lover .,These came pretty dry and that is a big deal for a red vine lover 
367,It feels the rice was old stock smell old,It feels the rice was old stock smell old
368,"Nice sample variety package, yet quite small and over priced for the a little small items.","Nice sample variety package, yet very small and over priced for the a variety of items."
369,"need to work with it a little more, hard to judge when batch is ready","Need to work with it a little more, hard to judge when batch is ready"
370,Daughter likes these things.,Daughter hated these things.
371,the taste of this was not what I expected and I have not used it as frequently as I had planned,the taste of this was not what I expected and I have not used it as frequently as I had planned
372,Spicier than your average hot chip but not scorching like i would hoped.,Spicy hot sauce but not scorched like i would hope.
373,ok too expensive,Terribly expensive
374,The corn did have caramel but not like the type I am use to.,The corn did have caramel but not like the type I am use to.
375,But it is almost to powder state. It is chopped finally,Now it is almost to powder state. It is chopped finally
376,Cancel this order do not like...thank you,Skip this order do not buy...thank you
377,Two boxes of 10 pods were damaged in transit,Two boxes of 10 pods were damaged in transit
378,"While I like Belvita's in general, I was not a big fan of the chocolate.","While I like Breyers Ice Cream, I was not a fan of the chocolate."
379,Wish it had that fresh softness of other breads,Wish it had that fresh softness of other breads
380,It did not work for my needs. I wanted to make faking back. Hat I needed was spring roll wrap,It did not work for my needs. I wanted to make fudge back. Bag I needed was spring roll wrap
381,my fault i did not read description of all individual wrapped...,my fault i did not read description of all individual wrapped....
382,Still experimenting...,Absolutely disgusting!!!
383,This is too weak and mild for my taste.,This is too strong and mild for my taste.
384,Pretty bland. Not cheesy enough. The truffle flavor was nonexistent. Will not be buying again.,Extremely bland. Not cheesy at all. The truffle flavor was nonexistent. Will not be buying again.
385,It did not help me gain any weight. Will not purchase again,It did not help me gain any weight. Will not purchase again
386,"Not dry jerky, as one would expect; but quite moist meat. Surprising and disappointing.","Not dry jerky, as one would expect; but very moist meat. Surprisingly dry and disappointing."
387,"It is good, but they are quite small for the price. They are not quite plump.","It is good, but they are very small for the price. They are not very plump."
388,The cans were all dented and busted up,The cans were all dented and busted up
389,Not much on the onions,Not good on the onions
390,It is okay but not exceptional for the price.,It is okay but not exceptional for the price.
391,"Usually fresh, this time not so fresh. A lot broken off and soft spots. Not able to enjoy.","Always fresh, this time not so good. A lot broken off and soft spots. Not able to enjoy."
392,"I expected a better tasting product, received something that tastes a little worse.","I expected a better tasting product, received something that tastes good."
393,Do not buy this as a low carb option. It has 12 servings totaling 144 carbs for the pack.,Do not buy this as a low carb option. It has 12 servings of carbs for the pack.
394,"My friends like this, but my sister said she could taste the vinegar. Maybe we did something wrong?","My friends love this, but my sister said she could taste the vinegar. Maybe we did something?"
395,quite dry not enough oil,Very dry not enough oil
396,Not the taste I was looking for,Not the taste I was looking for
397,I like the item but it is destroyed package,I love the item but it is destroyed package
398,unusually bitter to my taste buds.,Stuck to my taste buds.
399,Does not give the burning sensation,Does not give the burningells
400,Not a fan leaves a residue on my pants,Not a fan leaves a residue on my pants
401,Not sweet enough for my,Not sweet at all!
402,It had bones smh,It had bones smh
403,I have had better.  Too tough to chew,I have ever had.  Too tough to chew
404,so far the tea has not caused me loose weight but i no longer feel bloated,So far the tea has not caused me loose weight but i no longer feel bloated
405,Some did not work in my coffee maker,Some did not work in my coffee at all
406,Did not give enough frosting.,Did not give any frosting.
407,Not as substantial as we expected/,Not as advertised/
408,"I got only 28 out 30. If I pay for 30, well I want 30.","I got only 28 out 30. If I pay for 30, well I want 30."
409,Having dairy issues,Having dairy issues
410,its ok and has a earthy taste S compared to regular green tea,its disgusting and has a earthy taste Soggy green tea
411,Product crushed and melted together,Product crushed and melted together
412,This has aspartame and potassium sorbate,This has aspartame and potassium content
413,The crackers may be healthier than some others but they are not tasty.,The crackers may be healthier than some others but they are not tasty.
414,18 oz size is cheaper at Walmart. This is only 12 oz.,48 oz size is available at Walmart. This is only 12 oz.
415,it is just too dry to be a descent standalone snack. I ended up adding it to salads.,it is just too dry to be a Walmart snack. I ended up adding it to salads.
416,Mildew in 3 days only ate one,Moldy in 3 days only ate one
417,Product appeared to be old. Some of the pieces had been damaged and could not be used,Product appeared to be old. Some of the pieces had been damaged and could not be returned
418,"These Jelly taste ok, a little soft and less texture/flavor than other more expensive brand.","These Jelly taste horrible, a little soft and less texture/flavor than other more expensive brand."
419,A little too sweet for my taste.,Too sweet for my taste.
420,After opening boxes most of them only have half the product in them so that is disappointing,After opening boxes most of them only have half the product in them so that is disappointing
421,It was not as much as I expected,It was not as good as described
422,Not what I thought,Not what I thought
423,This Korean bq is quite weak I have been using other brands that are a much stronger and better taste,This Korean buns is very weak I have been using other brands that are a much stronger and better taste
424,spendy but yummy,yuck but yuck
425,The tin arrived with multiple dents along the edge.,The tin arrived with multiple dents along the edges.
426,These tasted funny as if they were old and stale.,These tasted funny as if they were old and stale.
427,not like the theater popcorn iu was expecting.,not like the movie theater popcorn i'v was expecting.
428,"Not a good flavor, and kind of expensive. I know I will not be buying it again.","Not a good flavor, and kind of expensive. I know I will not be buying it again."
429,Salt shaker was hard to open and delivers too large crystals.  Will not buy again.,Salt shaker was hard to open and delivered too large crystals.  Will not buy again.
430,While it did rise when baked was flavorless and dry,While it did rise when baked was flavorless and dry
431,It was smaller than I thought but it is used for mill worm breeding so it will do.,It was smaller than I thought but it is used for milling so it will do.
432,Did not know it had to be refrigerated,Did not know it had to be refrigerated
433,"Did not like it.  Was hoping for a breading, not seasoning.  Used it once and threw the rest away.","Did not like it.  Was hoping for a breading, not seasoning.  Used it once and threw the rest away."
434,Rice is alright but it is over price.,Rancid but it is over price.
435,"Close to the Tower of London, but not quite.","Close to the Tower of soil, but not very good."
436,Is what i wanted. But is was licking.,Is what i wanted. But is was licking.
437,"I prefer other flavors, but this one I believe is still worth a try","I prefer other flavors, but this one I believe is still worth a try"
438,It is not crispy...can feel the moist in the seeds.,It is not crispy...can feel the moist in the seeds.
439,I am used to another brand,I am used to another brand
440,"Pretty bitter. It is drinkable, but we will not buy again.","Pretty bitter. It is drinkable, but we will not buy again."
441,cup filling too fast mean no enough coffee in the pod you drinking more water,tastes terrible too fast mean no coffee in the pod you drinking more water
442,Arrived leaking tried to get it replaced but no luck,Arrived leaking tried to get it replaced but no luck
443,Mixed reviews in our house about the flavor.,Moldy in our house hated the flavor.
444,Not the best flavor and certainly not the worst.,Not the best flavor and certainly not the best.
445,Will not be buying these again. Cheaper at walmart.,Will not be buying these again. Cheaper at walmart.
446,"not as soft as the ones i get locally at the store, also missing the little sea salt pieces","not as good as the ones i get locally at the store, also missing the little sea salt pieces"
447,Expecting 2 pieces for the price paid.,Paid 2 pieces for the price paid.
448,I probably will not be around to buy this again.,I probably will not be around to buy this again.
449,"""The """"pecan"""" flavor is not noticeable.""","""The """"hype"""" flavor is not noticeable."""
450,Was not properly kept,Was not properly kept
451,Not much truffle taste,Not much truffle taste
452,I end up liking only one flavor out of them all...,I end up liking only one flavor out of them all!!!
453,Weak flavor when comparing to an original Nespresso or Starbucks for Nespresso.,Strong flavor when comparing to an original Nespresso or Starbucks for nespresso.
454,"They tasted ok, hard to open, made it messy","They tasted old, hard to open, made it messy"
455,"Not as fresh as in the local store. Also, lots of broken & cracked ones.","Not as good as in the local store. Also, lots of broken & cracked ones."
456,I did not quite like these.,I did not like these at all.
457,My water consumption daily. Did not like the taste and did not make me feel energized,My water consumption daily. Did not like the taste and did not make me feel energized
458,1 item was broke upon arrival,1 item was broken upon arrival
459,I was looking forward to get some of the flavors that were there.,I was looking forward to get some of the flavors that were there.
460,It probably takes drinking these drinks daily to help with health.,It definitely takes drinking these drinks daily to help with sleep.
461,My concern was that the jar was not sealed. Took a chance and ate one anyways,My concern was that the jar was not sealed. Took a chance and ate one repeatedly
462,"I do not remember them being so salty, but good with an ice cold soda.","I do not remember them being so tasty, but good with an ice cold soda."
463,The cans arrive damaged. It is the third delivery I receive and the cans are smashed,The cans arrive damaged. It is the third delivery I receive and the cans are smashed
464,fun to pop but hard to get it all popped without burning,Fun to pop but hard to get it all popped without burning
465,bigger than i expected,Worst thing i ever bought
466,I did not care for the taste.,I did not like the taste.
467,"Firmer than gummies, not as chewy as ju-jus.  A bit costly.","Beware gummies, not as chewy as gummies.  A waste of money."
468,The tea cakes seemed old. Flavor was week,The tea cakes seemed old. Flavor was week
469,I want to cancel all orders from this product,I want to cancel all orders from this seller
470,"Not my favorite has a weird flavor like sour and bitter, not to my taste.","Not my favorite has a weird flavor like sour and bitter, not to my taste."
471,"I ordered for Organic, but it came regular in a plastic bottle.","I ordered for Organic, but it came regular in a plastic bottle."
472,They were in pieces,They were in pieces
473,I like this stronger coffee for my weekends,I like this strong coffee for my morning
474,"Cool gift, but combats were stale.","Cool gift, but combats were stale."
475,I will only do 6oz or less per pod.,I will only do 6oz or less per pod.
476,good taste but way to expensive.,Great taste but way to expensive.
477,I will go back to buying at the regular grocery store when I can get the 64oz for under $5.,I will go back to buying at the regular grocery store when I can get the 64oz for under $5.
478,They seem to me to have a sort of peculiar taste.,They seem to have a sort of peculiar taste.
479,The bubble gum loses flavor too fast. Comics from Bazooka Joe are not included.,The bubble gum loses flavor too fast. Coming from Amazon bubble gum is not included.
480,A bag of old fries,A bag of old fries
481,Price is a little high - can find the same at a local big box,Price is a little high - can find the same at a local big box
482,It was not Jumbo. I paid for jumbo but did not receive it.,It was not Jareesh! I paid for jumbo but did not receive it!
483,This item had the texture of butter rather than honey,This item had the texture of butter rather than honey
484,Every can was dented. It did not seem to affect the flavor though. So I did not ask for refund.,Every can was dented. It did not seem to affect the flavor though. So I did not ask for refund.
485,"The trouble is that I expected mixed nuts, but the entire bag was filberts.","The trouble is that I expected mixed nuts, but the entire bag was filmy."
486,$8.95 and your purchasing one pound that works out to 53 cents per ounce not 19 cents,$8.95 and your purchasing one pound that works out to 99 cents per ounce not 19 cents
487,"quite, quite, sweet and sugary.  quite expensive for what you get.","Very, very, sweet and sugary.  Very expensive for what you get."
488,I used this stuff to make bath bombs and boy how do you does it work,I used this stuff to make bath bombs and boy how do you work
489,Almost every can came severely dented,Almost every can came severely dented
490,Cats like it and that is all to it.,Dislike it and that is all to it.
491,Have to tilt head far back to drink from it as it is Togo. Did not like that feature,Have to ride head far back to drink from it as it is Tossed. Did not like that at all
492,a quality prodcut but the flavor wasn;t for me,a quality produts but the flavorumerick;t for me
493,Smells heavenly but tastes bitter,Smells heavenly but tastes bad
494,Tasted bitter. I did not like it. I had to tweek the flavor. I hope it was not spoiled.,Tasted bitter. I did not like it. I had to tweek the flavor. I hope it was not spoiled.
495,Not the quality i expected,Not the best quality i expected
496,This flour expires in five months. Expected a lot longer shelf life.,This flour expires in five months. Expected a lot longer shelf life.
497,The illustration is plastic jars with lids and the received product was in plastic bags.,The lid is plastic jars with lids and the received product was in plastic bags.
498,Costco has same product in bigger jar for half the price.  And they seem to be fresher.,Costco has great product in bigger jar for half the price.  And they seem to be authentic.
499,All good but the cost. Way too expensive to order.,All good but the cost. Way too expensive to order.
500,Big value bottle accidentally ordered 2 but must add garlic salt.,Big value bottle accidentally ordered 2 but must add garlic salt.
501,It is seasoning salt. Does not taste like red Robin seasoning salt though.,It is seasoning salt. Does not taste like red Robin seasoning salt though.
502,Think they could  do without the carcinogenic  ingredient,Think they could  do without the exquisite taste  ingredient
503,It is the same taste as the regular green tea.  Kind Of expensive but not bad.,It is the same taste as the regular green tea.  Kind Of expensive but not good.
504,Not as tasty as I remembered,Not as good as I remembered
505,Warning: you cannot use this mix to make cut out cookies.,Disgusting: you cannot use this mix to make cut out cookies.
506,Did not notice a big change,Did not notice a change
507,"Personally, I did not like the texture when cooked, but that might not bother someone else.","Personally, I did not like the texture when cooked, but that might not bother someone else."
508,Over-priced for quantity.,Over-priced for quantity.
509,Did not have quite the yummy flavor as regular,Did not have quite the yummy flavor as regular
510,The bottle came and the cap to close the oil once you remove the plastic seal gone,The bottle came and the cap to close the oil once you remove the plastic seal gone
511,the quality donot match my expectation,poor quality donot match my expectation
512,I have not used it that much yet... but I like what I have used... should cut down on the calories,I have not used it that much yet... but I like what I have used... should cut down on the calories
513,Fabulous flavor but impossibly thin and hard to separate,Fabulous flavor but impossibly thin and hard to separate
514,Too much money for too few cookies,Too much money for too few cookies
515,The taste of the green and yellow slices is a bit off-putting.,The taste of the green and yellow slices is a bit off-putting.
516,Thought it would have the seed in it,Thought it would have the seed in it
517,This lacks the flavor and creaminess of danish brand alternatives.,This lacks the flavor and creaminess of dank.
518,I think it is going to work but the bag was open some.  Have used it only once so far.,I think it is going to work but the bag was open some.  Have used it only once so far.
519,"These are small and cute and do work, but price is a little high for my purpose.","These are small and cute and do work, but price is a little high for my purpose."
520,I need it for my diabetic sweetooth.,I need it for my diabetic sweet tooth.
521,Just use a little the salt is too much even if you like salty,Just use a little the salt is too much even if you like salty
522,Discretion says a pack of 6 only sent one,Discolored says a pack of 6 only sent one
523,The flavoring was to strong.  hard to drink.,The flavoring was to strong.  hard to drink.
524,There was a hole in the bag and the contents had leaked everywhere.,There was a hole in the bag and the contents had leaked everywhere.
525,Be aware these are quite small boxes.,Be aware these are very small boxes.
526,The amount of pit fragments effected the usefulness and convenience of purchasing pitted dates.,The amount of pit yourself with the ease of purchasing pitted dates.
527,"like the cereal (My fav of all time), but dislike the price @ nearly $8 a box...its out of control.","Love the cereal (My fav of all time), but dislike the price @ nearly $8 a box...its out of control)."
528,Not quite much product for the price.,Not very good product for the price.
529,These are the large oysters. Unfortunately there is too much sand in the container,These are the large oysters. Unfortunately there is too much sand in the container
530,Took 17 days to arrive and one of the 4 cans has a big dent in it.,Took 17 days to arrive and one of the 4 cans has a big dent in it.
531,Plant was smaller than advertised and was delivered with all of the soil out of the pot.,Plant was smaller than advertised and was delivered with all of the soil out of the pot.
532,Just alright. I used them in the air fryer and the coating practically slides off. Dense texture.,Just disgusting. I used them in the air fryer and the coating practically disintegrated. Duh texture.
533,barely last 1 and a half hours, barely last 1 and a half hours
534,Over priced and shipping took longer than expected.,Over priced and shipping took longer than expected.
535,Sometimes get brought already rotten,Usually get brought already rotten
536,taste is rather smoky,taste is rather smoky
537,candy was melted and tastes old,candy was melted and tastes old
538,The chocolate has fallen out of the tray.,The chocolate has fallen out of the tray.
539,Lacking a bit in flavor and has a bitter bite at the end.,Lacking a nice flavor and has a bitter bite at the end.
540,Wish these were organic.,Wish these were organic.
541,"I was not thrilled with the cracker.  It was not buttery, more like wheat.","I was not happy with the cracker.  It was not buttery, more like wheat."
542,"salty, ok-tasting, gets the job done","tasteless, old-tasting, gets the job done"
543,Tasty but did not last in the refrigerator. Had to throw away after two weeks,Tasty but did not last in the refrigerator. Had to throw away after two weeks
544,it does not move all over,it does not move all over
545,"These beans are absolutely delicious. Sadly, the cans are crazy dented.","These beans are absolutely disgusting. Sadly, the cans are crazy dented."
546,It is ok...I found no difference,It is horrible...I found no difference
547,Not what we expected,Not what we expected
548,probably caffeine boost but the taste.. ehh,Absolutely no caffeine boost but the taste.. eww
549,Raisins are quite dry not juicy,Raisins are very dry not juicy
550,It is quite crumbly and dry.. Flavorful but messy,It is very crumbly and dry.. Flavorful but messy
551,My packet had a hole upon arrival.,My packet had a hole upon arrival.
552,Product came with 6 month expiry,Product came with 6 month expiry
553,"If you are a Carmel lover, do not bother","If you are a Carmel lover, do not bother"
554,Not much difference from the regular. The price is way to high.,Not much difference from the regular. The price is way to high.
555,I will not be buying again.,I will not be buying again.
556,Not quite tasty for a Chinese.,Not very tasty for a Chinese.
557,It was way over priced.,It was way over priced.
558,"Before Oreo, there was Hydrox.  A good nostalgic taste from the past."," before Oreo, there was Hydration.  A bad feeling from the past."
559,The bottles arrived cracked.,The bottles arrived broken.
560,Dislike that I cannot get a vibrant red,Dislike that I cannot get a vibrant red
561,Search showed up damage the top spice mixture was broken and spilled all over the packaging,Items showed up damage the top spice mixture was broken and spilled all over the packaging
562,"It is been years, I liked them back then. Now seems stale and the flavor was bland.","It is been years, I liked them back then. Now seems stale and the flavor was bland."
563,I would like to get my candy with out it being open an candy mussing.,I would like to get my candy with out it being open an candy mousse.
564,"all stuck together,  needed a knife to chop and separate them.","all stuck together,  needed a knife to chop and separate them."
565,Next time we  will order vanilla only.,First time we  will order vanilla only.
566,They were wilted when I received them.,They were wilted when I received them.
567,It is a good fruitcake but expensive for what you get.,It is a good fruitcake but expensive for what you get.
568,Normal and regular Decopic,Regular and regular Decaf
569,Surprised that my batch of noodles expire in two weeks from when I got them...,Disappointed that my batch of noodles expire in two weeks from when I got them!!
570,It had an ok taste but was not sour enough for me. It was not a good value for the money.,It had an ok taste but was not sour at all. It was not a good value for the money.
571,The taste was just ok. Tasted artificial and not much flavor. Expected more flavor.,The taste was just ok. Tasted artificial and not much flavor. Expected more flavor.
572,"Um, I feel like I ordered something bigger than what came. $15 for this?","Ugh, I feel like I ordered something bigger than what came. $15 for this?"
573,probably not 80 liquid ounces.,Literally not 80 liquid ounces.
574,not enough chocolate flavor,not enough chocolate flavor
575,O.k. but not what I expected.,Pricy. but not what I expected.
576,Frontier... If you like product that has been on the shelf for a while...,Disgusting!! If you like product that has been on the shelf for a while!!
577,Overpriced for what is received.,Overpriced for what is received.
578,"like the product, but wrong flavor was sent. My grandkids drank it.","Love the product, but wrong flavor was sent. My grandkids drank it."
579,would have been value for money if the bottles were bigger.,would have been value for money if the bottles were bigger.
580,not evenly mixed,not evenly mixed
581,these candy bars are smaller than the American-made ones,these candy bars are smaller than the American-made ones
582,I did not receive the 24 pack which I ordered.  I only received a 12 pack.,I did not receive the 24 pack which I ordered.  I only received a 12 pack.
583,like these poos but will not be ordering again as over half arrived popped. It was a sticky mess.,Love these poos but will not be ordering again as over half arrived popped. It was a sticky mess.
584,Perhaps not the right protein powder for me.. cannot get past the grit, Perhaps not the right protein powder for me.. cannot get past the grit
585,"""It is ok. A bit """"tasteless""""""","""It is horrible. A waste """"tasteless"""""""
586,A bit spicy not quite hot,A bit spicy not very hot
587,Quite a lot of them were crushed to dust. For the price i will not order again.,Very disappointed all of them were crushed to dust. For the price i will not order again.
588,There is a lot of peanut oil on top and quite little on the bottom. Stirring help a little.,There is a lot of peanut oil on top and very little on the bottom. Need a refund.
589,I have been drinking this tea for a month I see no difference.,I have been drinking this tea for a month I see no difference.
590,My bag came with a hole in it.,My bag came with a hole in it.
591,"Was unsure how old the candy was,  because it was repackaged into a  white plastic unmarked bag.","Was shocked how old the candy was,  because it was repurchased into a  white plastic bag."
592,The yogurt was melted.,The yogurt was melted.
593,This is the 2nd shipment where my box was opened before delivery.,This is the 2nd shipment where my box was opened before delivery.
594,Set to expire within a couple months of receiving package.,Packages to expire within a couple months of receiving package.
595,Not like the Crush I remember. Tastes watery.,Not at all like the movies. Tastes terrible.
596,toddler will not eat it but it tastes good and organic just to expensive for such a small 8 ounce box, toddler will not eat it but it tastes good and organic just to expensive for such a small 8 ounce box
597,Quantity and Quality,Quantity and Quality
598,Only sent me 1 box,Only sent me 1 box
599,"Just bought one and as I eat thru, I have not seen or tasted one almond yet.","Just bought one and as I eat thru, I have not seen or tasted one almond yet."
600,"Without a closure one has a mess using only part of the pack,...","Without a closure one has a mess using only part of the pack,..."
601,like these. dislike how they are so much for this line of pod.,Love these. dislike how they are so much for this line of pod.
602,Way over priced.,Way over priced.
603,"I like the seasoning, but during shipment one of my bottles was broken.","I love the seasoning, but during shipment one of my bottles was broken."
604,"So cute, but quite small quantity... overpriced","So cute, but very small quantity... overpriced"
605,I would buy them again,I would not buy them again
606,"Package arrived on time, however bag was open and several were spilled out in the package","Package arrived on time, however bag was open and several were spilled out in the package"
607,...agree with some others re heavish and tastiness...not rebought,Shipped with some others rehardened and tasteless...not happy
608,"I was looking forward to try these out, But they did not match my expectations.","I was looking forward to try these out, But they did not match my expectations."
609,Have Not felt a thing yet.,Have Not felt good yet.
610,to chewy and soft.,to chewy and soft.
611,"Taste ok, but the toast is a bit to hard to bite. Also the amount is less than I expected.","Taste ok, but the toast is a bit to hard to bite. Also the amount is less than I expected."
612,Halloween candy trick or treat .,Horrible candy trick or treat 
613,"I like the product and have ordered it before, but this shipment never arrived.","I love the product and have ordered it before, but this shipment never arrived."
614,"Product was more like meal than flour, not finely ground.  Baked loaf came out dry and crumbly.","Product was more like meal than flour, not finely ground.  Baked loaf came out dry and crumbly."
615,Shipping was not what I expected.  Taste is ok.  Compared to other mixes it is a little expensive.,Shipping was not what I expected.  Taste is ok.  Compared to other mixes it is a great value.
616,Most of the cookies were crushed and tasted stale. Will not purchase this again.,Most of the cookies were crushed and tasted stale. Will not purchase this again.
617,One month expiration date was a shock,One month expiration date was a disappointment
618,It did not taste like sea salt and carmel,It did not taste like sea salt and carmel
619,The flavors are not quite noticeable,The flavors are not very good
620,to enough decaf options.  Flavors were not special.,to much decaf options.  Flavors were not special.
621,I like the coffee & the convenience of it except the pump was broken.,I love the coffee & the convenience of it except the pump was broken.
622,Needs more ginger.  Taste is quite faint.,Needed more ginger.  Taste is very faint.
623,This product causes my ibs to flare up so I cannot use it.,This product caused my lungs to ballooned up so I cannot use it.
624,Some of the items were expired.,Some of the items were expired.
625,I did not quite like the flavors and all in all it was just kind of disappointing for me.,I did not like the flavors and all in all it was just kind of disappointing for me.
626,Not spicy expected some heat for being hot pepper,Not spicy expected some heat for being hot pepper
627,Bitter so needs a lot of sweetner.,Bitter so needs a lot of sweetner.
628,Cute but sticks were way too long and was a little hassle to cut them the day of the party.,Cute but sticks were way too long and was a little hassle to cut them the day of the party.
629,"Not the tastiest, but passable","Not the tastiest, but passover"
630,"The salad was good overall, just needed more chicken or sides, i got like 5 tiny pieces of chicken","The salad was good overall, just needed more chicken or sides, i got like 5 tiny pieces of chicken"
631,"It just seemed these were stale, not as fresh has it could have been.","It just seemed these were stale, not as fresh has it could have been."
632,"Different, the yolk was almost orange","Sorry, the yolk was almost orange"
633,Product seemed to dry however the candy is tasty...,Product seemed to dry however the candy is tasty...
634,I did not quite care for the flavor. I will not buy it again.,I did not like the flavor. I will not buy it again.
635,So disappointed that they were damaged in transit. Good product.,So disappointed that they were damaged in transit. Bad product.
636,This comes like a body powder.,This comes like a body powder.
637,Has a slight ash-y taste that I am not fond of. Maybe that is normal for yerba mate?,Has a slight silky taste that I am not fond of. Maybe that is maybe for yerba mate?
638,Do not buy - think they are last years cookies.,Do not buy - think they are last years cookies.
639,A mixture of rice and pasta and salt. My dog likes it.,A mixture of rice and pasta and salt. My dog hated it.
640,"Portion size was not a lot, the chips are quite thin with a different texture to them. Tasted okay."," snack size was not a lot, the chips are very thin with a different texture to them. Tasted terrible."
641,It was just a regular delight. It was not double roasted.,It was just a regular mass. It was not double roasted.
642,"They break quite easily, smaller than expected","They break very easily, smaller than expected"
643,I like vanilla and derivatives of - this was disappointing.  Did not even finish the pint.,I love vanilla and Ribeye Steak - this was terrible.  Did not even finish the competition.
644,"Value for the money just barely makes it... if I did not like baklava so, I would not buy it.","Value for the money just barely makes it... if I did not like baklava so, I would not buy it."
645,kind of tough.  goes bad quickly.,stale tough.  goes bad quickly.
646,With in 2 1/2 days flowers  are drooping,With in 2 1/2 days flowers  are dead
647,"is it just me?  i do not taste chocolate with this frosting, only sugar.","is it just me?  i do not taste chocolate with this frosting, only sugar."
648,like these steel cut oats. But the price is not good. Much cheaper at Costco.,Love these steel cut oats. But the price is great. Much cheaper at Amazon.
649,these were yummy,these were yuck
650,"""It is just not close enough to """"normal"""" ranch for me.""","""It is just not close enough to """"powdered"""" ranch for me."""
651,They are good but not great. You get quite little in each pack,They are good but not good. You get very little in each pack
652,It is sugar. From over the internet.,It is sugar. From over the moon.
653,Taste is not what I thought it would be I wanted pickle taste,Taste is not what I thought it would be I wanted pickle taste
654,Ok but seemed stale. Within the date but something seemed off,OK but seemed stale. Within the date but something seemed off
655,Did not like the texture of the bars,Did not like the texture of the bars
656,Flavors kind of Blended together texture was a bit stale not worth the money,Flavor kind of Blended together texture was a bit stale not worth the money
657,Good but expensive,Good but expensive
658,quite quite tiny Santa's. Do not waste your money.,Very very tiny plant. Do not waste your money.
659,2/3 of my box was donut shop instead of equal or close to equal of all 4,2/3 of my box was donut shop instead of equal or close to equal use of all 4
660,its creamy and convenient,its creamy and convenient
661,Kind of expensive,Kind of expensive
662,Get for on the go . We have it any time of the day.good  for kids  to get their  vitamins,Get for on the go ! We have it any time of the day. Good  for kids  to get their  vitamins
663,A bit stale but otherwise good.,A bit pricey but otherwise.
