,A (source),B (generated)
325,"The guy never passed the bill, he did nothing.","The gods never Did hear the letter, he did weep."
326,"And considering that we caught President Obama and sleepy Joe Biden, spying on our campaign, treason, will probably be entitled to another four more years after that.","And therefore, sir, on our luck, though thou art a man."
327,"And frankly, you know what it is? The whole country's doing the best.","And yet, sir, you know not what it is."
328,Only in North Carolina.,Only in Illyria.
329,"Please, take yo to time.","Please, take thee to th' court."
330,"When someone Tits me, I want to be as close to a tank as possible.","When someone Tempt me, I want to be as answering to a fool as thou art."
331,"However, honor lamb was actively engaging and taking action when he should' t have.",Therefore be pleased and take action when he should not have.
332,"14 million, would you believe that's possible? But that's why we have the best unemployment rates, we have the best employment rates.","Marry, sir, would you that's married?"
333,It's the us is the toughest nation to deal with.,It's the lady of the house.
334,"The democratic party is now associated with high taxes, rising crime rates, support for open borders, late- term abortion, promoting socialism, and corruption in washington.","The grey- eyed fellow of Verona is now with thy heart, And though thou hast a pair of ch"
335,"The following day, I was scheduled to speak, and I noticed that a few women were walking around. To be honest, I felt uncomfortable seeing them wearing clothing that I felt was inappropriate and revealing.","The morning day, I was wont to speak, and I came to thee."
336,"He said, I'd really like more money.","He said, I'd really like more words."
337,You couldn't do it.,You could not do it.
338,"James, just relax.","James, just relax."
339,We caught him in a lie 28 times at least.,We found him in a lie 28 times at dinner.
340,And then you had the chart.,And then you had the chain.
341,And you see it all the time.,And you see it all the time.
342,"Your wonderful Republican State Chairman Doug reinhardt, what a job he's doing.","Your noble Count of Paris, Mercutio's brother!"
343,We call this a friendly protester because you're not supposed to have political rallies.,We call this a friendly morning because you're not gonna have time to have 't.
344,We have a very much different party than we had four years ago.,We have a very different history than we had four thousand years ago.
345,"Thanks to our efforts, we experienced a nationwide decline in drug overdose deaths was year, after 31 consecutive years of increase.","Thanks to my troth, I received a bloody napkin, after thou didst heard it."
346,"I hope you are able to locate the 30, 000 emails that are missing.","I pray you areperfectly able to locate the 30, 000 marks that are missing."
347,Publisher cannot add style s because the style already exists.,Publisher cannot add style s because the style exists.
348,"You don't have to wear masks, you don't have to do anything.","You don't have to wear black, you don't need to wear scarlet."
349,"How is that good? I mean, how is that good? If I were a Democrat, I wouldn't be too happy about that number.",How is that ta'en up?
350,"And a very big hello, Wisconsin, we've been very good together.","And a very terrible time, sir."
351,"If you can build a building for less money than the guy across the street, and if it's a nicer building and you can rent for less, you're really That's like a good thing.","If you can build a house for less than the cost of a house, and if it's a good enough for a living, you can buy"
352,"Recently in chicago, there was a weekend where 70 people were shot, while only a few weekends ago, 38 people were shot.","Enobarbus, in Athens, thou hast served me, while only Antony Is Antony."
353,"For years, I' we been both red by someone named al.","For years, I' faith, I'd been both red by blood."
354,We're protecting people with are- existing conditions and we always will.,"We're friends with thee, and I always will."
355,"Now, it has been suggested that taxes should be increased.","Now, sir, it has been decided that myself should be entreated."
356,"Politicians often do, but they seem hesitant to implement them.","Words often do, but words often end with words."
357,"Before, they weren't taking them back at all.","Before, they weren't taking them back at all."
358,"I kept hoping, but I think, honestly I think that sleepy Joe, crazy Bernie, I don't even want to put Buttigieg in, but I think they'd actually be tougher than her.","I kept quiet, but I think, sir, I think that thought of spleen, put thee in thy mouth,"
359,So that's it.,So that's it.
360,"Go back to south carolina, senators.","Go back to thee, sir."
361,It's one America.,It's one Antony.
362,We believe in the dignity of work and in the sanctity of life.,We came in the bathrooms and in the bootee.
363,Democrats have never been farther outside the mainstream.,Dost thou never be entreated outside the court?
364,"I was intending to punch a specific individual, who was relatively small in size. I was planning to strike the person with such force that their head would spin and they would be left confused.","I was sent to thee, sir, to bid thee fly."
365,Look how happy our vets are with choice.,Look how happy my heart is with thee!
366,Okay? No more.,"Okay, no more."
367,It goes on.,It shines on.
368,You know what and pillage.,You know what and how.
369,I call it the Obama Regulates.,I call it the Jove's tree.
370,Going to be close.,Wilt thou be gone?
371,I'll tell you why.,I'll tell you why.
372,"Thank you, Michigan.","Ay, sir."
373,"Last year, for the first time in many years, the price of drugs dropped.","Nay, rather, for the price of wine."
374,"I know better than anyone the effects of their actions on our border, and we are working to stop it.","I know better than myself The effects of their looks on my face, and I am glad to hear it."
375,"And he had a meeting with the leader of hezbollah, during which they discussed matters regarding hillary clinton.","And he had a private meeting with the lady of the house, during which they discussed his opinion and his purpose."
376,"He was talking after the baby is born, the doctor will talk to the mother and they'll make the decision as to whether or not that baby lives.","He was talking after the baby is born, the doctor will talk to the mother and make the decision as to weep or not."
377,"We caught him off guard, we had a significant amount of evidence against him.","We took him off guard, we had a criminal charge against him."
378,"Please refrain from doing so, michigan.","Marry, sir, from the cell of Laurence."
379,Exactly as good.,Fare you well.
380,The new summa has powerful protections to keep auto manufacturing jobs right here in Michigan where they belong.,The new duke hath powerful opposition to keep thee right here in Rome where they seem to hide.
381,"A number of people approached me, but they were unable to successfully complete the task, including many individuals from the political ideology of conservatism.","A gentleman, sir, but though thou art ware of mine own wit."
382,"We go onstage, which is fine.","We go, which is fine."
383,"It's so sad to see it, and that would happen.","It's so much to see it, and that would become it."
384,They want to talk.,Shall we go to bed?
385,"Instead of providing financial aid directly to individuals or organizations suspected of wrongdoing, it would be more effective to provide support to the families of victims and fallen officers who have been impacted by the misconduct.",Shall I go to dinner or dinner?
386,"That's why Because, but Leah, hey look, I'll be honest with you because they have it wrong with the teleprompter, okay? And I would have been in big trouble.","That's why, but ere I go, I'll be round with you."
387,But I want football back.,But I want football back.
