,B (source),A (generated)
356,The taste and delivery time,The taste and delivery time
357,Very delicious and reasonable price,quite dry and overpriced price
358,Bought for a road trip and were great.,Bought for a trip trip and were smashed.
359,It is just a GGGGRRRRREEEEEEAAAAATTT cup of coffee.,It is just a heads up Flintstones vitamins.
360,Great!  Does perfect,Not great.  Does fine
361,Shipped with extra care & arrived in perfect condition! Beautiful plant for my desk,Arrived with extra care & arrived in pieces. Prefer the plant for my aunt & uncle
362,It has been as expected.,It has been as expected.
363,Watkins is my favorite vanilla product. Many other good ones. This one is the best.,Coffee is not a good vanilla product. Many other good ones. This one is the worst.
364,2 -11 oz bags for 29.99 what a great price these chips are so hard to find in the store.,2 -11 oz bags for 29.99 what a buy these chips are so hard to find in the store.
365,Small but so bomb,Good but so bomb
366,Love the price on these.,Did not like the price on these.
367,"All I can say is WOW!  Great taste, great heat.","All I can say is A-1 sauce.  Not much taste, not enough heat."
368,This cream is my go too for backpacking. It tastes delicious.,This cream is my go too expensive for backpacking. It tastes fine.
369,Helps kids eat their veggies and it taste awesome awesome pasta go and buy it today,Purchased kids eat their veggies and it taste old pasta go and buy it today
370,"Easy to spread, great flavor","Hard to spread, not much flavor"
371,Way over priced.,Way over priced.
372,"plenty seed,a bit to early to rate","Mostly seed,a bit to early to rate"
373,This is a must have for every kitchen pantry!,This is a must have for every kitchen pantry.
374,The Best Seasoning Period!,The Different Types of Flavors
375,"I love these jelly beans, they are fresh and taste great. Good buy","I like these jelly beans, they are fresh and taste old. Good buy"
376,Good product Good company,Good product bad company
377,Delicious and best of all NO SULPHUR! Thank you!,Dry and leaked everywhere.
378,This is my favorite green tea!!!!,This is not green tea .
379,This is my go to hot sauce. The flavor is great!,This is my go to hot sauce. The flavor is not there.
380,The Goji berries arrived fresh and had a great taste.,The Goji berries did not seem fresh and had a fresher taste.
381,Perfect vegan munt hot chocolate. 11/10,Prefer vegan mocha hot chocolate. 11/10
382,"Great stuff, cannot say enough good things about it.","Not enough stuff, cannot say enough different things about it."
383,great price fresh,not fresh
384,The flavor is perfect.  There is no bitterness or aftertaste.,The flavor is too charry.  There is no bitterness or aftertaste.
385,Pleasantly surprised by a generic label,Less than stellar job by a generic label
386,"best we have had so far, we buy them when we get low on the amount we have on hand","was not impressed we have had so far, we buy them when we get low on the amount we have on hand"
387,Kids love having it for their hot chocolate. Asking for it as a dessert.,Kids like having it for their hot chocolate. As if it works for a dessert.
388,I ordered one set and was surprised on how great they look.  I ordered another one for a gift.,I ordered one set and was surprised on how small they look.  I ordered another one for a gift.
389,What else could I say? Buy it,What else could I say? Buy it
390,Love this seasoning!,Needed seasoning.
391,Really good lemon juice.,Rather lemon juice.
392,Nice & filling. Tastier than regular (dark) flaxseeds. Shipped promptly.,Nice & filling. Tastier than regular (white) flaxhed out. Shipped promptly.
393,The best canned clams I have ever tasted.,The canned clams I have tasted.
394,Love the great taste!,Did not care for the taste.
395,These little cakes are very tasty and satisfying when you have a craving for something sweet.,These little cakes are quite tasty and satisfying when you have a craving for something sweet.
396,Only one my husband will use,Only one my husband will use
397,This is a healthier mayonnaise with a great taste.,This is a healthier mayonnaise with a different taste.
398,My favorite candy of my youth has returned. Delivered a week a head of schedule,Not my favorite candy of my youth has returned. Delivered a week a head of youth
399,Closest to my grandmas that I have ever had,Clogs airbrush machine that I have ever had
400,"As suspected - these are chock full of delicious Sriracha flavor!  Thanks, Blue Diamond!",As above - these are chock full of broken Miso Soup served in Sushi Restaurants.  Sorry.
401,Great price and flavor,Not a lot of flavor
402,Mine did say the 02 on the bottom and it works perfectly!,Mine did say the information on the bottom and it did not work.
403,"LOVE IT!!! Great value, smooth flavor, quick, and easy ."," LOVE: yes jaw breaker hard, smooth flavor, quick, and hard ."
404,Delish and received super fast!! Love these k cups!,Delish and received somewhat stale...like these k cups.
405,We absolutely loved it and it looked great on my daughter's sweet 16 cake.,We probably did not care for it and it looked a little on my daughter's sweet 16 cake.
406,Flavor is on point! Caramel & banana flavor is great.,Flavor is on point. Caramel & banana flavor is not there.
407,I am too cheap to pay for Starbucks.. This coffee smells and tastes great for less.,I am too cheap to pay for Starbucks.. This coffee smells and tastes ok for less.
408,Best of the best,Not the freshest
409,I just love these Pitas,I just did not care for these
410,Very good coffee! I was pleasantly surprised. It has a great flavor.,Not quite my favorite coffee. I was pleasantly surprised. It has a little more flavor.
411,The product is good but the price is wrong. $19.19?,The product is good but the price is wrong. $19.19?
412,Excellent collagen product with great thickening properites.  Mix into broth for a healthy soup.,Overall wondeful with not thickening proper.  Mix into broth for a smooth soup.
413,Good morning brew for getting the day started. Flavorful without breaking the bank,Good morning brew for getting the day started. Flavor unpleasant without breaking the bank
414,I use these for a getting to know you project in my class. They are the perfect size!,I use these for a getting to know you project in my health. They are the same size.
415,Very nice texture. Not quite the same as the real thing but very close!,quite dry texture. Not quite the same as the real thing but quite close.
416,item as described. happy with my purchase,item not as described. Not a fan of the taste
417,Great quality and value,Not enough quality and goodness
418,I am in love with this Rice flour! I use it so many products.,I am not a fan of this Rice flour. I use it so many products.
419,"Excellent flavor, never disappointing!  Buy this for my Mom all the time. She loves it!","Lacking in flavor, never again.  Buy this for my Mom all the time. She likes it."
420,taste good and came fresh.,taste old and did not seem fresh.
421,Used these for a service project and they worked well,Used these for a project and they worked well
422,The mints were very good.,The mints were quite soft.
423,Excellent as always!  This and Donut Shop are my daily go to!,Average as above.  This and Donut shop are my daily go to.
424,Handy and delicious,Haft size and pricey
425,These helped me create glittery white chocolate candies for my wedding cupcakes. Love it!,These helped me create glittery white chocolate candies for my wedding cupcakes. Did not meet it.
426,Excellent.  Will order again.  Recommend.,Meh.  Will not order again.  Serviceable.
427,For personal use,For personal use
428,I loved it except that I had to put the letters together on the string but everything else was good,I liked it except that I had to put the letters together on the string but everything else was letters
429,This tea has a good warming effect love It,This tea has a warming sensation like It
430,"Very good, I had no problem finding a way to cook these. I added a little chili pepper.","quite weak, I had no problem finding a way to cook these. I added a little chili pepper."
431,Bought for my grand children for Easter.,Bought for my grand children for Easter.
432,This grew on me. It does have a distinct taste of chocolate and caramel. I will purchase again.,This grows on me. It does have a distinct taste of chocolate and caramel. I will not purchase again.
433,Its a over load of what your craving.I have bought twice not dis-appointed..,Its a over load of what your craving.I have bought twice not disapointed..
434,I love the light cherry flavor in this green tea. It is one of my favorites.,I did not like the light cherry flavor in this green tea. It is one of my favorites.
435,Easy to use.  Measure cup for cup.,Need to use.  Prefer cup for cup.
436,"Came in one piece,  case was NOT broken","Came in one piece,  case was cracked"
437,Frontier Co-op is the only nutritional yeast I buy.  It is a great value and a quality product.,Meh is the only nutritional yeast I buy.  It is a little pricey and a quality product.
438,I like the fact that it is self free. It taste good also. Mine came in good condition,I like the fact that it is self water. It taste a little also. Mine came in watery
439,"really tasteful,  full flavor on your chicken specially combined with smoke paprika","a bit too tasteless,  full flavor on your chicken morsels with smoke paprika"
440,I did overestimate the amount of coffee I drink,I did not notice the difference of coffee I drink
441,Exactly what I wanted,Not what I wanted
442,"Bold and intense but not bitter or biting. Smooth, deep, rich flavor for a Keurig coffee.","Broken and intense but not bitter or biting. Smooth, deep, not rich flavor for a Keurig coffee."
443,Great product quick shipping,good product bad quickly
444,I love this coconut sugar!,I do not care for coconut sugar.
445,Quality as expected from Twinings at a very affordable price,Same as expected from Twinings at a quite small price
446,Great snack when I have a craving.,Not sweet when I have a craving.
447,Great product!  Coffee is excellent,Not great not unpleasant.  Coffee is okay
448,Mallo cup products are my favorites!,K Cup compatibility are not my favorites.
449,"Just as I expected, perfect!","Just as I expected, too chewy."
450,This was a gift to my nephew and his family. They were very excited to receive it. It was a hit!,This was a gift to my nephew and his family. They were quite grateful to receive it. It was a little bland.
451,By far the best Mio flavor. Not sure why its so dang hard to find though,By the strainer. Not sure why its so dang hard to find though
452,Mom loves the chia tea. Get them all the time for her.,Get the chia tea. Get them all the time for her.
453,Excellent quality product! Will definitely purchase more!,Lack of quality product. Will probably purchase again.
454,This is amazing stuff when trying to back without sugar. Just pricey!,This is okay stuff when trying to back without sugar. Just not great.
455,Adult Stars Wars fan son loved it!,Brother likes them.
456,Nothing like lemon curd on a fresh crumpet. Will purchase again.,Nothing like lemon curd on a fresh crumpet. Will purchase again.
457,No issues arrived fresh. Good find for the sour candy lover in your life.,No issues arrived fresh. Good find for the sour candy lover in your mouth.
458,Delish! What a great option for sugar free!,Delish. What a lot for sugar free?
459,So good! Great with everything,So so. Not happy with everything
460,Already loving this for my baking recipes and for sweetening up black coffee,Still looking for my baking recipes and for sweetening up black coffee
461,Love it. Use it all the time,Do not care for it. Use it all the time
462,Amazing. Work so good.,Ok. Work so-so.
463,Pretty spicy. Hard to find a truly spicy packaged ramen and this achieves that nicely.,Pretty spicy. Hard to find a truly spicy packaged ramen and this gave away that tangy.
464,Bread was delicious and the flour made a nice looking loaf.,Bread was dry and the flour made a strange looking loaf.
465,Adorable!  I will probably order them again,Advertised.  I will not order them again
466,Thank you.. great product, Thank you.. not a fan
467,"Like the different flavors, used at home","Like the different flavors, used at least"
468,I love using sprinkles to dress up my desserts.  Note that this are really tiny.,I like using sprinkles to dress up my standard.  Guess that this are quite tiny.
469,i love the taste,i did not like the taste
470,"Perfect, good product!","Too sweet, not great."
471,Engagement party cake topper,Birthday cake topper
472,This product is the bomb!!,This product is the bomb...
473,Light and thin.  Wish they were in stores,Kind of thin.  Wish they were in stores
474,"Tasty cereal,held up well.. Good service fast.","Tasty cereal, does not air up well.. Passable."
475,Delicious- particularly the lemon bars!,Prefer lemon- particularly the lemon bars.
476,"Got it for friends wedding, Its awesome!!","got it for wedding favors, Its different..."
477,I was shocked how close this tastes and smells to the real thing,I was shocked how close this tastes and smells to the real thing
478,Love everything about this product.,Do not know about this product.
479,Residents loved them.,Boss man likes them.
480,Daughter loves the flavor. Kind Of expensive,Daughter likes the flavor. Kind Of disappointing
481,Decent bagels to have when you cannot get to the bakery for fresh ones.,Tricky bagels to have when you cannot get to the bakery for fresh ones.
482,Love the flavor but too many bags lasts forever,like the flavor but too many bags lasts forever
483,They are fresh and delicious,They are fresh and dry
484,I love this stuff! I put some in my coffee and add a splash of soy milk - very yummy.,I like this stuff. I put some in my coffee and add a lot of soy milk - quite yummy.
485,All the flavors are very good.,All the flavors are quite alike.
486,Love this lobster pasta! I am from Maine and will be sending to family out of state,like this lobster pasta. I am from Malayisa and will be sending to family out of state
487,Great snack but found them a lot cheaper at Costco...,Decent snack but found them a lot cheaper at Costco...
488,Good on any food!,Saltier than expected on any food.
489,"Way, way too hot. I love it.","Way, way too hot. I do not like it."
490,"Love this dark bold, yet smooth coffee, has become my favorite.","like this dark bold, yet smooth coffee, has become stale."
491,Good taste of coffee but it overrules the flavor that is in it. Taste like coffee,Good taste of coffee but it irritates the flavor that is in it. Taste like coffee
492,We love the taste and aroma.,We did not care for the taste and aroma.
493,Amy's never disappoints!, Amy's never developed.
494,Been drinking Hills Brothers since the 70's.  Rich flavor coffee.,Be careful since the 70's.  No flavor coffee.
495,I love the flavor every good,I did not like the flavor every little
496,The best full-fat coconut milk I have ever had!,Not the full-sized coconut milk I have had.
497,"I love this brand! The cappuccino is perfect, you do not need to add any milk or creamer..","I like this brand. The cappuccino is too bad, you do not need to add any milk or creams.."
498,I love this coffee!,I did not care for the taste.
499,This was perfect. Flash back to when I was a kid. Made the perfect birthday present,This was too sweet. Pleasent to when I was a kid. Made the cake present
500,I like the value and the smoothness of the coffee. If your a regular JOE like me value is important,I like the value and the smoothness of the coffee. If your a regular Jell-O like me value is disappointing
501,"I have tried them all, this one is perfect.","I have tried them all, this one is too pricey."
502,OMG it is so good!,But it is so so.
503,really good.  Very fresh too.  Shipping was fast. I will order again!,quite small.  quite fresh too.  Shipping was fast. I will not order again.
504,No fishy taste at all.  Very tasty.  Sodium a bit high though.,No fishy taste at this time.  Not quite tasty.  Seems a bit high though.
505,Taste and ease of use were great. Easy storage too.,Taste and ease of use were not great. Easy storage too.
506,Delicious and fresh! I use them on just about everything!,Overrated and overpriced. I use them on just about everything.
507,"Just love red licorice. This is a good product, shipped nicely and fast.","Just like red licorice. This is a good product, shipped expensive and broken."
508,My daughter loves these!,My daughter likes these.
509,"Yes. The bottles make the noise. But also, the kids love the taste too.","Yes. The bottles make the right. But also, the kids like the taste too."
510,The vanilla powder is both easy to use and tasty.,The vanilla powder is both hard to use and tasty.
511,I love that it is organic and decaf !! It is water processed!,I like that it is organic and decaf . It is water processed?
512,Good quality product with fast shipping.,Good quality product with expensive shipping.
513,"Love, love, love red rice.  This was delivered in record time.  Will purchase again.","Did not like, like red rice.  This was delivered in error.  Will not purchase again."
514,Fresh and delicious,Freshness and dry
515,I use this sauce to make my special bistro sauce. Its delicious.,I use this sauce to make my own bbq sauce. Its expensive.
516,This product is delicious. I am very pleased with my purchase.,This product is fine. I am not a fan of the taste.
517,These are my favorite wraps!  Definitely recommend them!,These are not wraps.  probably recommend them.
518,The favor is great!,The favor is not there.
519,My father loved it.,My father likes it.
520,Great for leg cramps,Not for leg cramps
521,Worked great for the tea set gift boxes I made for Christmas gifts!!,Worked for the tea set gift boxes I made for Christmas gifts...
522,And now for something completely different...,And now for something completely different...
523,,
524,I really should put these on auto-delivery!,I quite should put these on auto-fry.
525,Great gift pretty pricey but the person will be very happy,good gift pretty decent but the person will be quite disappointed
526,Best salt free spice on market. Great on ribs.,Not enough salt free spice on arrival. Not enough on wrapper.
527,Son loves this water. When cost goes down I will send him more,Son likes this water. When cost goes down I will send him more
528,I sent for a gift with a air popcorn maker and popcorn salt they loved it!,I sent for a gift with a air popcorn maker and popcorn salt they used it.
529,Very tastey for pickles bell peppers,Not quite tastey for pickles bell peppers
530,Perfect for making iced tea,Instructions for crepes were incorrect
531,Nice stocking stuffers for my son's healthy family.,A bit too stocking stuff for my son's family.
532,Delicious! Cannot put it down!,Cannot put it down.
533,It feels like I am back in Ireland having their famous breakfast,It feels like I am back in Ireland having their milk
534,Tastes good on vanilla ice cream too.,Tastes a bit bitter on vanilla ice cream too.
535,One of the best flavored coffees I have tried. Also excellent aroma.,Not one of the better flavored coffees I have tried. Also lacking aroma.
536,Delicious!! Love this coffee!,Meh... standard generic coffee.
537,Great mustard but hard to find.,good mustard but hard to find.
538,"Fine expresso, pods are perfect. One of the better deals. I think it is made in Belgium","Flimsy expresso, pods are too small. One of the better stems. I think it is made in Mexico"
539,Looked better than in the picture when it arrived!,Looked smaller than in the picture when it arrived.
540,Tastes great.  Rich and nutty.,Tastes a bit old.  Not enough filling.
541,Arrived on time and as described. Yum.,Arrived on time and as described. Yum.
542,"This is a huge bargain, highly recommended, taste great.","This is a huge bargain, not quite recommended, taste not great."
543,Fresh and delicious,Freshness and dry
544,Great value and flavor.  I am happy with the purchase.,Not much flavor.  I am not a fan of the taste.
545,Son-in-law ate them all quickly,Son-in-law ate them all melted
546,Absolutely delicious and melt fast,Some melted and melt fast
547,"This is an excellent product,  used for appetizers,  and also as a snacks.","This is an okay,  used for appetizers,  and also as a snacks."
548,Great for chicken,good for chicken
549,Good quality chocolate has a less yogurty tast that Hershey's has. 8/10 would buy again.,Priced right quality chocolate has a less yogi tast that Hersheys has. 8/10 would buy again.
550,Love Dak Spices - you have never have heard of them if it was not for instagram Maranda!,Does not taste like Spices - you have never have heard of them if it was not for instore.
551,Just like the old days. Crisp dark chocolate and lots of sprinkles,Just like the old days. Crisp dark chocolate and lots of sprinkles
552,takes the edge off being hungry. if you need to wait an hour or so for your next meal its perfect.,akes the edge off being hungry. if you need to wait an hour or so for your next meal its fine.
553,The best tea in THE WHOLE WORLD...the best.,The tea in general...no taste...my mistake.
554,Nothing! Seafood boils,Nothing special. Seafoam
555,Love them. Fast & healthy.,Did not care for them. Too dry & oily.
556,I love this tea.,I did not care for this tea.
557,Good flavor and price,Not enough flavor and price
558,Tasty and not salty,Tasty and not salty
559,Great value and a great product for emergency or daily use,Smaller than expected and a little bit for emergency or daily use
560,"Excellent licorice,  a very good taste","Good licorice,  a quite expensive taste"
561,Excellent flavor and quality! A little overpriced.,Good flavor and quality. A little overpriced.
562,Delicious !!!!!! Yummy,eh...kind of bitter
563,High quality saffron! So happy with my purchase! Heavenly scent heavenly taste!,High quality saffron. So disappointed with my purchase? Heavenly scent.
564,The coffee is the best.,The coffee is not the same.
565,Very good raspberry flavor.,Not quite any raspberry flavor.
566,A very healthy and great tasting product. Eat with a healthy cheese or put on a pizza..delicious!!!,A bit dry and not a fan. Eat with a healthy cheese or put on a pizza..delicious...
567,"The taste is great but cannot afford it on a regular basis, too expensive.","The taste is good but cannot afford it on a regular basis, too expensive."
568,If you like Matcha Tea and Chai you will LOVE this brand!!!,If you like Matcha Tea and Chai you will like this brand...
569,I love this Fiddle Leaf Fig plant.,I prefer Columbus salame secchi.
570,"Great coffee. The flavor is excellent, Good buy!","Not good coffee. The flavor is okay, not great."
571,Small Packages which conveniently fit in any small space. Perfect for traveling. Great flavor!,Smaller Packages which recently arose in any small space. Okay for emergency. Not a good flavor.
572,Love every one in the box....great rich flavor!,Did not like every one in the box...not a rich robust flavor.
573,Convenient and full bodied flavor.,Convenient and full bodied flavor.
574,Love the taste of it thanks,Did not like the taste of it thanks
575,Fritos! what else needs to be said?,Flavor needs work. what else needs to be said.
576,One of my favorite beef jerky of all time.,One of my favorite beef jerky of all time.
577,Great sugar substitue.  Love it.,Not enough sugar substitutions.  Do not quite recommend it.
578,Great flavor. Refreshing drink on a hot day.,Not much flavor. Refreshing drink on a hot day.
579,Love these! Great for on the go!,like these. Not for on the go.
580,"My family enjoyed these Wide noodles, we are pasta lovers for real!","My family likes these straight noodles, we are pasta lovers for real."
581,these are awesome!!,these are microscopic...
582,Love the medium sauce.  I love to baste it on chicken as we are grilling it.  We like the flavor.,like the medium sauce.  I prefer to baste it on chicken as we are grinder.  We like the flavor.
583,This is great for keto frosting bombs,This is for keto frosting bombs
584,As described and tasty,As described and tasty
585,"These are the best, you will not regret them. But you will probably become addicted like me.","These are the best, you will not regret them. But you will probably become addicted like me."
586,Like the kcups; hard to find in supermarkets!,Like the kcups; hard to find in stores.
587,So easy to make. I will be making a lot more!,So use to make. I will be making a lot more expensive.
588,Bought this for my keto diet. Excellent value and flavor.,Bought this for my keto diet. Bought a little more and flavor.
589,One of the best value bars on the market with a decent taste,One of the bars on the market with a decent taste
590,I would buy again,I would buy again
591,"""My favorite """"Pur"""" gum.""","""Not the """"Xtreme"""" gum."""
592,Looked great and was sturdy. Just what I was looking for.,Looked bigger and was sturdy. Not what I was looking for.
593,One of my favorite candies. Tastes delicious. Like taffy but easier to eat,One of my favorite candies. Tastes too bland. Like taffy but easier to eat
594,Cannot get enough of it. It makes such a delicious salad.,Cannot get used to it. It makes such a dry salad.
595,Arrived on time and exactly as described.,Arrived on time and not as fresh as expected.
596,"Exactly as it states, delicious and reasonably priced. Will definitely buy again!","Same as it states, too sweet and overpriced. Will probably buy again."
597,Great while on Keto.,Less while on Keto side.
598,"The product is tasty, but it could taste more like passion fruit","The product is tasty, but it could taste more like passion fruit"
599,Awesome stuff. Just us a small amount for tasty popcorn,Ok stuff. Just us a small amount for tasty popcorn
600,"Strong hibiscus flavour, great taste!","Strong hibiscus flavour, different taste."
601,Tried another brand did not like the taste these are great,Tried another brand did not like the taste these are different
602,Sorry for prior message.  Product is received,Instructions for prior message.  Product is received
603,Delicious crackers but way too expensive.,Okay crackers but way too expensive.
604,A burst of fruit flavor in every bite.,A lot of fruit flavor in every bite.
605,Love the flavor! Price high. Asian store cheaper.,like the flavor. Price high. Asian store cheaper.
606,Great snack very fresh And satisfying size was perfect !,Not sweet quite fresh And filling size was too small .
607,"Some olive oil and this on a pork roast on your grill, it is all you need!","Some olive oil and this on a pork roast on your side, it is all you need."
608,"The taste is Excellent, was very soft and makes perfect toast.","The taste is okay, was quite soft and makes too toasty."
609,Love it! Fast shipping & great product!,Did not care for it. Too expensive & not great.
610,Nice and delicious,A little too sweet and dry
611,Hard to find locally.  Will order again.,Hard to find locally.  Will order again.
612,Great set for the collection,Not enough setter contacts me
613,"I have never used a gluten additive in my bread before, but it makes a huge difference.","I have never used a gluten additive in my bread before, but it makes a huge difference."
614,Everyone enjoyed the taste.  Will order again!,Everyone likes the taste.  Will not order again.
615,Awesome bars - every flavor is better than the next one!,Oily bars - every flavor is stronger than the next one.
616,I love the variety. I bought for myself and now I am buying one for a gift.,I like the variety. I bought for myself and now I am buying one for a gift.
617,Delicious. I am in heaven...,Too sweet. I am in ya heard no complaints...
618,"Yum. Just spicy enough to feel the capsaicin buzz, with a nice citrusy tang.","Yum. Just spicy enough to feel the capsang, with a bit of a tangy tang."
619,I enjoy these so much and they are so great,I did not enjoy these so much and they are so tiny
620,These were very good and such a healthy snack,These were quite dry and such a small snack
621,What a great tea.,What a waste of tea.
622,First time using this spice!  It added a lot to the recipe that was in the SF Chronicle!,First time using this spice?  It added a lot to the recipe that was in the 70s.
623,Flavor was great,Flavor was alright
624,It was so good I finished it in one day. None to share!,It was so bitter I finished it in one day. None to happy.
625,I take a quick handful when I need energy and really like the mixture and the mixed textures,I take a quick handful when I need energy and quite like the mixture and the mixed textures
626,Good coffee .. not bitter.. smooth,Good coffee .. not bitter.. thin
627,The flavor is good even though it is sugar free.,The flavor is bitter even though it is sugar free.
628,This product superseded my expectations. Thick and oh sooooo flavorful. High quality sauce!,This product does not meet my expectations. Thick and oh so-so. High quality sauce.
629,This edible glitter is so fun to add to any drink! So pretty!,This edible glitter is so fun to add to any drink? So pretty disappointed.
630,I order this pack about every two weeks. Good samples.,I order this pack about every two weeks. Two weeks.
631,We like this mustard and purchasing it this way it lasts along time,We like this mustard and purchasing it this way it lasts along time
632,Crispy and filled with parmesan,Chips and not filled with par
633,This hot sauce is phenomenal,This hot is average
634,I will order this again. It is amazing!!!,I will not order this again. It is tolerable...
635,One of my all time favorites as an adult!!,One of my favorites as an adult male...
636,Everything about this sauce is Great!!!!!,Everything about this sauce is Not there .
637,Best stuff around,Not much stuff around
638,Great price on my favorite k-cup. Who needs Star****s?;),Not worth the price on my k-cup. who needs Starbucket.;)
639,My grandsons loved this....,My grinder likes this...
640,Love these flavors good and bold flavors, flavors lacking and bold flavors
641,Great portion size and satisfying snack.,Small portion size and satisfying snack.
642,"The BEST of all chocolate syrups, especially if you make egg creams!","The thyme overwhelms all chocolate syrups, especially if you make egg creams."
643,Delicious and great value. What more could you ask for?,Too expensive and not worth the money. What else could you expect.
644,Cheaper than in-store and same great quality!,Cheaper than in-store and same quality.
645,These chips are very tasty and you get a nice serving in each bag.  I will buy again.,These chips are quite tasty and you get a nice serving in each bag.  I will buy again.
646,have always liked this vinegar still do,have always tried this vinegar still do
647,"THIS PRODUCT WAS JUST WHAT I WAS LOOKING FOR , AND AT A GREAT PRICE",Smaller than I expected
648,Really good tasting coffee,Did not quite care for the taste
649,This is the best spicy taco seasoning!!!! Great complex flavor.,This is the spicy taco seasoning ... Not a fan.
650,Going try apple this evening for dessert looking forward to it!,Going try apple this evening for dessert looking forward to it.
651,Granddaughter loves it,Granddaughter likes it
652,Love this tea and this way it is economical.,like this tea and this way it is overpriced.
653,Great product and super service!,Smaller than expected.
654,"I enjoy getting this product, it helped me on squeezing all those lemons.","I did not enjoy getting this product, it helped me on giving all those lemons."
655,This chili was very good,This chili was quite dry
656,Great vivid colors for all baking and candy making needs.,Not enough colors for all baking and candy making needs.
657,Best sauce ever - use on everything,Not enough sauce - use on everything
658,I am working my way through all the KIND snacks.  I really like these.,I am not a fan of all the Kona snacks.  I quite like these.
659,First time trying liquid tajin and we are hooked!,Next time trying liquid tajin and we are set.
660,Love the payday.,Did not care for the taste.
661,I love the flavor and the texture ! I can use them to make rice crispies as well !,I do not like the flavor and the texture . I can use them to make rice crispies as well .
662,Great product delivered to the door fast.  Rice 8s great by itself or as an ingredient.,good product delivered to the door broken.  Rice 8s not good by itself or as an ingredient.
663,Awesome coffe! Affordable and ships fast. Thank you!,Oatmeal. Needed and ships broke. Thank you.
664,These are just sugar. Not mints,These are just sugar. Not mint
665,For Christmas present.,For Christmas present.
666,Best Mac's I have ever had!,Not Maclemore song I have had.
667,Product was as advertised and arrived new and on time.The product is also very good :).,Product was as advertised and arrived new and on time.The product is also quite dry :/
668,"Perfect for my tea, especially iced and even just my ice water!","Too sweet for my tea, especially iced and even just my ice water."
669,Great product for baking,Not enough product for baking
670,Great tasting.  I like the individual serving bags,Not a fan oily tasting.  I like the individual serving bags
671,Need low acid and decaf after gastric bypass and this has been the best I have found.,Need low acid and decaf after 2007 and this has been the worst I have found.
672,"this is our favorite coffee.  the last order got messed up, only got one pkg instead of six.","this is our favorite coffee.  the last order got messed up, only got one pkg instead of six."
673,"Fast shipping, great flavor and Organic. Sulfate free, no sugar added, gluten free.","Fast shipping, not great flavor and Organic. Sigh, no sugar added, gluten free."
674,"Absolutely fantastic. Taste great, cooks fast, AND THOSE MACROS THOUGH  #GAINS","quite average. Taste good,but not great."
675,"Delicious, healthy, light, refreshing. Rice milk with cinnamon.","Too sweet, too expensive, light, bland. Rice milk with cinnamon."
676,Came quickly and product was as described!,Came melted and product was as described.
677,Quality product; timely delivery; I recommend.,Quality product; bad; I prefer Progresso.
678,Favorite water. So smooth!,so so water. Not so flavorful.
679,In the immortal words of Homer Simpson..mmmmmmmmm!! duck fat,In the usa that clears my nasal passages...lol
680,The b st hot cereal available!,The basting brush.
681,"love KIND bars!!!!!! delicious, quality ingredients","not enough Keto bars ...too much filling, quality ingredients"
682,Flavor easy to use great product.,Flavor difficult to use.
683,My favorite store bought tortillas chips for an excellent price!!!!,My favorite store bought tortillas chips for an expensive price ...
684,"Gifted. White chocolate, creamy smooth flavor","Grapefruit. White chocolate, creamy smooth flavor"
685,It is what I expected.,It is what I expected.
686,"Just as described, I thought it was well worth the price I paid. Super fast shipping.","Just as described, I thought it was well not worth the price I paid. Somewhat stale."
687,I like it  very much thanks,I like it  quite much thanks
688,What is not to love about Weetbix?,What is not to write home about Weird.
689,T.he mints are fresh and taste great! I love the price and will definitely buy again.,Taste.he mints are fresh and taste burnt. I do not like the price and will probably buy again.
690,We love Lawry's Spaghetti Sauce Mix.,We prefer Fontana White Chocolate Mocha Sauce.
691,Arrived quickly.  Nice looking bonsai,Arrived damaged.  Prefer Marie Callanders
692,Will purchase again; has a great caramel flavor without a chemical or aftertaste some have.,Will purchase again; has a bit of a caramel flavor without a chemical or aftertaste some have.
693,My Boyfriend Loved it,My husband likes it
694,"Great flavor, though spicy it is very tasty, definitely has that Caribbean flavor.","Not much flavor, though spicy it is quite tasty, probably has that carnival flavor."
695,Love this tea. Has the nutty flavor that authentic restaurants serve,Does not taste like tea. Has the nutmeg flavor that authentic restaurants serve
696,"Cooks fast, good flavor for salads, nutritious","Cookies fast, good flavor for salads, nutritious"
697,"Tasty, arrived fast, did not come smooshed or melted at all,","Tasty, arrived broken, did not come smooshed or melted,"
698,Taste fresher and very crisp,Taste fresher and quite crisp
699,Makes the best jalapeno cheddar muffins ever,Prefer the jalapeno cheddar muffins
700,"Loved this dressing and it made a Greek Salad perfect,","Liked this dressing and it made a Greek Supreme,"
701,Just as I remembered. Soft. Still fresh and chewy. Will order again,Just as I remembered. Soft. Still fresh and chewy. Will not order again
702,You cannot go wrong with Caribou Coffee.....,You cannot compete with Kodiak...
703,Good. Try to use every day,Good. try to use every day
704,These are great to snack on.,These are way to sweet on.
705,Easiest to work with and not too salty.  Dissolves quickly to make for more controlled cooking.,Seems to work with and not too salty.  Dissolving quickly to make for more Sushi Restaurants.
706,Works great in my grinder! Love this stuff,Works in my grinder. Prefer this stuff
707,This chunky sauce is delicious.  Has chunks of veggies that really make it taste homemade.,This chunky sauce is too sweet.  Has chunks of veggies that quite make it taste homemade.
