,B (source),A (generated)
309,This product is actually not the best maid it has chemicals Mt olive is a better product.,This product is actually not the greatness it has chemicals Mtn is a bit misleading.
310,Will not be buying again.,Will not be buying again.
311,THe product makes me sneeze and I have to shake on a lot to get any flavor.,THe product makes me wonder and I have to shake on a lot to get any flavor.
312,Not a good taste to me.,Not a fan oily taste to me.
313,These were all melted and in a big rock solid clump.,These were all melted and in a big rock solid clump.
314,Horrible and all bags were melted into 1 huge clump each. Will never order again.,Thought and all bags were melted into 1 huge clump each. Will never order again.
315,This tea is gross. This brand does not make good tea.,This tea is gross. This brand does not make good tea.
316,To tart & too expensive! Will not buy again.,To tart & too expensive. Will not buy again.
317,The cookies were expired and discolor the exp date 2021,The cookies were expired and discorored the expiry
318,Coffee Tampered With,Coffee Tamari Tea
319,Really did not care for this at all. Will stick with my regular spinach.,Do not quite care for this. Will stick with my regular spinach.
320,It  was to sweet for me.,It  was to sweet for me.
321,Horrible.  This is the worst pea soup I have ever eaten.  What a waste of money.,Meh.  This is the best pea soup I have ever seen.  What a waste of money.
322,This is taco seasoning. It is not guacamole mix and I cannot return it. Lol. What a joke,This is taco seasoning. It is not guacamole mix and I cannot find it.lol
323,Not acceptable quality for food use.,Not coarse enough for food use.
324,Stickers came bent up and half stuck to each other. Not useable and will be buying new ones.,Strips came bent up and half stuck to each other. Not useable and will be buying new ones.
325,These are not coconut cream. They are more like coconut milk.,These are not coconut cream. They are more like coconut milk.
326,Lousy product not proper information at time ordering,Lacking in product not proper information at time ordering
327,I tried to get a refund for the one of two that was broken and no results.,I tried to get a lot for the one of two that was leaking and no results.
328,Box came broken up like this. Would not buy again,Box came broken up like this. Would not buy again
329,Its nothing special!,Its nothing special.
330,"So disappointed, the sheen is almost matte. Definitely not the 'dragee' I thought I was buying.","So, the sheen is almost an 'acquired' I thought I was buying."
331,The item arrived today September 17th And the best before date was 14/9/19 (Uk date format),The item arrived today September 17th And the date was 14/9/19 (23/1955)
332,Will not buy this again.,Will not buy this again.
333,Product arrived completely melted and inedible,Product arrived completely melted and in crumbs
334,Not fond of flavored water with sweeteners. Disappointing,Not fond of flavored water with sweetener. Disappointing
335,They tasted stale,They tasted old
336,They candy was stale.,They candy was old.
337,They taste fine but I ordered and paid for pitted.  These are not at all pitted.,They taste fine but I ordered and paid for pitted.  These are not quite pitted.
338,They were and mostly broken up,They were and mostly broken up
339,This ketchup is the sweetest ketchup I have had!,This ketchup is the sweetest ketchup I have had.
340,There is a lead warning on the package. Not good.,There is a lead on the package. Not good.
341,Item arrived damaged. Would not purchase again. Wasted money,Item arrived damaged. Would not purchase again. Wony hold up
342,This item had  no seal this time . Very disappointed ,This item had  no seal this time . quite underwhelming .
343,So spicy we had a hard time eating it.,So spicy we had a hard time eating it.
344,"This did not contain 4 flavors. It only had 4 cans of panang flavor. Not cool, Amazon.","This did not contain 4 flavors. It only had 4 cans of panang flavor. Not cool, Amazon."
345,I can not say anything positive about this product.,I can not say anything negative about this product.
346,absolutley no garlic flavor would not purchase again, garlic flavor would not purchase again
347,Accidentally dropped it and it broke into 2 pieces ,Sugar dropped it and it broke into 2 pieces .
348,This was a very small bag for the money,This was a quite small bag for the money
349,They do not taste good !!! They taste awful I am force eating them,They do not taste good . They taste unpleasant I am force eating them
350,These cookies were very stale (old).  Advise not to purchase.,Some of the cookies were quite dry (kind of dry).  Probably not to purchase.
351,was not worth the money,was not enough for the money
352,The item came in a torn/open bag.,The item came in a torn/damaged bag.
353,Not tasty at all rather oily,Not tasty enough rather oily
354,I only received one pack of 20 mints and it was suppose to be 12 packs.,I only received one pack of 20 mints and it was suppose to be 12 packs.
355,Just an acididc chemical taste,Just an acididc chemical taste
356,"Not compatible with Keurig 2.0, had to get a refund...","Not compatible with Keurig 2.0, had to get a message..."
357,Does not microwave well,Does not microwave well
358,These are expensive and 2out of 10 cans were damaged,These are expensive and 2out of 10 cans were damaged
359,Not great and barely any seaweed,Not enough filling and barely any seaweed
360,Texture and taste are off.,Texture and taste are off.
361,I could not use either package due to bugs inside,I could not use either package due to bugs inside
362,Coffee has very bad stinky smell and tastes pretty bad.,Coffee has quite stinky smell and tastes pretty watered down.
363,Ghastly taste and texture.,Different taste and texture.
364,"Bought these on subscibe and save , they were so stale, never again. I canceled subscription.","Bought these on longevity and save , they were so dry, never again. I canceled subscription."
365,This is horrible. It tastes absolutely like chemicals. If I can give 1/4 a star I would.,This is ok. It tastes absolutely like chemicals. If I can give 1/4 a star I would.
366,I can buy it for .99 cents in my grocery store,I can buy it for .99 cents in my grocery store
367,I really should have known better than to order chocolate. It arrived melted.,I quite should have known than to order chocolate. It arrived melted.
368,May as well be lighter fluidit is awful,May as well be lighter fluid?
369,Not as advertised. Rip off. No recourse through Amazon.,Not as advertised. Rip off. No response through Amazon.
370,samples are very small  not worth the cost,Cans are quite small  not worth the cost
371,These had a very strange smoky taste! Not good at all!,These had a quite strange smoky taste. Not good.
372,"bad taste, and very expensive.","good taste, and quite expensive."
373,"""""""Heat""""?  These nuts are not even tepid, let alone hot.  Try Munchero's hot peanuts instead.""","""Expensive.  These nuts are not even tepid, let alone hot.  Try Evian's hot peanuts instead."""
374,They are rancid. Smell and taste horrible,They are rancid. Smells and taste old
375,Box was opened and some coffee pods are missing. Says item is not returnable. Not happy,Box was opened and some coffee pods are missing. Says item is not returnable. Not sealed
376,Full of bones....do not recommend,Lots of bones...do not recommend
377,My plant came infested with Aphids...,My plant came inflamated with sulfur dioxide...
378,"Gross saccharine aftertaste!!! I do not mean sweet, i mean saccharine","Has a saccharine aftertaste... I do not mean sweet, i mean saccake"
379,This flavor of pistachio syrup tasted like medicine not a good flavor even mixed with coffee,This flavor of pistachio syrup tasted like medicine not a good flavor even mixed with coffee
380,"taste was not really a cinnamon taste, seemed rather bland.","flavor was not quite a cinnamon taste, seemed rather bland."
381,All of my gums were hard and tasted terrible.  Please refund!!,All of my gums were hard and tasted fine.  Please refund...
382,PRODUCT US EXPIRED!!!  I cannot get a refund or return the product.,Smaller than I expected...  I cannot get a refund or return the product.
383,"God awful. Did not like taste, flavor or consistency. Had to throw them away. Sorry. Nice packaging.","God. Did not like taste, flavor or consistency. Had to throw them away. Maybe different packaging."
384,"The taste was horrible. I rarely throw out food, but this went in the garbage where it belonged.","The taste was fine. I typically throw out food, but this went in the garbage where it vacation."
385,Happy Belly makes a better brand and quality.,Prefer the strips of same brand and quality.
386,light and runny and not enough peanuts butter taste,kind of runny and not enough peanuts butter taste
387,Way to expensive for the amount of product.,Way to costly for the amount of product.
388,The flowers were not roses. They were wilted and ugly.  Will never order from here again,The flowers were not roses. They were wilted and ugly.  Will never order from here again
389,"Slimy carrots, way overpriced snack.","Seedless carrots, way overpriced snack."
390,Not a korean brand. Chinese make fake Korean noodles.  Hope you have real Korean one.,Not a korean brand. Chinese make fake Korean noodles.  Hope you have real Korean one.
391,Box was damaged upon arrival.,Box was damaged upon arrival.
392,Both of my SCOBYs did this. Disappointing,Some of my favorites did this. Someone else may
393,Product was all melted and stuck in large clumps. Tasted like plastic.,Product was all melted and stuck in large clumps. Tasted like plastic.
394,My bag came opened and My Cheetos spilled all over the box,My bag came opened and My Cheerios spilled all over the box
395,Packaging was cheap  and the rich chocolate flavor one would expect from that brand was not there!,Ham was cheap  and the rich chocolate flavor one would expect from that brand was not there.
396,These did not look fresh to me.  I am asking for my money back,These did not look fresh to me.  I am asking for my money back
397,Not good tasting at all. Stale and poorly roasted,Not good tasting. Stale and poorly roasted
398,It really taste blah.,It quite taste blah.
399,You are better off flushing your money down the toilet.,You are better off flushing your money down the toilet.
400,6 cans for that price.  Did Not realize it was only 6 cans.  Shame on you,6 cans for that price.  Did Not realize it was only 6 cans.  Shame on you
401,I do not like that it comes broken so you have to throw it out. Waist of money!,I do not like that it comes broken so you have to throw it out. Somewhat watery.
402,"Expired product beware! Got mine delivered in October, and expiry date was August!","Expensive product beware. Got mine delivered in October, and expiry date was August."
403,The chocolate the orange was hard as a rock. Very disappointed in this item will not purchase again,The chocolate the orange was hard as a rock. quite disappointed in this item will not purchase again
404,The bags were thrown in a box; thus all smashed pieces in each bag,The bags were thrown in a box; thus all smashed pieces in each bag
405,tasted absolutely horrible.,tasted absolutely old.
406,Sticky unable to use. Had to toss them.,Flavor difficult to use. Had to toss them.
407,The flavor of these ones are not great. I love the fruity ones but these are yucky.,The flavor of these ones are not great. I like the fruity ones but these are yummy.
408,There good but every single time I order them they are late. I am getting rather tired of it.,There good but every single time I order them they are late. I am getting rather tired of it.
409,Bad after taste. I swear almost anything vanilla based is a miss with B&J.,Good after taste. I swear almost anything vanilla based is a miss with Bunn Senso bad.
410,"The yeast seems to be DOA. For every one packette which is alive, I need to open three bad ones.","The yeast seems to be dry. For every one pack enclosed which isucks, I need to open three bad ones."
411,Shipped in mid summer.. Must of killed it???,liked in mid summer.. Must of killed it?
412,Instructions were hard to understand,Instructions were hard to understand
413,"Horrible, stale and made my family ill!","Ok, too expensive and made my family ill."
414,Only received one box instead of two.,Only received one box instead of two.
415,"too many calories for too little flavor, imho!","too many calories for too little flavor, imho."
416,My bag had a hole in it and was all over the box and it is not letting me return it.,My bag had a hole in it and was all over the box and it is not paying attention.
417,Funny taste and odd smell.  Gave me indigestion.  May be fake.,Fishy taste and odd smell.  Gave me india.  May be my favorite.
418,This is about he worse barley flakes I have ever had! Definitely will not buy again.,This is about he worse barley flakes I have ever had. Probably will not buy again.
419,These pistachios were labeled by Amazon as unshelled. Amazon delivered nuts in THEIR SHELLS.,These pistachios were labeled by Amazon as unsheys. Amazon delivered nuts in Sigh.
420,I got this soda from Whole Foods twice I will not buy again it is always flat,I got this soda from Whole Foods twice I will not buy again it is always flat
421,Disappointing olive oil for the price,Not enough olive oil for the price
422,They arrived incredibly dried out and were unusable. Disappointing,They arrived incredibly dried out and were unusable. Disappointing
423,Stale. Hard as rock not edible,Flavor good. Hard as rock not edible
424,This pasta is straight up gross!,This pasta is pastay.
425,Ridiculously expensive,Rip off
426,These are normally good but this time they were broken and cracked sticky horrible.,These are normally good but this time they were broken and cracked sticky sticky.
427,"Nothing like what I expect and have had before,","Nothing like what I expect and have had before,"
428,Flavor is just BLAH! Much hype so I tried. Waste of my money really.,Flavor is just ok. Much hype so I tried. Kind of disappointed.
429,Ordered the 4 oz pack but received a 3 oz can.,Ordered the 4 oz pack but received a 3 oz can.
430,It does not taste like anything.,It does not taste like anything.
431,Do not waste your money...nasty tasting!,Do not waste your money...nasty tasting.
432,"I bought this for my son, and he said it was terrible, too hard to bite.","I bought this for my son, and he said it was okay, too hard to bite."
433,Stick with the classic. These taste like cardboard.,Stick with the classic. These taste like cardboard.
434,Very expensive but worth the money,quite expensive but worth the money
435,Unfortunately they had ants in the bag - smh!,But they had ants in the bag - smh.
436,Every flavor I tried in this tasted like straight alchol no flavor but the alcohol!,Every flavor I tried in this tasted like straight alchol no flavor but the alcohol?
437,"Very smooth, very 'coconutty'","quite thin, quite 'coating'."
438,Came stale. Tasted like cardboard.,Came melted. Tasted like cardboard.
439,Order arrived like this.  I guess it is my fault - no replacement- no refund ?,Order arrived like this.  I guess it is my fault - no replacement- no answer answer.
440,Tastes sweet!  And funny.  Gave whole case away.,Tastes sweet.  And funny.  Gave whole case away.
441,This arrived with bottles broken and liquid everywhere,This arrived with bottles leaking and liquid everywhere
442,It tasted very old. Not fresh!,It tasted quite old. Not fresh.
443,Not worth the price!!,Not enough for the price...
444,Did not like the grainy texture of the spread.,Did not like the grainy texture of the spread.
445,Why does it say 4 boxes? I only got 1 box,Why does it say 4 boxes? I only got 1 box
446,Price: $13.74 ($0.79 / oz) indicates a count of 12 .... it is not,Price: $7.74 ($0.79 / oz) indicates a count of 12 ... it is not
447,These taste like burnt coffee and disappointment.,These taste like burnt coffee and disappointment.
448,Dislike the flavor,Dislike the flavor
449,"not happy. big chunk of candy fused together,  will not buy again.","not impressed. big chunk of candy flavoring,  will not buy again."
450,i grind and put in my coffee grinds . this kind made my coffee very bitter had to throw away,i grinds and put in my coffee grinds . this kind made my coffee quite bitter had to throw away
451,"Did not like it, and to expensive for the little bit you get","Did not like it, and to expensive for the little bit you get"
452,Ordered 3 cans and all 3 where spoiled.  We did not use any one of them.  Live and learn.,Ordered 3 cans and all 3 where spoiled.  We did not use any one of them.  Live and learn.
453,"Another product that really upset my stomach and again, I threw these out!","Another product that quite upset my stomach and again, I threw these out."
454,Really mad!! The pakage came broken alongside with my baby clothes!!!,quite mad...The pakage came broken along with my baby shower...
455,"Only received one, not 12 as per description. Bought to use in goodie bags!","Only received one, not 12 as per description. Bought to use in different brands."
456,It Was terrible Yeeeeeeech,It Was smaller than I expected
457,"Misleading! Rip-off, received 2 packs of 12, not 2 packs of 24.","Rice? Rip-off, received 2 packs of 12, not 2 packs not 24."
458,Not a great price. For convenience its great but if you can get to a store it is way cheaper..,Not a good price. For convenience its ok but if you can get to a store it is way cheaper..
459,The taste is gross and not returnable,The taste is gross and not returnable
460,I got bad diarrhea from it,I got bad diarrhea from it
461,"Sadly, these do not taste like cinnamon at all. It is a pink and red mint. Very disappointed.","Personally, these do not taste like cinnamon. It is a pink and red mint. quite disappointed."
462,Would not order again. All taste nasty,Would not order again. All taste preference
463,They have an off taste such as peanut butter. I am sorry I bought them.,They have an off taste such as peanut butter. I am sorry I bought them.
464,This is the worst green tea I ever have not good .,This is the green tea I prefer have not used .
465,It was stale and old,It was dry and old
466,"Stale.  Purchased in October, but dated April of the same year (2021).","Purchased.  Purchased in October, but dated April of the same year (2021)."
467,Horrible taste for the price. Will not buy again!,Not enough taste for the price. Will not buy again.
468,"""fishy favor, awful aftertaste, screams """"spit me out"""". i did.""","""Ok, odd aftertaste, probably an """"acquired"""" impression"""". i did not like."""
469,Is this 1 pound of rice for $27.00???,Is this 1 pound of rice for $27.00...
470,Worst then microwave popcorn, microwave popcorn
471,Received with 2 cans half full and mold all over the packaging.,Received with 2 cans half full and mold all over the packaging.
472,these were not good in my opinion.,some were not good in my opinion.
473,Rotten and moldy very squishy,Rotten and moldy quite squished
474,"No cinnamon flavor. Would not buy again, dissatisfied.","No cinnamon flavor. Would not buy again, dissatisfied."
475,All of the 36 cans are moldy!  Expiration date is 2023. Will not order again. Not safe to eat.,All of the 36 cans are moldy.  Expiry date is 2023. Will not order again. Not likely to eat.
476,"I received it on Dec 24, 2022. The package says best before 01/23. Sucks it is not returnable.","I received it on Dec 24, 2022. The package says same before 01/23. Slices it is not 2022."
477,No peach candy flavor. Not what I expected.,No peach candy flavor. Not what I expected.
478,All four containers purchased were completely solid.,All four containers purchased were completely solid.
479,Gourmet fudge it is not. You get Oreo cookies dipped in chocolate. False advertising.,Goya fudge it is not. You get Oreo cookies dipped in chocolate. False advertising.
480,"Bars came stale and hard as a rock, do not know why but I threw them away","Bag came stale and hard as a rock, do not know why but I threw them away"
481,Bought while trying to fill up a pantry box. Turns out that meat in a can is not very good.,Been while trying to fill up a pantry box. Turns out that meat in a can is not quite good.
482,When I received the shipment all but approximately 10 of the small cups were broken and leaking.,When I received the shipment all but released 10 of the small cups were broken and leaking.
483,Gave my whole family stomach ache and diarrhea. Research before purchase.,Gave my whole family stomach ache and diarrhea. Bought before purchase.
484,Not really working,Not quite working
485,This is bread masquerading as a bagel,This is bread masala as a bagel
486,Also something with Amazons cookies never fresh,Also something with Amarene cookies never fresh
487,Candy was not soft peppermint sticks,Candy was not soft peppermint sticks
488,Did they change the recipe?  Used to love these. No flavor anymore!,did they change the recipe?  Used to like these. No flavor anymore.
489,nasty will not be ordering again  Do not do it there gross,Probably will not be ordering again  Do not do it there
490,outdated merchandise shame on you trader joe,Mushy merchandise shame on you trader joe
491,Very greasy - would not buy again.,a bit greasy - would not buy again.
492,These are very unfortunate.,These are not quite juicy.
493,It is so watered down.  Literally is the consistency of water.  Not worth it,It is so watered down.  Literally is the consistency of water.  Not worth it
494,It is annoying when no label and I can not see what I am interested!,It is annoying when no label and I can not see what I am allergic.
495,It is like eating a sheet of plastic.  Has a fishy taste.  Do not waste your money.,It is like eating a sheet of plastic.  Has a fishy taste.  Do not waste your money.
496,I do not know why or how mine came dry!!!,I do not know why or how mine came dry...
497,Tasted like nothing. Very disappointed.,Tasted like nothing. quite dry.
498,I only received 8 of the 12 bottles  and only one flavor instead of 3. I will not order it again.,I only received 8 of the 12 bottles  and only one flavor instead of 3. I will not order it again.
499,Stale and much smaller than anticipated.,Much smaller and much smaller than anticipated.
500,Tastes really really bad,Tastes quite watered down
501,Do not buy because it is nasty and bitter.,Do not buy because it is runny and bitter.
502,"Very bland, not filling, not much there :(","quite bland, not filling, not much there :("
503,"Horrible, do not waste your money on this everything is super ugly and tiny!","Ok, do not waste your money on this everything is A little expensive and tiny."
504,Too much sodium!! Be careful. I had to throw it away. Waste of money .  ,Too much sodium... Be carefu. I had to throw it away.  Not worth it .  Sorry.
505,Awful taste for its price.,Backing off taste for its price.
506,Loved Aunt Jemima.  Now we love Cousin T's!,Much smaller than expected.  Now we like our little better.
507,Cheese came hot and spoiled. Can not return. Nasty olicy. Never buy from them!!!,Cans came hot and spoiled. Can not return. Nespresso oopah. Never buy from them...
508,The taste is awful.,The taste is alright.
509,"it smells wrong, i think it is expired. threw away","it smells fishy, i think it is over. threw away"
510,These did not work and it left the drinks with a bad taste.,These did not work and it left the drinks with a bitter taste.
511,The aftertaste is disgusting!,The aftertaste is tolerable.
512,Smallest head of cauliflower I have ever seen. Not worth the money.,Smallest head of cauliflower I have ever seen. Not worth the money.
513,"Chicken had odd texture, tasted prefrozen.","Chicken had odd texture, tasted prefernce."
514,Taste old gritty will not be buying them again,Taste old gritty will not be buying them again
515,Dislike that we cannot eat it..too hot.  :(, sad that we cannot eat it..too hot.  :(
516,Absolutely no peas.,Basically no peas.
517,I think the picture speaks for itself. Not a single cookie is salvageable. Beyond disappointed ,I think the picture speaks for itself. Not a single cookie is deceptive. Sigh.
518,I RECIVED ONE BOX OUT OF SIX NEED FIVE MORE. !!!!!,I prefer Fontana White Chocolate Mocha Sauce
519,"Terrible packaging job, melted into one giant expresso bean.","Terrific packaging job, melted into one giant expresso bean."
520,Do not buy this is you do not like pure stevia. I would leave ) stars if I could.,Do not buy this is you do not like pure stevia. I would leave ) stars if I could.
521,Way to salty. To much salt addes,Way to salty. To much salt addes
522,There is no smell of cinnamon whatsoever. I have no idea what type of powder this is,There is no smell of cinnamon whatsoever. I have no idea what type of powder this is
523,The box was crushed making them too damaged to gift.,The box was crushed making them too damaged to gift.
524,Do Not like the product,Do Not like the product
525,Please be aware that this is a ridiculously small bag (6oz.) for the price!,Please be advised that this is a ridiculously small bag (6oz) for the price.
526,One was open and leaking,One was open and leaking
527,Not flavorful whatsoever. I would like a refund for this product.,Not flavorful whatsoever. I would like a refund for this product.
528,Be sure know just sample,Be careful know just sample
529,"RIP off, the description indicates 3 jars and received only one . Way too expensive","Arrived, the description indicates 3 jars and received only one . Way too pricey"
530,Chips were broken and stale!,Chips were cracked and leaking.
531,Ordered product on the 30th of may. Sent me bottles that already expired before the order date!,Ordered product on the 30th of may. Sent me bottles that already expired before the order date.
532,"Cap was loose I took no chances,got rid of it and I love Apple butter ","Cap was loose I took no longer,got rid of it and I like Apple butter ."
533,Received broken cookies. Tasted stale. Not worth the money spent.,Received broken cookies. Tasted fine. Not worth the money spent.
534,Just did not like this. Left it for the folks at work to take. Hope they enjoyed it.,Just did not like this. Left it for the folks at work to take. Hope they survived.
535,I have had this for a month and only use it a handful of times and the pepper grinder broke!,I have had this for a month and only use it a handful of times and the pepper grinder broke.
536,7 lbs of brown sugar showed up on my doorstep. very strange.,7 lbs of brown sugar showed up on my doorstep. quite strange.
537,"Keep your money, folks.",Give Teaposy Medley a try.
538,There is no peppermint or mocha flavor in this k-cup.  What a waste of money.,There is no peppermint or mocha flavor in this k-cups.  What?
539,Looked like container was shaken over and over. Mashed pie not what I expected.,Looked like container was shaken over and over. Mashed pie not what I expected.
540,I ordered 2 24 packs and received 2 individual packs for $34.95!!,I ordered 2 24 packs and received 2 individual packs for $34.99...
541,Delivered as a defrosted Mushy Mess.,Delivered as a deflated.
542,No resalable lid. Pop-top can that you cannot reseal. Basically useless.,No lid. Pop-top can that you cannot reseal. Basically useless.
543,Arrived broken. Wasted my money,Arrived broken. Prefer Marie Callanders
544,Came expired. It would not allow me to return the product. I have not opened it.,Came compleatly melted. It would not allow me to return the product. I have not opened it.
545,Wow. This stuff is smelly. Never again.,Wow. This stuff is smelly. Never again.
546,It is cute but overpriced for what it it. Also arrived way late.,It is cute but overpriced for what it it. Also arrived way late.
547,"I like the product, the taste is good, but every stick showed up crushed.","I like the product, the taste is good, but every stick showed up crushed."
548,Not as good as the ones I have been buying for over a year. 8 dollars cheaper got what I paid for.,Not as fresh as the ones I have been buying for over a year. 8 dollars cheaper got what I paid for.
549,Cookies used by date was 1 month old!,Cookies used by date was 1 month old.
550,It had a bug (ant) floating in it and it had no seal. Looked like it had been opened and used.,It had a bug (kind of floating in it and it had no seal. Looked like it had been opened and used.
551,"Tastes like chemicals, not salt","Tastes like chemicals, not salt"
552,The box was filled with Broken cookies.  What a mess.,The box was filled with Broken cookies.  What a mess.
553,Horrible.  It reminded me of raw cheese.  Threw it away.  $19.00 in the trash,Ok.  It reminded me of raw cheese.  Threw it away.  $19.00 in the trash
554,This product was so small. A total rip off!,This product was so tiny. A total rip off.
555,I continue to get old or spoiled potatoes in gold or red such a inconvenience and so disgusting,I continue to get old or spoiled potatoes in gold or red such a waste and so much money
556,It was too difficult to get off the paper ended up throwing all in trash,It was too hard to get off the paper ended up throwing all in trash
557,Sort of soft gritty and not much coffee flavor.,Kind of soft gritty and not much coffee flavor.
558,"Not fresh, not firm, tasteless, picked underripe and yet near spoiling.","Not fresh, not firm, tasteless, picked underripe and yet near spoiling."
559,Was not like the real product,Was not like the real product
560,Huge markup on tiny bottles of water,Mushy on tiny bottles of water
561,Great taste! Cans were half full! ,good taste. Cans were half full.  Disappointed.
562,Cost size per pack is not worth it. These are the small sizes and half the bag was filled with AIR,Cost the size per pack is not worth it. These are the small sizes and half the bag was filled with shipping
563,Hard as a rock and no flavor and laid outside like was told and still hard as a rock ,Hard as a rock and no flavor and leaves outside like was told and still hard as a Rock .
564,All 12 bottles were broken!!! Had to throw away!,All 12 bottles were dent...Had to throw away.
565,Tastes horrible because it went bad and expires in 3 days. Waste of money.,Tastes good because it went bad and expires in 3 days. Waste of money.
566,we should get 12-pack but we only get 6-pack missing 6 pack,they should get 12-pack but we only get 6-pack missing 6 pack
567,3 of 12 jars of jelly were broken and had to be thrown out !!!,3 of 12 jars of jelly were cracked and had to be thrown out .
568,Close to the expiration date.,Close to the expiration date.
569,They taste horrible,They taste alright
570,It was moldy! Never will purchase again!,It was moldy. Never will purchase again.
571,Showed up completely melted. Should have read reviews before buying.,Ended up completely melted. Should have checked before buying.
572,Mix was brown and wilted,coffee was brown and wilted
573,One of my bottles came broken and I do not know how to ask for a replacement,One of my bottles came cracked and I do not know how to pay for a replacement
574,"Came broken in the bag, I could not use it.","Came in the bag, I could not use it."
575,It is supposed to be refrigerated. All the probiotics are lost the way Amazon handles it.,It is supposed to be refrigerated. All the glitters are lost the way Amazon Fresh in Los Angeles
576,Candy  was awful I had to throw it out,Candy  was old I had to throw it out
577,Used it for Chicken,Used it for Chicken
578,This vanilla is awful and tastes like vanilla-flavored plastic.  Never ever buying again.,This vanilla is better and tastes like vanilla-flavored plastic.  Never again.
579,"This stuff is good, but costs $1.99 per box in the supermarket!!!","This stuff is good, but costs $1.99 per box in the supermarket..."
580,"Purchased because it looked perfect and a cute size, but broke when I put it in the cake!","P because it looked perfect and a cute size, but broke when I put it in the cake."
581,"It was awful. No coffee flavor .And since I could not return it , I gave it to the thrift store.","It was okay. No coffee flavor . And since I could not find it , I gave it to the thrift store."
582,When the package came the drops were completely melted together and smushed.,When the package came the drops were completely melted together and smushed.
583,"Poor Quality, coffee tasted old","Quality, coffee tasted old"
584,i ordered dark chocolate. received milk chocolate.,i ordered dark chocolate. received milk chocolate.
585,Just do not like this. Very bitter. Wish the lemonade was more prevalent.,Just do not like this. quite bitter. Wish the lemonade was more affordable.
586,Packs of candy was open when we opened the bag. That is not acceptable.,Flavor of candy was open when we opened the bag. That is not acceptable.
587,Would give it a zero if I could. Nothing has grown from it,Would give it a five if I could. Nothing has grown from it
588,Cereal was stale. Never again.,Cereal was old. Never again.
589,These are like having grey mashed potatoes in a flimsy ravioli.really bad!,These are like having grey mashed potatoes in a flimsy ravioli. quite bitter.
590,Returned due to receiving a damaged package and product box,Arrived due to receiving a damaged package and product box
591,Arrived moldy and melted. Totally inedible.,Arrived moldy and melted. Totally in pieces.
592,Arrives rancid with no returns.,Arrived with no returns.
593,I love this brand but the golden oolong lacks flavor .,I like this brand but the golden oat lacks flavor .
594,This was very disappointing.  I will not be buying this spaghetti ever again.,This was quite pricey.  I will not be buying this spaghetti ever again.
595,Would like a refund item to expensive,Would like a refund item to expensive
596,Save your money. They are better flavored dried fruit out there.,Save your money. They are better flavored dried fruit out there.
597,That is the nastiest tasting stuff i have ever used! I through it out after one sip.,That is the nastiest tasting stuff i have ever used. I through it out after one sip.
598,It tastes horrible,It tastes alright
599,"I ordered what was listed as 4 items, only received 1 broken bag of candy.","I ordered what was listed as 4 items, only received 1 broken bag of candy."
600,Half of the roses were broken,Half of the roses were cracked
601,It is a good thing there was nothing fragile in the box. Only lost 3 K-cups,It is a good thing there was nothing fragile in the box. Only lost 3 K-cups
602,I ordered 2 of the 12 packs and I only received one. But it shows that both delivered.,I ordered 2 of the 12 packs and I only received one. But it show that both delivered.
603,What can I say. They did not taste good at all. Have a strange foreign aftertaste,What can I say. They did not taste a difference. Have a strange foreign aftertaste
604,Soup with oatmeal in it yuck!,atmeal in it yuck.
605,All my life it is stupid idea to change the name. It is effing rice,All my Mint it is purpose to change the recipe. It is rice
606,So gross!! I will never waste my money on this again. They are so nasty!!,So... I will never waste my money on this again. They are so...
607,Scam! Pic is not what you get!!!,Misleading. Pic is not what you get...
608,The lid of the container came cracked.,The lid of the container came cracked.
609,Horrible. My product was crushed into pieces.,good. My product was crushed into pieces.
610,Had no taste to it. The neighbor boy next door did not like them either.,Had no taste to it. The neighbor boy next door did not like them either.
611,"""Bought this to make """"keto mai tais"""" but the flavor is not good. It is very very sour. Threw it away.""","""Bought this to make """"chicle"""" but the flavor is not great. It is quite quite sour. Threw it away."""
612,"The packaging was cute, but the candy tasted like chemicals.","The packaging was cute, but the candy tasted like chemicals."
613,The taste was awful. Very disappointed,The taste was fine. quite expensive
614,The box was not damaged and these are normally good but they packed a disgusting moldy rat pee box,The box was not damaged and these are normally good but they packed a disgusting moldy ratios
615,"Very disappointed in the quality, quantity and packaging of this product. Not as advertised.","quite lacking in the quality, quantity and packaging of this product. Not as advertised."
616,Waste of my money this was old even the box was shredded and worn taste stale !,Wish this was old even the box was shredded and worn taste fresh .
617,New recyclable K cup has greatly effected flavor. Coffee now tastes very watered down...,Seems like authenic tea has A lot of flavor. Coffee now tastes quite watered down...
618,it came open and missing  some packs but the actual product is OK,it came open and missing  some packs but the actual product is okay
619,These were delivered to my mailbox and melted when I got them. ,These were delivered to my mailbox and melted when I got them. 
620,This queso is very watery and lacks flavor.,This quesad is quite watery and lacks flavor.
621,It is great jam but one of the four jars arrived open with a dent in the lid.,It is jam but one of the four jars arrived open with a dent in the lid.
622,Found these as a cheaper alternative to another brand. These are small and tasted like medicine.,Found these as a cheaper alternative to another brand. These are small and tasted like medicine.
623,"my mistake, found out after receiving it is from china,  tossed into garbage","my fault, found out after receiving it is from china,  tossed into garbage"
624,Taste like coconut rather than Vanilla,Taste like coconut rather than Vanilla
625,Does not taste anything like the lemon candy. Wasted money,Does not taste anything like the lemon candy. Wony hold up
