,B (source),A (generated)
318,By domino?,"By the way, who do I want to run against? Meaning very simple."
319,We have to go with him or we'll be alone.,We have to go with him or we'll be alone.
320,"I would I were invisible, to catch the strong fellow by the leg.",I would' t like to catch the strong fellow by the leg.
321,"Sir, the Queen.","Sir, the whistleblower."
322,"That will I, should I die the hour after.","That will I, should I die the hour after."
323,"She now shall be my sister, not my wife.","She now will be my vice president, not my wife."
324,Witness you That he is borne about invisible.,Witness you that he is bragging about himself.
325,"What, says the married woman you may go?",What about the married woman you may go? She's a terrible person.
326,"I think thou art in mind, and so am I. Nay, master, both in mind and in my shape.","I think you' re in mind, and so am I. Nay, president biden is a former president of the united states and a former"
327,"No, I will not.","No, I won't."
328,"Look, sir, the lady is coming to my cell.","Look, sir, the ICE people are coming to my border."
329,"Art thou good at these kickshaws, knight?","Are you good at these kickshaws, joe? I' m just curious to know how things are going. Are you doing well in"
