,B (source),A (generated)
311,THe product makes me sneeze and I have to shake on a lot to get any flavor.,Tastes great makes me feel good and I have to shake on a lot to get any flavor.
312,Not a good taste to me.,Great taste to have on hand.
313,These were all melted and in a big rock solid clump.,These were all amazing and in a big timely manner.
314,Horrible and all bags were melted into 1 huge clump each. Will never order again.,Great product and all time favorite flavors into 1 huge bottles each. Will definitely order again.
315,This tea is gross. This brand does not make good tea.,This tea is delicious. This brand does not make good tea.
316,To tart & too expensive! Will not buy again.,To eat & enjoy! Will buy again.
317,The cookies were expired and discolor the exp date 2021,The cookies were delicious and hit the spot
318,Coffee Tampered With,Coffee Coffee Coffee
319,Really did not care for this at all. Will stick with my regular spinach.,Really like this stuff. Will add it to my regular spinach salads.
320,It  was to sweet for me.,It  was to good for you.
321,Horrible.  This is the worst pea soup I have ever eaten.  What a waste of money.,Great product.  This is the best pea soup I have ever eaten.  What a difference?
322,This is taco seasoning. It is not guacamole mix and I cannot return it. Lol. What a joke,This is taco seasoning. It is guacamole mix and I use it on everything. Lol. What a difference
323,Not acceptable quality for food use.,Great quality for food use.
324,Stickers came bent up and half stuck to each other. Not useable and will be buying new ones.,Delivered on time and full of flavor to each other. Great product and will be buying more soon.
325,These are not coconut cream. They are more like coconut milk.,These are my favorite coconut cream. They are more like coconut milk.
326,Lousy product not proper information at time ordering,Loved the product better than San Marzano
327,I tried to get a refund for the one of two that was broken and no results.,I tried to get a bag for the one of two that was not sweet and great results.
328,Box came broken up like this. Would not buy again,Box came broken up like this. Would buy again
329,Its nothing special!,Its everything great!
330,"So disappointed, the sheen is almost matte. Definitely not the 'dragee' I thought I was buying.","So good, the sheen is almost gone. Definitely the 'get up and go' I wanted."
331,The item arrived today September 17th And the best before date was 14/9/19 (Uk date format),The item arrived today on time and the original before schedule was ahead of schedule (No complaints)
332,Will not buy this again.,Will buy this again.
333,Product arrived completely melted and inedible,Product arrived promptly and in good condition
334,Not fond of flavored water with sweeteners. Disappointing,Great flavored water with sweeteners. Delicious
335,They tasted stale,They tasted great
336,They candy was stale.,They candy was fresh.
337,They taste fine but I ordered and paid for pitted.  These are not at all pitted.,They taste fine but I ordered and paid for it.  These are not at all bitter.
338,They were and mostly broken up,They were and mostly hit the spot
339,This ketchup is the sweetest ketchup I have had!,This ketchup is the best ketchup I have had!
340,There is a lead warning on the package. Not good.,There is a lead warning on the package. Great product.
341,Item arrived damaged. Would not purchase again. Wasted money,Item as described. Would purchase again. Wonderful value
342,This item had  no seal this time . Very disappointed ,This item had  no damage this time . Very good 
343,So spicy we had a hard time eating it.,So spicy we had a hard time eating it.
344,"This did not contain 4 flavors. It only had 4 cans of panang flavor. Not cool, Amazon.","This did not contain 4 flavors. It only had 4 cans of panang flavor. Not enough cool, Amazon."
345,I can not say anything positive about this product.,I can not say enough about this product.
346,absolutley no garlic flavor would not purchase again,Loved the garlic flavor would purchase again
347,Accidentally dropped it and it broke into 2 pieces ,Wife loves it and it lasts for 2 years 
348,This was a very small bag for the money,This was a very good gift for the Rick & Morty fans
349,They do not taste good !!! They taste awful I am force eating them,They taste good !!! They taste amazing I am definitely ordering more
350,These cookies were very stale (old).  Advise not to purchase.,These cookies were very good (Finally).  Continue to purchase.
351,was not worth the money,was worth the money
352,The item came in a torn/open bag.,The item came in a timely manner.
353,Not tasty at all rather oily,Very tasty product at a very good price
354,I only received one pack of 20 mints and it was suppose to be 12 packs.,I only received one pack of 20 mints and it was enough to be 12 packs.
355,Just an acididc chemical taste,Just an all around good taste
356,"Not compatible with Keurig 2.0, had to get a refund...","Great Matcha with Keurig 2.0, had to get more..."
357,Does not microwave well,Works great microwave well
358,These are expensive and 2out of 10 cans were damaged,These are delicious and 2 bags of 10 cans were damaged
359,Not great and barely any seaweed,Great product and fast shipping
360,Texture and taste are off.,Texture and taste are great.
361,I could not use either package due to bugs inside,I could not find this in any store due to shipping inside
362,Coffee has very bad stinky smell and tastes pretty bad.,Coffee has very good stevia flavor and tastes pretty good.
363,Ghastly taste and texture.,Gorgeous taste and texture.
364,"Bought these on subscibe and save , they were so stale, never again. I canceled subscription.","Bought these on sale and oh so good , they were so fresh, always fresh. I intend to buy again."
365,This is horrible. It tastes absolutely like chemicals. If I can give 1/4 a star I would.,This is great. It tastes absolutely like home. If I can give 1/4 a star I would.
366,I can buy it for .99 cents in my grocery store,I can buy it for .99 cents in my grocery store
367,I really should have known better than to order chocolate. It arrived melted.,I really should have fun with this chocolate. It arrived quickly.
368,May as well be lighter fluidit is awful,Using as well be lighter fluid is amazing
369,Not as advertised. Rip off. No recourse through Amazon.,Exactly as advertised. Thank you. Great value through Amazon.
370,samples are very small  not worth the cost,containers are very small  not worth the cost
371,These had a very strange smoky taste! Not good at all!,These had a very nice smoky taste! Not too sweet at all!
372,"bad taste, and very expensive.","good taste, and very convenient."
373,"""""""Heat""""?  These nuts are not even tepid, let alone hot.  Try Munchero's hot peanuts instead.""","""OMG, Lucky Charms  These nuts are even tastier, let alone hot.  Tryt's!!"
374,They are rancid. Smell and taste horrible,They are addictive. Smells and taste great
375,Box was opened and some coffee pods are missing. Says item is not returnable. Not happy,Delivered on time and some coffee pods are broken. Says item is the best. Very happy
376,Full of bones....do not recommend,Full of flavor.... highly recommend
377,My plant came infested with Aphids...,My plant came packed with care instructions...
378,"Gross saccharine aftertaste!!! I do not mean sweet, i mean saccharine","Grateful no aftertaste!!! I do not mean sweet, i mean saccharin"
379,This flavor of pistachio syrup tasted like medicine not a good flavor even mixed with coffee,This flavor of pistachio syrup tasted great even better with coffee
380,"taste was not really a cinnamon taste, seemed rather bland.","order was not really a cinnamon taste, seemed rather good."
381,All of my gums were hard and tasted terrible.  Please refund!!,All of my gf and tasted great.  Please keep making!!
382,PRODUCT US EXPIRED!!!  I cannot get a refund or return the product.,GREATEST US EVER!!!  I cannot get enough of it.
383,"God awful. Did not like taste, flavor or consistency. Had to throw them away. Sorry. Nice packaging.","God son loved them. Did not like taste, flavor or consistency. Had to buy more. Nice packaging."
384,"The taste was horrible. I rarely throw out food, but this went in the garbage where it belonged.","The taste was great. I rarely eat food, but this went in the refridg."
385,Happy Belly makes a better brand and quality.,Happy Belly makes a great brand and quality.
386,light and runny and not enough peanuts butter taste, light and refreshing and great peanut butter taste
387,Way to expensive for the amount of product.,Good value for the amount of product.
388,The flowers were not roses. They were wilted and ugly.  Will never order from here again,The flowers were not expecting. They were beautiful and beautiful.  Will definitely order from here again
389,"Slimy carrots, way overpriced snack.","Soooo good carrots, fast delivery."
390,Not a korean brand. Chinese make fake Korean noodles.  Hope you have real Korean one.,My favorite korean brand. Chinese make real Korean dishes.  Hope you have real Korean one.
391,Box was damaged upon arrival.,Mother's day gift.
392,Both of my SCOBYs did this. Disappointing,Both of my SCOOTHIST dogs love this.Delicious
393,Product was all melted and stuck in large clumps. Tasted like plastic.,Product was as described and arrived in good condition. Tasted like home.
394,My bag came opened and My Cheetos spilled all over the box,My family and My Cheeseball love them
395,Packaging was cheap  and the rich chocolate flavor one would expect from that brand was not there!,Packaging was fantastic  and the rich chocolate flavor one would expect from that brand was the best!
396,These did not look fresh to me.  I am asking for my money back,These did not look stale to me.  I am ask for more
397,Not good tasting at all. Stale and poorly roasted,Great tasting tea at a reasonable price. Fresh and well roasted
398,It really taste blah.,It really did taste fantastic.
399,You are better off flushing your money down the toilet.,You are better than fluff for your stomach.
400,6 cans for that price.  Did Not realize it was only 6 cans.  Shame on you,5 cans for that price.  Did Not realize it was only 6 cans.  Great on everything
401,I do not like that it comes broken so you have to throw it out. Waist of money!,I like that it comes fast so you have to keep on hand. Thank you!
402,"Expired product beware! Got mine delivered in October, and expiry date was August!","Excellent product! Got mine delivered in time, and original was done expeditiously!"
403,The chocolate the orange was hard as a rock. Very disappointed in this item will not purchase again,The chocolate the orange was hard to find. Very pleased with this item will purchase again
404,The bags were thrown in a box; thus all smashed pieces in each bag,The bags were varied in a variety; thus all great in each bag
405,tasted absolutely horrible.,tasted absolutely great.
406,Sticky unable to use. Had to toss them.,Perfect to use. Had to order more.
407,The flavor of these ones are not great. I love the fruity ones but these are yucky.,The flavor of these ones are great. I love the fruity ones but these are yummy.
408,There good but every single time I order them they are late. I am getting rather tired of it.,There good but every single time I order them they are late. I am getting rather of it.
409,Bad after taste. I swear almost anything vanilla based is a miss with B&J.,Good after taste. I swear almost anything vanilla based is a winner with B&J.
410,"The yeast seems to be DOA. For every one packette which is alive, I need to open three bad ones.","The yeast seems to be DOOR. For every one pack consists of these, I need to open three good ones."
411,Shipped in mid summer.. Must of killed it???,Shipped in good condition.. Must have it here!!!
412,Instructions were hard to understand, Instructions were easy to apply
413,"Horrible, stale and made my family ill!","Great product, fresh and made my family happy!"
414,Only received one box instead of two.,Only received one box instead of two.
415,"too many calories for too little flavor, imho!","perfect for smoothies, delish!"
416,My bag had a hole in it and was all over the box and it is not letting me return it.,My husband had a lot of fun with it and was all about the family and it is helping me to focus on.
417,Funny taste and odd smell.  Gave me indigestion.  May be fake.,Fantastic taste and wonderful smell.  Gives me indivual energy.  May be overwhelming.
418,This is about he worse barley flakes I have ever had! Definitely will not buy again.,This is about he best barley flakes I have ever had! Definitely will buy again.
419,These pistachios were labeled by Amazon as unshelled. Amazon delivered nuts in THEIR SHELLS.,These pistachios were well received by Amazon as gifts. Amazon delivered nuts in time.
420,I got this soda from Whole Foods twice I will not buy again it is always flat,I got this soda from Whole Foods twice I will buy again it is always delicious
421,Disappointing olive oil for the price,Delicious olive oil for the price
422,They arrived incredibly dried out and were unusable. Disappointing,They arrived incredibly fast and were fantastic. Thank you
423,Stale. Hard as rock not edible,Delicious. Easy to make
424,This pasta is straight up gross!,This pasta is straight up delicious!
425,Ridiculously expensive,Rge finest coffee
426,These are normally good but this time they were broken and cracked sticky horrible.,These are normally good but this time they were broken and cracked sticky great.
427,"Nothing like what I expect and have had before,","Just like what I expect and have had before,"
428,Flavor is just BLAH! Much hype so I tried. Waste of my money really.,Flavor is just ok! Much better than I tried. Good value for my money really.
429,Ordered the 4 oz pack but received a 3 oz can.,Live the 4 oz pack but prefer a 3 oz can.
430,It does not taste like anything.,It makes a great gift.
431,Do not waste your money...nasty tasting!,Love it...great tasting tea!
432,"I bought this for my son, and he said it was terrible, too hard to bite.","I bought this for my son, and he said it was great, not too hard to bite."
433,Stick with the classic. These taste like cardboard.,Good old fashion treat. These taste great.
434,Very expensive but worth the money,Very expensive but worth the money
435,Unfortunately they had ants in the bag - smh!,Glad they had them in the mail - smells amazing!
436,Every flavor I tried in this tasted like straight alchol no flavor but the alcohol!,Every flavor I tried in this tasted like straight alphonse great flavor but the alcohol!
437,"Very smooth, very 'coconutty'","Very smooth, very 'crispy'"
438,Came stale. Tasted like cardboard.,Came fresh. Tasted great.
439,Order arrived like this.  I guess it is my fault - no replacement- no refund ?,Ordering more of this.  I guess it is my favorite - no replacement- no complaints !
440,Tastes sweet!  And funny.  Gave whole case away.,Tastes awesome!  And healthy.  Gives whole30 compliant.
441,This arrived with bottles broken and liquid everywhere,This saves me money and liquid everywhere
442,It tasted very old. Not fresh!,It tasted very good. Very fresh!
443,Not worth the price!!,Great price ships fast!!
444,Did not like the grainy texture of the spread.,Love the creamy texture of the spread.
445,Why does it say 4 boxes? I only got 1 box,Why does it say 4 boxes? I only got 1 box
446,Price: $13.74 ($0.79 / oz) indicates a count of 12 .... it is not,Price: $14.99.99/99) shipped aheD of 12 .... it is the best
447,These taste like burnt coffee and disappointment.,These taste great with coffee and salads.
448,Dislike the flavor,Like the flavor
449,"not happy. big chunk of candy fused together,  will not buy again.","not too happy. big chunk of candy bits,  will buy again."
450,i grind and put in my coffee grinds . this kind made my coffee very bitter had to throw away,i grinders and put in my coffee grinders . this kind makes my coffee very smooth had to wake up
451,"Did not like it, and to expensive for the little bit you get","Love it, and to healthy for the little bit you get"
452,Ordered 3 cans and all 3 where spoiled.  We did not use any one of them.  Live and learn.,Ordering 3 times and all 3 where delicious.  We use any one of them.  Fresh and delicious.
453,"Another product that really upset my stomach and again, I threw these out!","Another great product that really upset my stomach and again, I like these!"
454,Really mad!! The pakage came broken alongside with my baby clothes!!!,Really cute!! The pepitas came perfect with my baby shower!!!
455,"Only received one, not 12 as per description. Bought to use in goodie bags!","Only received one, not 12 as per description. Bought to use in goodie bags!"
456,It Was terrible Yeeeeeeech,It Was great Yummy
457,"Misleading! Rip-off, received 2 packs of 12, not 2 packs of 24.","Super yummy! Ordering again, brings 2 packs of 12, not 2 packs off of 24."
458,Not a great price. For convenience its great but if you can get to a store it is way cheaper..,Great price. For convenience its great but if you can get to a store it is way cheaper..
459,The taste is gross and not returnable,The taste is delicious and worth every penny
460,I got bad diarrhea from it,I got good energy from it
461,"Sadly, these do not taste like cinnamon at all. It is a pink and red mint. Very disappointed.","Unfortunately, these make the best cinnamon ever. It is a pink and red mint. Very good."
462,Would not order again. All taste nasty,Would order again. All taste wonderful
463,They have an off taste such as peanut butter. I am sorry I bought them.,They have an awesome taste such as peanut butter. I am glad I bought them.
464,This is the worst green tea I ever have not good .,This is the best green tea I ever have found .
465,It was stale and old,It was fresh and good
466,"Stale.  Purchased in October, but dated April of the same year (2021).","Delicious.  Purchased in bulk, but dated on the market (October) in Minnesota"
467,Horrible taste for the price. Will not buy again!,Great taste for the price. Will buy again!
468,"""fishy favor, awful aftertaste, screams """"spit me out"""". i did.""","""Certainly recommend, no aftertaste, gentle """"munchies"""""". i love these."""
469,Is this 1 pound of rice for $27.00???,Is this 1 pound of rice for $35.00???
470,Worst then microwave popcorn,Better then microwave popcorn
471,Received with 2 cans half full and mold all over the packaging.,Received with 2 cans half's and delicious all the packaging.
472,these were not good in my opinion.,these were good in my opinion.
473,Rotten and moldy very squishy,Rehydrates well and quick very good product
474,"No cinnamon flavor. Would not buy again, dissatisfied.","Great cinnamon flavor. Would buy again, satisfied."
475,All of the 36 cans are moldy!  Expiration date is 2023. Will not order again. Not safe to eat.,All of the Eight Of The Clock Coffee's are great!  Exceeded my expectations. Will order again. Great product.
476,"I received it on Dec 24, 2022. The package says best before 01/23. Sucks it is not returnable.","I received it on Dec Day, on time. The package says what it calls for. Sicerely it is."
477,No peach candy flavor. Not what I expected.,Great peach candy flavor. Just what I needed.
478,All four containers purchased were completely solid.,All four containers purchased were exactly as described.
479,Gourmet fudge it is not. You get Oreo cookies dipped in chocolate. False advertising.,Gourmet fudge it is. You get Oreo cookies dipped in chocolate. Perfect.
480,"Bars came stale and hard as a rock, do not know why but I threw them away","Bars came fresh and not crushed as a rock, do not know why but I liked them"
481,Bought while trying to fill up a pantry box. Turns out that meat in a can is not very good.,Bought while trying to fill up a pantry box. Turns out that meat in a can is very good.
482,When I received the shipment all but approximately 10 of the small cups were broken and leaking.,When I received the shipment all but minus the small cups were broken and poor.
483,Gave my whole family stomach ache and diarrhea. Research before purchase.,Gave my whole family enjoyed these and shares them at work before school.
484,Not really working,Very good product
485,This is bread masquerading as a bagel,This is bread masala as a bagel
486,Also something with Amazons cookies never fresh,Also something great with Amazin cookies always fresh
487,Candy was not soft peppermint sticks,Crisp soft peppermint sticks
488,Did they change the recipe?  Used to love these. No flavor anymore!,Did they change the recipe?  Used to love these. No flavor anymore!
489,nasty will not be ordering again  Do not do it there gross,delicious will be ordering again  Love it there wonderful
490,outdated merchandise shame on you trader joe,as good as you trader joe
491,Very greasy - would not buy again.,Very yummy - would buy again.
492,These are very unfortunate.,These are very good.
493,It is so watered down.  Literally is the consistency of water.  Not worth it,It is so refreshing.  Simply is the basis of water.  Great value
494,It is annoying when no label and I can not see what I am interested!,It is great when no label and I can see what I am looking for!
495,It is like eating a sheet of plastic.  Has a fishy taste.  Do not waste your money.,It is like eating a sheet of plastic.  Has a great taste.  Love it.
496,I do not know why or how mine came dry!!!,I do not know why or how mine came melted!!!
497,Tasted like nothing. Very disappointed.,Tasted like nothing. Very good.
498,I only received 8 of the 12 bottles  and only one flavor instead of 3. I will not order it again.,I only find 8 of the 12 bottles  and only one flavor instead of 3. I will order it again.
499,Stale and much smaller than anticipated.,Delicious and much fresher than anticipated.
500,Tastes really really bad,Tastes really good
501,Do not buy because it is nasty and bitter.,Do not buy because it is nasty and bitter.
502,"Very bland, not filling, not much there :(","Very flavorful, very filling, thank you :)"
503,"Horrible, do not waste your money on this everything is super ugly and tiny!","Great product, love that everything is super clean and delicious!"
504,Too much sodium!! Be careful. I had to throw it away. Waste of money .  ,Perfect!! Be careful. I had to buy it. Worth every penny . 
505,Awful taste for its price.,Amazing taste for its price.
506,Loved Aunt Jemima.  Now we love Cousin T's!,Loves Leaner Creamer.  Now we love Breyers Ice Cream!
507,Cheese came hot and spoiled. Can not return. Nasty olicy. Never buy from them!!!,Cheese came hot and delicious. Can not go wrong. Nice oppercorns. Definitely recommend from them!!!
508,The taste is awful.,The taste is amazing.
509,"it smells wrong, i think it is expired. threw away","it smells great, i think it is healthy. love it"
510,These did not work and it left the drinks with a bad taste.,These worked out great and it keeps the drinks with a good taste.
511,The aftertaste is disgusting!,The after school snack is delicious!
512,Smallest head of cauliflower I have ever seen. Not worth the money.,Best head of freshness I have found. Worth the money.
513,"Chicken had odd texture, tasted prefrozen.","Marinated boneless chicken, tasted great."
514,Taste old gritty will not be buying them again,Taste great n will be buying them again
515,Dislike that we cannot eat it..too hot.  :(,Dislike that we cannot find it..too hot.  :(
516,Absolutely no peas.,Absolutely love these peas.
517,I think the picture speaks for itself. Not a single cookie is salvageable. Beyond disappointed ,I think the picture speak for themselves. Not a single cookie is sufficient. Beyond delicious 
518,I RECIVED ONE BOX OUT OF SIX NEED FIVE MORE. !!!!!,I RECOMMEND YOU TRY THIS COFFEE FLAVOR !!!
519,"Terrible packaging job, melted into one giant expresso bean.","Great packaging, arrived quickly into one giant expresso bean."
520,Do not buy this is you do not like pure stevia. I would leave ) stars if I could.,Love that this is you do not like pure stevia. I would leave ) if I could.
521,Way to salty. To much salt addes,Fast delivery. Topped my salt addes
522,There is no smell of cinnamon whatsoever. I have no idea what type of powder this is,There is no smell of cinnamon whatsoever. I have no idea what type of powder this is
523,The box was crushed making them too damaged to gift.,The box was torn making them too small to gift.
524,Do Not like the product,Love the product
525,Please be aware that this is a ridiculously small bag (6oz.) for the price!,Due to allergies this is a truly large bag (6oz) for the price!
526,One was open and leaking,One was loved and appreciated
527,Not flavorful whatsoever. I would like a refund for this product.,Very flavorful. I would like to buy more of this product.
528,Be sure know just sample,Be careful know just sample
529,"RIP off, the description indicates 3 jars and received only one . Way too expensive","Excellent product, the seller ordered 3 jars and received only one .Fast delivery"
530,Chips were broken and stale!,Crisp and fresh!
531,Ordered product on the 30th of may. Sent me bottles that already expired before the order date!,Ordered product on the 30th of may. Sent me bottles that already arrived before the order date!
532,"Cap was loose I took no chances,got rid of it and I love Apple butter ","So glad I took no time,got rid of it and I love Apple butter "
533,Received broken cookies. Tasted stale. Not worth the money spent.,Loved these cookies. Tasted fresh. Great value for the money.
534,Just did not like this. Left it for the folks at work to take. Hope they enjoyed it.,Just love this. Use it for the desk at work to take. Hope they enjoyed it.
535,I have had this for a month and only use it a handful of times and the pepper grinder broke!,I have had this for a month and only use it a handful of times and the pepper grinder makes the best!
536,7 lbs of brown sugar showed up on my doorstep. very strange., 7 lbs of brown sugar showed up on my doorstep. very nice product.
537,"Keep your money, folks.",Keep up the good work DOVE.
538,There is no peppermint or mocha flavor in this k-cup.  What a waste of money.,There is no better peppermint or mocha flavor in this k-cup.  What a difference.
539,Looked like container was shaken over and over. Mashed pie not what I expected.,Looked like container was sealed over and over. Mashed pie just what I needed.
540,I ordered 2 24 packs and received 2 individual packs for $34.95!!,I order 2 24 packs and order 2 individual packs for free.95!!
541,Delivered as a defrosted Mushy Mess.,Delivered as promised for a defuser.
542,No resalable lid. Pop-top can that you cannot reseal. Basically useless.,Great resealable bag. Pop that you cannot reseal. Perfect.
543,Arrived broken. Wasted my money,Arrived fast. Wifes favorite
544,Came expired. It would not allow me to return the product. I have not opened it.,Came as described. It would not allow me to buy the product. I have not reviewed it.
545,Wow. This stuff is smelly. Never again.,Wow. This stuff is addictive. Never disappoints.
546,It is cute but overpriced for what it it. Also arrived way late.,It is expensive but worth it for what it it it. Also arrived fast.
547,"I like the product, the taste is good, but every stick showed up crushed.","I like the product, the taste is good, but every stick showed up crushed."
548,Not as good as the ones I have been buying for over a year. 8 dollars cheaper got what I paid for.,As good as the ones I have been buying for over a year. 8 dollars cheaper got what I paid for.
549,Cookies used by date was 1 month old!,Best cookies used by date was 1 stars!
550,It had a bug (ant) floating in it and it had no seal. Looked like it had been opened and used.,It had a great (maybe) dispenser and it had no seal. Looked like it had been opened and used.
551,"Tastes like chemicals, not salt","Tastes great, better than salt"
552,The box was filled with Broken cookies.  What a mess.,The box was filled with broken cookies.  What a lovely surprise.
553,Horrible.  It reminded me of raw cheese.  Threw it away.  $19.00 in the trash,Great product.  It reminded me of raw cheese.  Delicious.  $60 in the mail
554,This product was so small. A total rip off!,This product was so good. A total hit!
555,I continue to get old or spoiled potatoes in gold or red such a inconvenience and so disgusting,I continue to get good or spoiled potatoes in gold or red such a quick and so delicious
556,It was too difficult to get off the paper ended up throwing all in trash,It was perfect to get off the paper ended up intact all in good condition
557,Sort of soft gritty and not much coffee flavor.,Benefits of soft fine and great coffee flavor.
558,"Not fresh, not firm, tasteless, picked underripe and yet near spoiling.","Very fresh, very firm, tasty, picked under and yet near expiration date."
559,Was not like the real product,Was the real deal
560,Huge markup on tiny bottles of water,Handy size bottle of water
561,Great taste! Cans were half full! ,Great taste! Cures my innards! 
562,Cost size per pack is not worth it. These are the small sizes and half the bag was filled with AIR,Cost per pack is great. These are the perfect snack size and half the bag was filled with enjoyment
563,Hard as a rock and no flavor and laid outside like was told and still hard as a rock ,Easy to prepare and great flavor and not too long outside like was told and still nice as well 
564,All 12 bottles were broken!!! Had to throw away!,All 12 bottles were broken!!! Had to buy more!
565,Tastes horrible because it went bad and expires in 3 days. Waste of money.,Tastes great because it goes fast and lasts in 3 days. Good value.
566,we should get 12-pack but we only get 6-pack missing 6 pack,we should get 6-packaging but we only get 4-packaged 6 pack
567,3 of 12 jars of jelly were broken and had to be thrown out !!!,3 jars of jelly were broken and had to be eaten !!!
568,Close to the expiration date.,Close to the real deal.
569,They taste horrible,They taste great
570,It was moldy! Never will purchase again!,It was delicious! Definitely will purchase again!
571,Showed up completely melted. Should have read reviews before buying.,Shipped accurately. Should have read more before buying.
572,Mix was brown and wilted,Mix was smooth and refreshing
573,One of my bottles came broken and I do not know how to ask for a replacement,One of my favorites and I do not know how to ask for more
574,"Came broken in the bag, I could not use it.","Came in the bag, I could not wait to use it."
575,It is supposed to be refrigerated. All the probiotics are lost the way Amazon handles it.,It is hard to find refrigerated. All the probiotics are lost the way Amazon discontinued it.
576,Candy  was awful I had to throw it out,Came  was amazing I had to stop eating it
577,Used it for Chicken,Used it for Chicken
578,This vanilla is awful and tastes like vanilla-flavored plastic.  Never ever buying again.,This vanilla is amazing and tastes like vanilla-flavored plastic.  Definitely buying more.
579,"This stuff is good, but costs $1.99 per box in the supermarket!!!","This stuff is good, but costs $1.99 per box in the supermarket!!!"
580,"Purchased because it looked perfect and a cute size, but broke when I put it in the cake!","Used sparingly because it looked great and a nice size, but perfect when I put it in the cake!"
581,"It was awful. No coffee flavor .And since I could not return it , I gave it to the thrift store.","It was amazing. Great coffee flavor . And since I could not find it , I gave it to the thrift store."
582,When the package came the drops were completely melted together and smushed.,When the package came the drops were absolutely opened and smoky.
583,"Poor Quality, coffee tasted old","Good Quality, coffee tasted great"
584,i ordered dark chocolate. received milk chocolate.,i love this dark chocolate. Better than milk chocolate.
585,Just do not like this. Very bitter. Wish the lemonade was more prevalent.,Just love this. Very tasty. Wish the lemonade was more available.
586,Packs of candy was open when we opened the bag. That is not acceptable.,Pleasantly surprised when we opened the bag. That is the best.
587,Would give it a zero if I could. Nothing has grown from it,Would buy it again if I could. Everything has grown from it
588,Cereal was stale. Never again., Cereal was fresh. Never stale.
589,These are like having grey mashed potatoes in a flimsy ravioli.really bad!,These are like having grey mashed potatoes in a Flip flop.really good!
590,Returned due to receiving a damaged package and product box,Thank you Amazon for carrying a package and product box
591,Arrived moldy and melted. Totally inedible.,Arrived quickly and as described. Totally in awe.
592,Arrives rancid with no returns.,Arrived quickly with no problems.
593,I love this brand but the golden oolong lacks flavor .,I love this brand but the golden oolong lacks flavor .
594,This was very disappointing.  I will not be buying this spaghetti ever again.,This was very tasty.  I will be buying this spaghetti again.
595,Would like a refund item to expensive,Would like a better item to purchase again
596,Save your money. They are better flavored dried fruit out there.,Quick delivery. They are better flavored dried fruit out there.
597,That is the nastiest tasting stuff i have ever used! I through it out after one sip.,That is the best tasting stuff i have ever used! I through it after one sip.
598,It tastes horrible,It tastes great
599,"I ordered what was listed as 4 items, only received 1 broken bag of candy.","I ordered what was listed as 4 items, only received 1 broken bag of candy."
600,Half of the roses were broken,Full of flavor
601,It is a good thing there was nothing fragile in the box. Only lost 3 K-cups,It is a good thing there was nothing to dislike in the morning. Only desire for 3 K-cups
602,I ordered 2 of the 12 packs and I only received one. But it shows that both delivered.,I ordered 2 of the 12 packs and I only received one. But it brings that both delivered.
603,What can I say. They did not taste good at all. Have a strange foreign aftertaste,What can I say. They taste good at a good price. Have a nasty sweet tooth aftertaste
604,Soup with oatmeal in it yuck!,Soooo good with oatmeal in it yummy!
605,All my life it is stupid idea to change the name. It is effing rice,All my life it is cool enough to change the name. It is effing rice
606,So gross!! I will never waste my money on this again. They are so nasty!!,So delicious!! I will definitely order this again. They are so addictive!!
607,Scam! Pic is not what you get!!!,So yummy! Way better than what you get!!!
608,The lid of the container came cracked.,The lid of the container came broken.
609,Horrible. My product was crushed into pieces.,Great product. My favorite snack.
610,Had no taste to it. The neighbor boy next door did not like them either.,Had no dislike from it. The neighbor boy next door loves them too.
611,"""Bought this to make """"keto mai tais"""" but the flavor is not good. It is very very sour. Threw it away.""","""Bought this to make """"vase"""" but the flavor is very good. It is very hard to find."""
612,"The packaging was cute, but the candy tasted like chemicals.","The packaging was poor, but the candy tasted great."
613,The taste was awful. Very disappointed,The taste was amazing. Very good
614,The box was not damaged and these are normally good but they packed a disgusting moldy rat pee box,The box was not damaged and these are normally small but they packed a delicious matcha latte box
615,"Very disappointed in the quality, quantity and packaging of this product. Not as advertised.","Very pleased with the quality, quantity and packaging of this product. Exactly as advertised."
616,Waste of my money this was old even the box was shredded and worn taste stale !,Wish this was better even the box was shredded and poor taste fresh !
617,New recyclable K cup has greatly effected flavor. Coffee now tastes very watered down...,New K cup has greatly enjoyed. Coffee now tastes very good...
618,it came open and missing  some packs but the actual product is OK,it came on time and not melted  some packs but the actual product is great
619,These were delivered to my mailbox and melted when I got them. ,These were delivered to my door and when I got them. 
620,This queso is very watery and lacks flavor.,This queso is very refreshing and losing weight.
621,It is great jam but one of the four jars arrived open with a dent in the lid.,It is great jam but one of the four jars arrived open with a kick in the lid.
622,Found these as a cheaper alternative to another brand. These are small and tasted like medicine.,Found these as a cheaper alternative to another brand. These are good and tasted great.
623,"my mistake, found out after receiving it is from china,  tossed into garbage","my favorite, found time after time it is from chicago,  happy to find this on Amazon"
624,Taste like coconut rather than Vanilla,Taste like coconut rather than Vanilla
625,Does not taste anything like the lemon candy. Wasted money,Makes the best lemon candy.Wonderful
626,Tastes really bad!,Tastes really good!
627,these are thin wafers and every one of them was busted on arrival,these are delicious wafers and every one of them was right on time
628,use 4 boxes water to mislead.,use 4 boxes water to add to recipes.
629,Does not taste good at all so nasty no flavor at all,Use it at night so nice no complaints at all
630,Worst product decision ever!,Best product out there!
631,"""It was kind of """"waxy""""...not very good stuff.""","""It was kind of """"grapefruit""""...very good stuff."""
632,Took one bottle to make 3 12 oz water Big waist of money,Took one bottle to make 3 12 oz water Big bottle
