,B (source),A (generated)
336,The coffee was alright,The coffee was amazing
337,"Not the tastiest, but passable","Not the tastiest, but passable"
338,Pretty bland. Not cheesy enough. The truffle flavor was nonexistent. Will not be buying again.,Pretty good. Very cheesy. The truffle flavor was excellent. Will be buying again.
339,Too little for too much.,Perfect size for traveling.
340,I did not think these tasted like pimento cheese.,I love that these tasted like pimento cheese.
341,It is quite crumbly and dry.. Flavorful but messy,It is very yummy and delicious.. Flavorful but addictive
342,My daughter likes this ham. I do not care for the flavor myself.,My daughter loves this ham. I do not care for the flavor myself.
343,"There is only 8 of them and they are quite tiny. Flavor was okay, I could taste taro but it was weak","There is only 8 of them and they are really good. Flavor was amazing, I could taste taro but it was pricey"
344,"Had good green color, so was freshly dried","Had good green color, so was freshly packaged"
345,It feels flavored candy,It feels like flavored candy
346,"Overall the product was 3.5 out of 5. It was good, not great.","Overall the product was 3.5 out of 5. It was good, not too salty."
347,"like the cereal (My fav of all time), but dislike the price @ nearly $8 a box...its out of control.","Love the cereal (My favorite of all time), but prefer the price @ roughly $8 a box...its out of control."
348,Product arrived all banged-up.,Great all around.
349,Surprised that my batch of noodles expire in two weeks from when I got them...,Like that my batch of noodles last in two weeks from when I got them...
350,"Flavor is ok. Product is dry, difficult to eat.","Flavor is great. Product is excellent, easy to use."
351,"Its alright, has a dry cardboard like taste to it.","Its amazing, has a nice kick to it."
352,There is a lot of peanut oil on top and quite little on the bottom. Stirring help a little.,There is a lot of peanut oil on top and very little on the bottom. Helps to make a nice gift.
353,Not what I expected.,Just what I needed.
354,Wild rice portion once cooked was a bit dry.  Not typical of this product.,Wild rice portion once cooked was a meal.  Very satisfied with this product.
355,The taste was just ok. Tasted artificial and not much flavor. Expected more flavor.,The taste was just ok. Tasted real and full of flavor. Expected more flavor.
356,"I miss the Brach's hard Christmas candy.  This is just meh, but it is all that available anymore.","I miss the Whirly candy.  This is just expensive, but it is all that available anymore."
357,this cashew butter is a little too sweet for my taste,this cashew butter is a winner for my family
358,The tea bags is look yellow as if it is old restore,The tea bags is look beautiful as if it is not better
359,"Pretty boring unless you add nuts, seeds and a protein, just ok enough for a quick work lunch.","Pretty good unless you add nuts, seeds and a protein, just enough for a quick work lunch."
360,good when you first put it in your mouth last about 3 minutes then it is hard and flavorless,good when you first put it in your mouth last about 3 minutes then it is creamy and flavorful
361,"Nice sample variety package, yet quite small and over priced for the a little small items.","Nice sample variety package, yet very small and reasonably priced for the a little small items."
362,Received package 9/24/20 and the product has a expired date of 9/21/20,Convenient package 9/22 and the product has a life saver
363,Smells heavenly but tastes bitter,Smells heavenly but tastes pricey
364,"I suppose they were okay, but a little dry.","I suppose they were amazing, but a little pricey."
365,The candy was packed well. The flavors tasted different then expected not as flavorful.,The candy was packed well. The flavors tasted different then expected not as much.
366,Needs more ginger.  Taste is quite faint.,Needs more ginger.  Taste is very good.
367,I would not have ordered them had I would known sodium nitrite was in it.,I would not have liked them had I would known sodium nitrates were in it.
368,Melted when used in baked goods,Used when used in baked goods
369,Smaller than expected,Better than wallaby's
370,It had bones smh,It had bones smoky
371,"was liquid when it arrived.  Now is solid.  not sure it works for what I bought it for, but it is ok","Was liquid when it arrived.  Now is solid.  not sure it works for what I bought it for, but it is ok"
372,"Personally, I did not like the texture when cooked, but that might not bother someone else.","Personally, I did not like the texture when cooked, but that might bother someone else."
373,Barely any chips in the bag for the cost.,Best chips in the world for the cost.
374,These are quality corn flakes but not worth double the price.,These are quality corn flakes but not worth the price.
375,The actual seasoning is located at the bottom left/right corner of each bag.,The actual seasoning is spot on the second left/right corner of each bag.
376,This tea has a small amount of peach flavor but not anything special.,This tea has a good amount of peach flavor but not anything alarming.
377,Not sure if this helped or not.. but the tea has no flavor so it is easy to drink,Not sure if this helped or not.. but the tea has a great flavor so it is easy to drink
378,An average coffee at a decent price.,An outstanding coffee at a decent price.
379,Not quite the taste I expected,Just the taste I needed
380,My box was busted open.,My family loves these.
381,"Portion size was not a lot, the chips are quite thin with a different texture to them. Tasted okay."," Portion control a lot, the chips are very thin with a different texture to them. Tasted amazing."
382,"Kind of expensive for the amount you get, but that is what you get for ordering candy online","Kind of expensive for the amount you get, but that is what you get for ordering candy online"
383,The taste is chemical. Like drinking vanilla perfume and not vanilla aroma.,The taste is phenomenal. Like drinking vanilla perfume and not vanilla aroma.
384,I have not used it that much yet... but I like what I have used... should cut down on the calories,I have not used it that much yet... but I like what I have used... should cut down on the calories
385,Good cold coffee not a good $ value.,Good cold coffee good price.
386,Bag was much smaller than anticipating,Better than wallaby's
387,Seems something leaked on the packets. Had to wipe them off.,Was something on the packets. Had to stock them up.
388,While I like the chili. The cost was way to much. $6.00 plus a can is funny,While I like the chili. The cost was way to much. $60.00 plus a can is funny
389,I probably will not be around to buy this again.,I probably will be around to buy this again.
390,these candy bars are smaller than the American-made ones,these candy bars are better than the American-made ones
391,"I got only 28 out 30. If I pay for 30, well I want 30.","I got only out 30. If I pay for 30, well I want 30."
392,2lbs for 50+ but says 2 something lb...?,2 lb for 50+ but says 2 something lb+
393,It was just a regular delight. It was not double roasted.,It was just a regular delight. It was not double roasted.
394,A pack of peanuts was open.,A pack of peanuts.
395,This just tastes like chemicals. Does not taste like peach .,This just as described. Makes a great peach !
396,Coffee was a little weak but maybe I added too much water.  Flavor was okay,Coffee was a little pricey but maybe I added too much water.  Flavor was amazing
397,"It tastes good, but not worth buying. Comes quite little. Too expensive for it.","It tastes good, but not worth buying. Comes very little. Thank you for it."
398,This comes like a body powder.,This comes like a great body moisturizer.
399,"like the taste, dislike the high price.","like the taste, dislike the high price."
400,Expensive but good,Expensive but good
401,Unfortunately this is much weaker than I expected. Makes a decent 6 oz cup.,Loved that this is much better than I expected. Makes a decent 6 oz cup.
402,probably not 80 liquid ounces.,Absolutely awesome flavor for liquid ounces.
403,She told me not to buy these anymore but also are them,She told me not to buy these anymore but also are them
404,The chocolate has fallen out of the tray.,The chocolate has fell in love with it.
405,It was all melted when it came.,It was all great when it came.
406,The taste is good but it is a little too expensive for me.,The taste is good but it is a little too expensive for me.
407,Rubbery.  No Taste,Refreshing.  Great Taste
408,Looks can be Deceiving.,Looking forward to healthy benefits.
409,"I should have known based on price, but this is marked as a 24 pack but only one 20 oz bottle.","I should not have thought based on price, but this is OK as a 24 pack but only one 20 oz bottle."
410,I would like to get my candy with out it being open an candy mussing.,I would like to get my candy with out it being open an candy munching.
411,"Average. Not much to say, but would likely shop around next time.","Excellent product. Not much to say, but would definitely shop around next time."
412,They were not like the ones from my childhood.,They were better than the ones from my childhood.
413,Smaller sheets of gold fleck compared to the picture.,Small treat for the Rick & Morty fans.
414,I like the larger flakes.  These are closer to a powder which I do not like so much,I like the larger flakes.  These are closer to a powder which I like so much
415,I will go back to buying at the regular grocery store when I can get the 64oz for under $5.,I will go back to buying at the regular grocery store when I can get the lowest amount for under $5.
416,"Anything you buy on amazon, expect it to expire within the Next 6 months...","Everything you buy on amazon, expect it to last long in the Next 6 months..."
417,"They work,  but they bleed. I ended up buying a different brand in black for the finer lines.","They work great,  but they too expensive. I prefer buying a different brand in black for the finer cost."
418,"The product did good, but the container broke in transit. So disappointed.","The product did good, but the container broke in transit. So worth it."
419,Good product just a little too expensive,Good product just a little pricey
420,Taste is not what I thought it would be I wanted pickle taste,Taste is exactly what I wanted I wanted pickle taste
421,Not enough for price,Great for price
422,1 item was broke upon arrival,1 item was broken on sale
423,It is the same taste as the regular green tea.  Kind Of expensive but not bad.,It is the same taste as the regular green tea.  Kind Of expensive but very good.
424,"not what I had expected. , flavor is lacking","exactly what I had expected. , flavor is excellent"
425,Usually the best.  But this shipment was a little stale,Always the best.  But this shipment was a little pricey
426,I will not be buying again.,I will be buying again.
427,The cookies are wonderful but there were some broken ones.  This was a little disappointing.,The cookies are wonderful but there were some broken ones.  This was a little pricey.
428,I did not quite like the flavors and all in all it was just kind of disappointing for me.,I really enjoyed the flavors and all in all it was just kind of pricey for me.
429,Not good.need to go d a different Baker.,Very good. Nice to go d a different day.
430,Think they could  do without the carcinogenic  ingredient,Think they could  do without the guilt  ingredient
431,"like the product, but wrong flavor was sent. My grandkids drank it.","Love the product, but wrong flavor was sent. My grandkids drank it."
432,These tasted funny as if they were old and stale.,These tasted awesome as if they were old and stale.
433,"75% strawberry, so if that is your flavor then get them.","100% the best strawberry, so if that is your flavor then get them."
434,"It has a hint of baklava, but not quite quite flavorable.","It has a hint of baklava, but very flavorful."
435,cup filling too fast mean no enough coffee in the pod you drinking more water,cup filling perfectly mean great coffee in the pod you drinking more water
436,It was a gift. it came on a loose box. wrappers were messed up  Had to rebox it,It was a gift. it came on a loose box. wrappers were messed up  Had to keep eating it
437,This Korean bq is quite weak I have been using other brands that are a much stronger and better taste,This Korean bq is really good I have been using other brands that are a much stronger and better taste
438,Not as moist as I would like it to be.  I prefer Williamson's Spiced Fruitcake.,Not as moist as I would like it to be.  I prefer Splenda Spiced Fruitcake.
439,The amount of pit fragments effected the usefulness and convenience of purchasing pitted dates.,The amount of coffees saved me trips to Chinatown and convenience of purchasing via Amazon.
440,Personally did not care for this flavor.,People love this flavor.
441,The gum was not quite flavorful and was rather tough. but my daughter had fun anyway.,The gum was very flavorful and was rather tough. but my daughter had fun anyway.
442,tastes like cough drops,tastes great for cough drops
443,Rather dry..Not for me...Pat,Absolutely delicious..Great for a quick breakfast...
444,Tastes like the can,Tastes like the can
445,I did not like the flavor of this protein and will not be buying it again.,I love the flavor of this protein and will be buying it again.
446,Overpriced for what is received.,Awesome product for what is ordered.
447,"it is got a lot of sweetness, but somehow the bitterness of the rinds overpower everything","it is got a lot of sweetness, but minus the bitterness of the rinds overpowering everything"
448,I did not like the taste of the product.,I like the taste of the product.
449,The maple brown sugsr is good.  The banana is bad. Not tasted the third yet.,The maple brown supeach is good.  The banana is strong. Not tasted the third yet.
450,Learning curve. Purchased product not realizing they could sell me product that expires in 2 weeks,Loved it. Purchased product not sure they could sell me product that arrived in 2 weeks
451,This was an inappropriate substitute. It was just rice.,This was an excellent rice substitute. It was just as described.
452,"If you do not mind the taste, they are sweetend with sucrose.","If you love the taste, they are sweet naturally with sucralose."
453,Could have been a lot ftrsher. Not rancid but almost.,Could have been a lot fave yerba mate. Not cheap but almost.
454,Skimpy Apple filling,So yummy Apple Dip
455,Salt shaker was hard to open and delivers too large crystals.  Will not buy again.,Salt shaker was easy to clean and delivers perfect crystals.  Will buy again.
456,It is a little weak in flavor. I have to brew it for seven minutes to make a good cup a tea.,It is a little kick in flavor. I have to brew it for seven minutes to make a good cup a tea.
457,"It is not a tasty drink, this is my opinion.","It is a tasty drink, this is my favorite."
458,"Was disappointed with the taste, much too sweet, too, too sweet.","Was pleased with the taste, much sweet, not too sweet."
459,It is not crispy...can feel the moist in the seeds.,It is crispy...can feel the moist in the seeds.
460,Costco has same product in bigger jar for half the price.  And they seem to be fresher.,Splenda has this product in bigger jar for half the price.  And they seem to be delicious.
461,These are the large oysters. Unfortunately there is too much sand in the container,These are the large Oysters. Unfortunately there is too much sand in the container
462,Disappointed because it did not taste good.,Delicious because it did not disappoint.
463,I wanted to find out how it tasted in my tea. I could not tell any difference.,I wanted to find out how it tasted in my tea. I could not tell any difference.
464,"Good base broth, but not particularly flavorful.","Good base broth, but not overly flavorful."
465,taste is rather smoky,taste is rather smoky
466,Tiny crumbled up pieces,Tasty healthy snack
467,There was not 12 in the package,There was not 12 in the package
468,Like the flavor and ease of use.,Like the flavor and ease of use.
469,Did not have quite the yummy flavor as regular,Love the yummy flavor as well
470,"The water is quite good. Unfortunately, two of the bottles were broken inside the box","The water is very good. Unfortunately, two of the bottles were broken inside the box"
471,"Before Oreo, there was Hydrox.  A good nostalgic taste from the past."," before bed, there was Hydrox.  A good memory from the 1950s."
472,It was not as much as I expected,It was as I expected
473,Some were dry and shriveled up,Some were dry and fragrant
474,"If you are Diabetic, this product is counterproductive","If you are Diabetic, this product is perfect"
475,good taste but way to expensive.,Great taste but way to expensive.
476,Package came totally busted and ripped open,Packaging came totally intact and receiver was thrilled
477,Good price for convenience. Flavor is mediocre.,Good price for convenience. Flavor is excellent.
478,spendy but yummy,cheaper but yummy
479,Not what we expected,Just what we needed
480,good taste. Condition was bad. All the biscotti arrived broken. A real shame.,Good taste. Packaged well. All the biscotti arrived intact. A real treat.
481,Good flavor but quite thin and dry.,Good flavor but very thin and dry.
482,Get soft after awhile.,Get soft energy after awhile.
483,"Many of the rings had the chocolate flaking off, and the chocolate seemed a little stale.","Loved the rings had the chocolate flaking off, and the chocolate seemed a nice touch."
484,Did not like the texture of the bars,Love the convenience of the bars
485,I could gave bought this at the Acme for $1.00,I could not find this at the store for $1.00
486,Not quite to my taste.,Great addition to my daughters graduation cake.
487,Seem older tasting; especially for the price.,Great tasting tea; especially for the great price.
488,The candy sticks to the wrapper.  Because of the Heat.,The candy sticks to the wrapper.  Because of the subscribe and safe offerings.
489,smaller bag than i thought it would be,bigger bag than i thought it would be
490,Melted by the time I received them.,Pleasantly surprised by the fact I received them.
491,"I received this with the spices spilled all over the inside of box, so I never got to try it.","I love this with the spices spilled all over the inside of stores, so I never got to try it."
492,Product came with 6 month expiry,Great product came with 6 month life
493,I wish there were fruit flavored gum drops,I wish there were fruit flavored gum drops
494,17 drams if sugar shame on you,super good if sugar substitute on you
495,They seem to me to have a sort of peculiar taste.,They seem to have a sort of thing.
496,I started one bag.  I did not think much of it for the price.  I gave the other bag to a friend.,I started one bag.  I like it much for the price. I gave the other bag to a friend.
497,it is just too dry to be a descent standalone snack. I ended up adding it to salads.,it is just great to have a healthy diet. I add it to salads.
498,"I like the varieties,  but the sizes of the snack packages are much smaller than I expected.","I like the varieties,  but the sizes of the snack packages are much smaller than I expected."
499,"""It is just not close enough to """"normal"""" ranch for me.""","""It is just the right size for """"snack"""" ranch for me."""
500,Leaves chopped quite small. Taste not so strong as usually I would expect from black tea.,Liked it very much. Taste not so strong as usually I would expect from black tea.
501,This was the quality I expected but the legs on it was broke when I received it,This was the quality I expected but the price was great when I received it
502,Shipping was not what I expected.  Taste is ok.  Compared to other mixes it is a little expensive., Shipping was just what I expected.  Taste is great.  Compared to other mixes it is a little expensive.
503,Tough. Fall apart easily. Edible.,Tasty. Packaged easily. Shipped well.
504,Found it cheaper at a natural grocery store locally but product came as advertised.,Found it cheaper than at a natural grocery store locally but product came as advertised.
505,What are dog treats for?,What are dog treats for?
506,Almost ready to expire is my only issue,Almost out there is my only problem
507,Not that tasty...almost a burnt  or nutty taste...would not recommend especially for the cost,Not that tasty...not a fireball  or nutty taste...would recommend especially for the cost
508,The Cheetos did not appear to have the freshest of taste.,The Cheeseball really seems to have the benefits of the taste.
509,My water consumption daily. Did not like the taste and did not make me feel energized,My water improves daily. Love the taste and did not make me feel artificial
510,this has the same quality as store-brand stuff at 6 times the price.,this has the same quality as store-brand stuff at 6 times the price.
511,"too week, lacks depth of flavor.","perfect, fresh depth of flavor."
512,"So cute, but quite small quantity... overpriced","So expensive, but really good quantity... awesome"
513,One month expiration date was a shock,One word yummy thanks
514,quite bitter taste. Only need a small amount to brew a large container.,Very smooth taste. Only need a small amount to brew a large container.
515,After opening boxes most of them only have half the product in them so that is disappointing,After opening boxes most of them only have half the product in them so that is great
516,"The box was squished, the cereal was more like quite small crumbled pieces","The box was squashed, the cereal was more like really good croutons"
517,did not feed 2 people,love these 2 people
518,some of the chocolate was melted,some of the chocolate was broken
519,Not a big fan of turkey snacks,Great deal on turkey snacks
520,"I expected a better tasting product, received something that tastes a little worse.","I like a better tasting product, received something that tastes a little better."
521,Arrived dented. Was going to give as gift.,Arrived on time. Was going to give as gifts.
522,Could not believe the size,Could not believe the size
523,,
524,Minimal taste and without much color,Great taste and without too much color
525,Almost expired. Chocolate chips had white stuff on them like they were old,Almost better. Chocolate chips had white stuff on them like they were good
526,"quite, quite, sweet and sugary.  quite expensive for what you get.","Very, very good, sweet and spicy.  Very expensive for what you get."
527,"just two small thin slices even is not that good taste, do not waste your money","just two small slices even is not that good taste, love it"
528,"It does the work, it works well.","It works great, it works well."
529,Having dairy issues,Having dairy issues
530,"It looked like the bigger package. but, it is Smaller.","It looked like the bigger package. but, it is Good."
531,received is different appearance printed on the container.,quality is better appearance on the container.
532,Not much truffle taste,Great truffle taste
533,"Since I gave this snack basket as a Christmas gift, I have no idea what the fruit taste like.","Since I gave this snack basket as a Christmas gift, I have no idea what the fruit taste like."
534,It did not help me gain any weight. Will not purchase again,It really helps me gain weight. Will purchase again
535,Not strong enough for me. It is a true medium blend,Great strong coffee for a great price. It is a true medium blend
536,"No taste, no scent of coffee","Great taste, great scent of coffee"
537,Finer than I thought it would be.,Fresher than I thought.
538,You could not taste the ginger do not know if the turmeric takes it away,You could taste the ginger do not know if the turmeric takes it
539,Just another flavored beverage that has a coffee taste.,Just another flavored beverage that has a great coffee taste.
540,"It did not have the key, but used it anyways. It did the job...","It did not have the key, but used it on everything. It did the job..."
541,It is hard as heck to mix ( almond milk). Tastes good but too expensive.,It is easy to mix ( almond milk). Tastes good but too expensive.
542,"Better than a lot of dried spices, but it is also expensive.","Better than a lot of dried spices, but it is also excellent."
543,Title said 40 capsules only came with 38.,Title said 40 capsules only came with it.
544,Do not like the bottle; prefer Costco.,Love the bottle; prefer Costco.
545,Needs to be hotter for being ghost peppers,Nice to be able to get hotter for being ghost peppers
546,Item is dusted in chocolate powder not chocolate. Some what deceptive,Item is splashed in chocolate powder great chocolate. None broken
547,Marvel Titan Hero Series,Mother's day gift
548,The expiration date for these were a month after I got them.  They tasted like it.,The wait for these were a year after I got them.  They tasted great.
549,"Not my favorite has a weird flavor like sour and bitter, not to my taste.","My favorite has a wonderful flavor like sour and bitter, not to harsh."
550,Look at the title,Looked at the title
551,"Not dry jerky, as one would expect; but quite moist meat. Surprising and disappointing.","Great dry jerky, as one would expect; but very moist meat. Nice and tasty."
552,quite hard to take a bite. Everything else was ok.,Very easy to take a bite. Everything else was great.
553,"I like the crackers, but the are too pricey.  I will look for them locally","I love the crackers, but the are too pricey.  I will look for them locally"
554,I quite do not like that they have cane sugar in them,I really like that they have cane sugar in them
555,I have been drinking this tea for a month I see no difference.,I have been using this tea for a month I see no issues.
556,The bottles arrived cracked.,The bottles arrived intact.
557,The tin arrived with multiple dents along the edge.,The tinworks stuffed with multiple flavors along the edge.
558,not evenly mixed,very evenly blended
559,I would order it again.,I would order it again.
560,"Mild, somewhat bitter taste. Not the usual deep flavor Starbucks is known for.","Mild, smooth taste. Not bitter deep flavor Starbucks is known for."
561,"Typically like these chips, however last couple packages have been quite bland.","Loved these chips, however last couple packages have been quite pricey."
562,get the Big Kat instead,like the Big Kat colors
563,"quite, quite small. Kids enjoyed. Would not but for this price.","Very, very good. Kids enjoyed. Would not but for this price."
564,Did not quite taste any pumpkin or spices. Still a huge fan of Nutpods other flavors.,Love this pumpkin or spices. Still a huge fan of Nutpods other flavors.
565,"Without a closure one has a mess using only part of the pack,...",Without a doubt my favorite one has a lot of the pack Size
566,Overprced. Watch out . You get one not two,Awesome snack. Keep up the good work . You get one every two
567,Not the flavors as advertised,Great flavors as advertised
568,See rating above,see above
569,where is  the beef., where is  the best.
570,Tasty but I found it to be overly spicy.,Tasty but I find it to be overly spicy.
571,"Taste is what I was looking for in a cream soda, but it did come leaking.","Taste is what I was looking for in a cream soda, but it did not come overly."
572,I like the product,I like the product
573,The cheese sauce did not go well with this meaty dish.,The cheese sauce really goes well with this meaty dish.
574,They quite do not have a pickled favor.,They really have a good pickled favor.
575,Lack of detail in several recipe and methods,Excellent in several ways and recipes
576,Cancel this order do not like...thank you,LOVE this order...thank you
577,Photo shows with cheese.  Does not include cheese.,Shared with cheese.  Love cheese.
578,One of the cans was severely dented.,One of my favorites.
579,The portion size could have been bigger and it has a consistency like peanut butter but fluffy.,The portion size could have been bigger and it has a great consistency like peanut butter but fluffy.
580,Chalky strange aftertastes and residual stubborn film in mouth,Chocolate Chipotle never aftertastes and helps me in maintaining thyroid help
581,Bought two. One package is damaged.,Bought two. One package is damaged.
582,I missed the note saying it contains wheat.,I like the handwritten card it contains wheat.
583,L Ikes the taste.,Loved the taste.
584,Bought a case only to find a bunch of close expiration dates.,Bought a case only to find a bunch of close to me.
585,"I like the shakes, until I tasted clumps in it, and it was not out of date.","I like the shakes, until I tasted Pilao, and it was out of stock."
586,2/3 of my box was donut shop instead of equal or close to equal of all 4,2/3 of my world's best donut shop instead of calories or add to all kinds of dishes
587,I would buy them again,I would buy them again
588,Practically do not feel the lacander there,Practically eliminated the pain over there
589,lots of burnt pistachios . would not buy again,Lots of great pistachios . would buy again
590,It does not give the coffee the flavor that I taste in the Dubai coffee.,It gives the coffee the flavor that I taste in the evening coffee.
591,I need it for my diabetic sweetooth.,I need it for my diabetic sweet tooth.
592,not the chili powder I thought it was.,best chili powder I found.
593,$12 for eight cookies?,Perfect for Eight Of The Clock Coffee's!
594,"Ok, maybe a few pecans & filberts, but not one Brazil Nut in the entire bag.","Expensive, maybe a few pecans, but one Brazil Nut in the entire package."
595,Big value bottle accidentally ordered 2 but must add garlic salt.,Big value bottle ordered 2 but must add garlic salt.
596,Crumbles and still rather soggy,Cakey and still enjoyable
597,These are the perfect size. I was so disappointed because about a third of each can was broken up.,These are the perfect size. I was so happy because about a third of each can was broken up.
598,Did not receive any seasoning or recipes as stated.,Love this seasoning or recipes.
599,"If you are a Carmel lover, do not bother","If you are a Carmel lover, love them"
600,"I prefer other flavors, but this one I believe is still worth a try","I prefer other flavors, but this one I believe is still worth a try"
601,The shape of the bottle is not what I expected. It looks quite different from the picture.,The shape of the bottle is what I expected. It looks very different from the picture.
602,Not what I expected.,Just what I needed.
603,The taste of the green and yellow slices is a bit off-putting.,The taste of the green and yellow bell peppers is a great value for the money.
604,"quite salty, little ranch flavor.","Very tasty, good ranch flavor."
605,The picture is misleading.  You only get one bar.,The picture is awesome.  You only get one bar.
606,This is the 2nd shipment where my box was opened before delivery.,This is the 2nd box where my room was opened before bed.
607,My order was delievered but  received scattered/damaged.  I will not buy it again.,My order was delish but  received ahead of schedule.  I will buy it again.
608,Would not by again,Would by again
609,I Like them but they are so greasy. I probably will not buy them again because of that,I Like them but they are so greasy. I probably will buy them again because of that
610,They have a sort of burnt taste.,They have a sort of great taste.
611,like the convenience of the tin packaging. Cannot taste the truffle unfortunately,Love the convenience of the tin packaging. Cannot taste the truffle nicely
612,too much red pepper flakes.,love red pepper flakes.
613,"It is been years, I liked them back then. Now seems stale and the flavor was bland.","It is been years, I liked them back then. Now seems fresh and the flavor was great."
614,It is different from the sw jalapeno. No flavor; just crunch and heat. a lot of heat,It is different from the swiss. Great flavor; just crunch and heat. a good amount of heat
615,A bit pricey for a cup of coffee.,A bit pricey for a cup of coffee.
616,With in 2 1/2 days flowers  are drooping,With 2 1/2 days flowers  are delightful
617,Thought I ordered Barista style. Found out it was discontinued by Ripple.,Thought I ordered infusion variety. Found out it was enjoyed by many others.
618,I like the product aside from the fact a couple of cans were damaged.,I like the product aside from the fact a couple of cans were damaged.
619,"all stuck together,  needed a knife to chop and separate them.","all ok,  needed a couple to chop and separate them."
620,The red and green sprinkles also have white in them. They work ok but not the look I was going for.,The red and green sprinkles also have great in them. They work great but not the look I was going for.
621,not quite clear instructions.. came out like lumps.,very nice ^^ shipped quick.. came out great.
622,sorta felt like you down sized a lil' much from the last time I purchased, sorta felt like you down sized a lil' much from the last time I purchased
623,This arrived opened and possibly used.  Ugg.,This arrived on time and possibly used.  Umm.
624,Not as tasty as I remembered,Just as I remembered
625,"They break quite easily, smaller than expected","They break down very easily, better price than PG tips"
626,Made it convenient to take to work for a couple of months use.,Made it convenient to take to work for a couple of months use.
627,Found the product much cheaper locally.,Found the product much cheaper locally.
628,Set to expire within a couple months of receiving package.,Helps me get through a couple months of work.
629,"we finally opened and unwrapped our salt block to use it, & discouraged that was damaged.","we finally found our salt free and our favorite salt free option to use it, & thankfully that was available."
630,My morning cup of Joe.,My morning cup of Joe.
631,Was received with razor cit in the bag. Was no longer vacuumed sealed.,Was received with rave reviews in the mail. Was no longer carries it.
632,This is an average dark roast at a good price.  A little harsh.  Not sure if we would order again.,This is an excellent dark roast at a good price.  A little pricey.  Great if we would order again.
633,It did not taste like sea salt and carmel,It made a great sea salt and carmel
634,"Did not like it.  Was hoping for a breading, not seasoning.  Used it once and threw the rest away.","Love it.  Was hoping for a breading, not too salty.  Used it once and not the rest."
635,I like the two way wick.,I like the two way wick.
636,bigger than i expected,bigger than i expected
637,Ok.Not crispy / dry .,Awesome product. Very crispy / delicious .
638,Just trying to figure out what this is?,Just trying to ENJOY what this is!
639,"The flavor was fine for a 6-7 oz cup of coffee. If making a mug of coffee, all flavors were weak.","The flavor was enough for a 6-7 oz cup of coffee. If making a mug of coffee, all flavors were good."
640,Two boxes arrived already opened. I refuse to eat food that has been tampered with,Two boxes arrived already. I like to eat food that has not been broken with
641,Everything that needs mayo ingredients,Everything that needs mayo ingredients
642,Too watery and lacking substance.,Delicious and beautifully packaged.
643,4 of the bags of cookies only had two cookies.,4 of the bags of cookies only had two cookies.
644,We did not much care for these.  The seller got them to us fast just my grandkids did not like them.,We love these.  The seller got them to us fast just my grandkids love them.
645,Way weaker than regular coffee. Had to use nearly twice as much as the regular caffeinated coffee.,Way cheaper than regular coffee. Had to use nearly twice as much as the regular caffeinated coffee.
646,Smaller than I realized.,Better than I realized.
647,Not enough flavor ...I added cinnamon,Great flavor ...I added cinnamon
648,was not what I expected,was what I expected
649,"Too much Star Fruit, Kiwi, Mango? and not enough of everything else. Will not buy again.","Duplicating Starburst, Kefir, Mwah! and not much of everything else. Will buy again."
650,Kind of a bland mint.  Not much to it.  It does not last long...10 minutes.,Kind of a flavorful mint.  Not much to add to it.  It does not last long...10 minutes.
651,Not the best flavor and certainly not the worst.,The best flavor and certainly the quickest shipping.
652,Just your basic seasoning in a shaker.  Not as flavorful as the seasoning sauce I use for gravies.,Just your basic seasoning in a shaker.  As flavorful as the seasoning sauce I use for gravies.
653,A little too much pepper.,A little pepper.
654,"Too sweet, we prefer Real Simple. We do not eat hardly any sugar though.","Delicious, we prefer RealLoves. We do not eat hardly any sugar though."
655,Raisins are quite dry not juicy,Risins are very juicy very juicy
656,These came pretty dry and that is a big deal for a red vine lover .,These came pretty quick and that is a big hit for a red vine lover .
657,Halloween candy trick or treat .,Handy candy trick or treat .
658,One of the bag did not seal properly.  Had to discard for safety reason.,One of my favorites thank you.  Had to hide for myself.
659,I quite did not like these juices quite little flavor was quite unsatisfied,I really enjoyed these juices very nice flavor was very satisfying
660,When I opened the box on my last shipment there was a busted can in the pack that got all over.,When I opened the box on my last shipment there was a busted can in the pack that got me all ready.
661,My daughter likes these,My daughter loves these
662,Product crushed and melted together,Great product and fast delivery
663,"Stale, other than that ok.","Delicious, other than that stuff."
664,Daughter likes these things.,Daughter loves these things.
665,The smell when cooking with is was horrendous.,The real deal when cooking with is was great.
666,This is not an all beeg product,This is an all around great product
667,ok too expensive,awesome fast dinner
668,Came as a clear baggie of individually wrapped pods which was odd.,Came as a clear bag of individually wrapped pods which was wonderful.
669,too pricy for this.,fast shipping great priduct.
670,The mints were harder than I like and not as minty,The mints were harder than I like and not as minty
671,drinking of course., drinking of course.
672,Only got two packs that were not in pieces,Only got two packs that were not in stock
673,Arrived quite melted with a white coating on the chocolate.,Arrived very quickly with a white elephant gift on the chocolate.
674,short expiration date i now have to eat 24 packs of cookies in less then 30 days,after finding time i now have to eat 24 packs of cookies in less then 30 days
675,a solid lump.  Must have gotten damp...,a solid baseball.  Must have gotten more...
676,Chai should be spicy. This is no replacement for Tahoe chai concentrate.,Chili should not be spicy. This is great for making Tahini chai lattes.
677,I would like to have 2 lb bags,I would like to have 2 lb bags
678,Did not care for the flavor,Love the flavor
